_model	model.x	model.y	foc_minimum_features	soc_vector	soc_length_num	tokens	type	LEMMAPATH	LEMMAREL	foc_base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_ppmi	soc_soc_win	stress	pam_cluster	is_medoid
hoop.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.3209695499115884	0.01055019092017678	1	nav_5000	5000	300	hoop	NA	NA	BOW	bound	445	lex	10_10	weight	4_4	0.28803342118929287	c1	0
hoop.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSall	-0.36694293343769013	-0.2321927777874197	1	all_5000	5000	300	hoop	NA	NA	BOW	bound	445	lex	10_10	weight	4_4	0.2796626488132573	c2	0
hoop.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.29848537645013873	0.03128265498020807	1	nav_FOC	334	300	hoop	NA	NA	BOW	bound	445	lex	10_10	weight	4_4	0.299068765088973	c1	0
hoop.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.2943267683515726	0.03634025338834705	1	all_FOC	445	300	hoop	NA	NA	BOW	bound	445	lex	10_10	weight	4_4	0.29319417505551426	c1	0
hoop.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.34576561788382626	0.09539365531266338	1	nav_5000	5000	300	hoop	NA	NA	BOW	bound	445	lex	10_10	selection	4_4	0.285404885716024	c1	0
hoop.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSall	-0.37035753950436334	-0.2608377372792675	1	all_5000	5000	300	hoop	NA	NA	BOW	bound	445	lex	10_10	selection	4_4	0.2719623021516083	c2	0
hoop.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.2982332186790644	0.09015228532400879	1	nav_FOC	334	300	hoop	NA	NA	BOW	bound	445	lex	10_10	selection	4_4	0.29131432359308584	c1	0
hoop.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.30022449356572606	0.08763533552344131	1	all_FOC	445	300	hoop	NA	NA	BOW	bound	445	lex	10_10	selection	4_4	0.28485791582029324	c1	0
hoop.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSnav	-0.22881363621171555	0.24906176878033628	1	nav_5000	5000	309	hoop	NA	NA	BOW	bound	1049	lex	10_10	no	4_4	0.26142506545594796	c3	0
hoop.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSall	-0.3197451325155506	-0.3854276039393156	1	all_5000	5000	309	hoop	NA	NA	BOW	bound	1049	lex	10_10	no	4_4	0.26036243440598433	c2	0
hoop.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.21508682899302475	0.2321027204931749	1	nav_FOC	812	309	hoop	NA	NA	BOW	bound	1049	lex	10_10	no	4_4	0.26985957132260135	c3	0
