_model	model.x	model.y	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress	foc_base
heffen.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSnav	0.1701168826842406	-0.21930477286810077	NA	NA	bound	279	lex	5_5	1	weight	5000	5000	nav	4_4	216	heffen	0.08532057631510943	BOW
heffen.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSall	0.3509099235577824	-0.6409699228371515	NA	NA	bound	279	lex	5_5	1	weight	5000	5000	all	4_4	216	heffen	0.15153405009964935	BOW
heffen.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSnav	0.1417335732159722	-0.2021846387427932	NA	NA	bound	279	lex	5_5	1	weight	FOC	194	nav	4_4	216	heffen	0.08584826377740369	BOW
heffen.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSall	0.1418464243590346	-0.20607801542504944	NA	NA	bound	279	lex	5_5	1	weight	FOC	279	all	4_4	216	heffen	0.0934143470433621	BOW
heffen.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSnav	0.2021524186682849	-0.3594243987642118	NA	NA	bound	279	lex	5_5	1	selection	5000	5000	nav	4_4	216	heffen	0.11295730426000218	BOW
heffen.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSall	0.35287970632511706	-0.7590268206642199	NA	NA	bound	279	lex	5_5	1	selection	5000	5000	all	4_4	216	heffen	0.1697811526510552	BOW
heffen.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSnav	0.132531392123357	-0.2232922327449484	NA	NA	bound	279	lex	5_5	1	selection	FOC	194	nav	4_4	216	heffen	0.094922668124376	BOW
heffen.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSall	0.12716032422067317	-0.230378465986422	NA	NA	bound	279	lex	5_5	1	selection	FOC	279	all	4_4	216	heffen	0.10292070449731079	BOW
heffen.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSnav	0.11915723607280745	-0.47223395322822365	NA	NA	bound	433	lex	5_5	1	no	5000	5000	nav	4_4	218	heffen	0.11071369353347602	BOW
heffen.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSall	0.26872502453511765	-0.9886382293999689	NA	NA	bound	433	lex	5_5	1	no	5000	5000	all	4_4	218	heffen	0.15016988434525438	BOW
heffen.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSnav	0.09076466977263052	-0.3065502781994903	NA	NA	bound	433	lex	5_5	1	no	FOC	315	nav	4_4	218	heffen	0.10772336792925767	BOW
heffen.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSall	0.07320391005494238	-0.29099911492715325	NA	NA	bound	433	lex	5_5	1	no	FOC	433	all	4_4	218	heffen	0.1086771949121404	BOW
heffen.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSnav	0.09773425608768066	-0.09292677241747292	NA	NA	bound	361	all	5_5	1	weight	5000	5000	nav	4_4	217	heffen	0.0769462917364881	BOW
heffen.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSall	0.29981840492506473	-0.6272848318751013	NA	NA	bound	361	all	5_5	1	weight	5000	5000	all	4_4	217	heffen	0.12729729299341877	BOW
heffen.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSnav	0.0910360670026361	-0.11675312179989071	NA	NA	bound	361	all	5_5	1	weight	FOC	194	nav	4_4	217	heffen	0.07998888572553764	BOW
heffen.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSall	0.07633591440411659	-0.12333966352001492	NA	NA	bound	361	all	5_5	1	weight	FOC	361	all	4_4	217	heffen	0.08763259607529232	BOW
heffen.BOWbound5all.PPMIselection.LENGTH5000.SOCPOSnav	-0.43721609356498986	0.18761165613483868	NA	NA	bound	361	all	5_5	1	selection	5000	5000	nav	4_4	217	heffen	0.1418133559117683	BOW
heffen.BOWbound5all.PPMIselection.LENGTH5000.SOCPOSall	0.12744137985594545	-0.7655168729299949	NA	NA	bound	361	all	5_5	1	selection	5000	5000	all	4_4	217	heffen	0.15359400890184038	BOW
heffen.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSnav	-0.013911639659749191	-0.02306183210825923	NA	NA	bound	361	all	5_5	1	selection	FOC	194	nav	4_4	217	heffen	0.08575396374451451	BOW
heffen.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSall	-0.03815249011988194	-0.023726347053917216	NA	NA	bound	361	all	5_5	1	selection	FOC	361	all	4_4	217	heffen	0.09913097255635142	BOW
heffen.BOWbound5all.PPMIno.LENGTH5000.SOCPOSnav	-0.6907780589340978	0.29880006213330185	NA	NA	bound	580	all	5_5	1	no	5000	5000	nav	4_4	218	heffen	0.14950856413123892	BOW
heffen.BOWbound5all.PPMIno.LENGTH5000.SOCPOSall	-1.1344508188953153	0.38546953316437305	NA	NA	bound	580	all	5_5	1	no	5000	5000	all	4_4	218	heffen	0.16157524332438197	BOW
heffen.BOWbound5all.PPMIno.LENGTHFOC.SOCPOSnav	-0.2847685183754729	0.04562324520491813	NA	NA	bound	580	all	5_5	1	no	FOC	315	nav	4_4	218	heffen	0.10096071351262803	BOW
heffen.BOWbound5all.PPMIno.LENGTHFOC.SOCPOSall	-0.30944102846862925	0.055508313242112334	NA	NA	bound	580	all	5_5	1	no	FOC	580	all	4_4	218	heffen	0.1101340260194934	BOW
