pmi10	raw_co10	pmi4	raw_co4	raw_freq	cw
5.5498285	1	6.4704213	1.0	3	-krediet/noun
6.648441	1			1	-lossers/noun
5.039003	1			5	-moeder/adj
4.0129614	1			14	-ook/name
1.6368059	1			152	-op/noun
4.8566813	1			6	-oren/noun
3.9708498	1	4.886301	1.0	15	-overigens/noun
6.648441	1			1	-plezier/noun
3.875852	1			16	-red/name
3.8789818	1			16	-straat/noun
5.2621465	1			4	-team/noun
1.0159752	1			283	-vrouw/noun
1.1188133	1			256	-vrouwen/noun
-2.0449972	1			6065	..../punct
-1.1947802	1			2586	.../name
0.31431952	179	0.36753514	76.0	103573	.../punct
6.648441	1			1	...???/num
6.648441	1			1	...te/noun
1.8427817	1			124	../name
-0.116357915	6	-0.9984012	1.0	5416	../punct
0.05445487	4			3011	./name
0.013340327	36204	0.21030936	17645.0	28225482	./punct
-0.95244503	6	-1.8721408	1.0	13088	//name
0.96146536	2	1.1623597	1.0	614	//num
-0.6985667	28	-0.9401808	9.0	45910	//punct
1.8153385	1			127	0,30/num
-1.0794687	1			2306	0,7/num
1.2968196	1			214	0,85/num
0.21886912	6	0.033203	2.0	3803	0-0/noun
-1.0322659	2			4405	0-0/num
-1.3700718	7	-2.4004817	1.0	21461	0-1/num
2.4926875	1			64	0-1_nederlaag/noun
-1.4515045	4	-1.9231155	1.0	13333	0-2/num
1.5525455	1			165	0-2_voorsprong/noun
-1.633998	2			8010	0-3/num
-0.6313952	2	-0.4113323	1.0	2942	0-4/num
3.9403906	1	4.8609834	1.0	15	0-4_cijfer/noun
-0.5998855	1	0.31432533	1.0	1424	0-6/num
0.57631826	1			437	0-7/num
0.44580403	1			498	0-8/num
5.1443634	1	6.064956	1.0	5	0.00-1.45u./noun
4.7025304	1	5.623123	1.0	7	0/5/num
-2.7545118	4			49075	0/num
5.2253323	1			5	00-33140793000/num
5.2621465	1			4	00-39055287117/name
1.6828028	1			145	0032/name
4.724192	1			7	02-420.56.56/num
-0.2498196	1			1028	02/num
1.1642665	1	2.0785472	1.0	243	03/name
-0.4319855	2			2436	04/name
6.648441	1			1	0478-50.37.40/num
6.648441	1			1	0486/73/num
5.601122	1			3	050-36.17.92/num
3.2863307	1			33	056-43.34.95/num
1.7146865	1			140	06_nummer/noun
5.039003	1	5.8418126	1.0	6	070-22.50.02/num
3.3020515	1			29	070-3381133/name
6.648441	1			1	078/15.15.88/num
-1.7043848	1			4322	1,1/num
1.045953	1			275	1,17/num
-1.5520465	2			7412	1,2/num
-1.9947329	1			5767	1,3/num
-0.7313889	3	-0.92125094	1.0	4888	1,4/num
-1.9280208	2	-1.7125689	1.0	10787	1,5/num
1.9232677	1			115	1,52/num
1.4477363	1	2.35274	1.0	185	1,68/num
-0.40458304	1			1175	1,75/num
-1.1322384	2	-0.91638523	1.0	4868	1,8/num
1.5334455	1	2.4413562	1.0	169	1,93/num
0.9794223	1	1.8948514	1.0	292	1,95/num
2.0103195	2	2.2290945	1.0	210	1,98/num
-1.6206452	8	-1.176048	5.0	31566	1-0/num
-1.3147453	4	-1.0942171	2.0	11709	1-1/noun
-2.0084405	2	-1.7879581	1.0	11643	1-1/num
0.90864784	1			315	1-1_gelijkspel/noun
5.069462	1			5	1-2-uitzege/noun
-0.28172812	6			6250	1-2/noun
-1.3078345	2	-0.39470926	2.0	5792	1-2/num
-0.2402209	4	-0.7141764	1.0	3992	1-3/noun
2.7244892	1			51	1-3_nederlaag/noun
2.668759	1			54	1-3_zege/noun
-0.5430262	1			1340	1-4/num
-0.009698666	1	0.9047839	1.0	788	1-5/noun
1.9737445	1	2.8696902	1.0	111	1-Journaal/name
6.648441	1			1	1-afvaardiging/name
2.5768533	1			60	1-aprilgrap/noun
6.648441	1	7.5690336	1.0	1	1-meisamenkomsten/noun
3.9538136	1			15	1-meivieringen/noun
0.6160742	2			863	1./tag
-1.7266011	2			8825	1.000/num
3.9011698	1			16	1.264/num
6.648441	2			2	1.283.707/num
-0.70745593	1			1598	1.300/num
3.3324382	1			28	1.395/num
1.8460604	1			122	1.45/noun
-1.4835678	2	-1.2667043	1.0	6921	1.500/num
-0.62832314	1			1467	1.600/num
-0.30705655	1	0.60041827	1.0	1073	1.700/num
1.2768729	2			442	1.900/num
1.2708502	1			219	1/3/num
0.041047588	2			1521	1/8ste/num
1.8346317	1			126	1/adj
-1.5507128	15	-1.9741229	4.0	56531	1/name
-1.0074625	32	-1.7769681	6.0	69141	1/noun
-1.5457475	32	-2.1580153	7.0	118827	1/num
-0.06530494	1			841	10%/num
3.8152275	1			17	10,000/num
0.87326825	1			330	10,1/num
1.6672343	1	2.577751	1.0	148	10-/num
0.4986912	1	1.4075625	1.0	477	10-0/num
0.4864953	1			476	10-14/noun
3.6207254	1			21	10-daagse/adj
-1.4613593	4			13558	10.000/num
-1.4094065	3	-1.5970415	1.0	9610	10/name
-0.904121	11	-1.0092195	4.0	21393	10/noun
-1.3219993	31	-2.2365477	5.0	91258	10/num
-1.0181277	5			10904	100.000/num
0.5747052	1			440	100/adj
-0.4545112	2			2480	100/name
-1.3054047	1			2878	100/noun
-1.7091821	10	-2.409524	2.0	43355	100/num
-1.2646595	3	-1.4602196	1.0	8407	1000/num
2.778282	1			48	1000m/name
6.648441	1			1	100239/98/num
5.9552937	1			2	100800/00/num
6.648441	1	7.5690336	1.0	1	100m_lijn/noun
0.35622367	1			561	100ste/num
-0.21713746	3	-0.4074761	1.0	2941	101/num
4.0237722	1			14	1018/num
2.2057896	2			175	101ste/num
2.1277397	1	3.0284019	1.0	96	102-jarige/adj
-1.0657234	1			2290	102/num
3.6987524	2			39	1025/num
-0.31706443	2			2161	103/num
4.188852	1			13	1041/num
-0.99602395	1	-0.08576515	1.0	2123	106/num
-1.0523297	1			2239	108/num
-0.3288406	1	0.5796982	1.0	1097	10de/num
3.7664373	2			36	"11'09""01/num"
3.711928	1			20	11,32/num
0.80388236	1			352	11,7/num
1.9009033	1			117	11-1/noun
1.4310623	1			188	11-jarig/adj
-0.83410037	1			1814	11.000/num
1.8983048	1			121	11.11.11_actie/noun
0.6300909	1	1.5437715	1.0	415	11.45/noun
-2.1400535	1	-1.2288738	1.0	6645	11/name
0.26458526	61	-0.23070961	15.0	36830	11/noun
-1.5499399	11	-3.0374372	1.0	40771	11/num
-0.2194296	1			981	110.000/num
-1.3603323	2			6110	110/num
-0.28561562	1			1049	1100/num
1.2552679	1	2.1629834	1.0	223	111/name
-0.937145	1			2001	113/num
-0.8271819	1			1783	117/num
6.648441	1			1	118.550/num
-0.53709775	1			1350	11de/num
3.3922691	1			26	11th/noun
1.2611972	1			224	12%/num
2.2277946	1			86	12-10/num
6.648441	1			1	12-11_achterstand/noun
5.9552937	1	6.8758864	1.0	2	12-15_winst/noun
2.585415	1	3.4893796	1.0	61	12-2/num
-0.39541763	1	0.5109204	1.0	1183	12-jarige/adj
5.039003	1	5.9595957	1.0	5	12-urige/adj
-1.3423139	2			5996	12/name
-0.5249208	14	-0.46640736	6.0	18653	12/noun
-1.8090298	12	-1.9965352	4.0	57411	12/num
-0.923805	1			1980	120.000/num
-1.4065464	4	-1.8826145	1.0	12795	120/num
1.5099988	1			173	1200/noun
-1.0567316	1			2274	1200/num
6.648441	1			1	1207-1273/noun
-0.6862802	1			1551	121/num
4.5689993	1			8	1218/noun
5.9552937	1	6.8758864	1.0	2	122-103_zege/noun
-0.6714242	1			1530	122/num
4.7025304	1			7	1234/noun
2.3085392	1			78	1244/num
2.225392	1	3.126382	1.0	86	125-jarig/adj
-2.0428402	1			6058	125/num
4.640227	1			8	1258/noun
2.5927503	2			119	125ste/num
4.626893	1	5.537601	1.0	8	1275/noun
4.934643	1			6	1284/noun
4.7025304	1			7	1288/noun
0.3959269	3	0.20464478	1.0	1595	12de/num
1.299668	1			213	12x21/noun
1.0923852	1			271	13-jarig/adj
0.18529429	2	0.3998759	1.0	1328	13-jarige/adj
4.5025096	1			9	13-voudig/adj
-0.72100246	1			1623	13.000/num
2.652996	1	3.5639756	1.0	57	13.02/num
-1.9057206	1			5263	13/name
-0.4991677	16	-1.6718906	2.0	20739	13/noun
