_model	model.x	model.y	foc_minimum_features	soc_length	soc_length_num	tokens	type	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_ppmi	soc_soc_pos	soc_soc_win	stress	foc_base	soc_vector	pam_cluster	is_medoid
staal.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSnav	-0.12960033026485646	-0.04347322755379692	1	FOC	459	310	staal	NA	NA	bound	775	all	10_10	selection	nav	4_4	0.1274500417306349	BOW	nav_FOC	c1	0
staal.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSall	-0.10440915930542642	-0.05577089851240847	1	FOC	775	310	staal	NA	NA	bound	775	all	10_10	selection	all	4_4	0.13899864145367608	BOW	all_FOC	c1	0
staal.BOWbound10all.PPMIno.LENGTH5000.SOCPOSnav	-0.14312164755830048	-0.14746115755154685	1	5000	5000	311	staal	NA	NA	bound	1375	all	10_10	no	nav	4_4	0.17593379514508548	BOW	nav_5000	c3	0
staal.BOWbound10all.PPMIno.LENGTH5000.SOCPOSall	0.3716139406566593	-0.3626773528937827	1	5000	5000	311	staal	NA	NA	bound	1375	all	10_10	no	all	4_4	0.1647661087166558	BOW	all_5000	c5	0
staal.BOWbound10all.PPMIno.LENGTHFOC.SOCPOSnav	-0.14500530929524164	-0.0698174522483986	1	FOC	776	311	staal	NA	NA	bound	1375	all	10_10	no	nav	4_4	0.1352045865989899	BOW	nav_FOC	c3	0
staal.BOWbound10all.PPMIno.LENGTHFOC.SOCPOSall	-0.11711852525483445	-0.09674460446321684	1	FOC	1375	311	staal	NA	NA	bound	1375	all	10_10	no	all	4_4	0.15671819985762311	BOW	all_FOC	c3	0
staal.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.16309725024630048	0.01123981114886052	1	5000	5000	305	staal	NA	NA	bound	465	lex	5_5	weight	nav	4_4	0.11446402010596389	BOW	nav_5000	c6	0
staal.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSall	0.040984999040921136	-0.27282140695038953	1	5000	5000	305	staal	NA	NA	bound	465	lex	5_5	weight	all	4_4	0.19186356876374008	BOW	all_5000	c2	0
staal.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.18696705693674434	0.03126688262749317	1	FOC	354	305	staal	NA	NA	bound	465	lex	5_5	weight	nav	4_4	0.13799684741248347	BOW	nav_FOC	c6	0
staal.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.18939668531394047	0.026668848111760794	1	FOC	465	305	staal	NA	NA	bound	465	lex	5_5	weight	all	4_4	0.1341180233571883	BOW	all_FOC	c6	0
staal.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.14750834149419262	-0.03878878225630038	1	5000	5000	305	staal	NA	NA	bound	465	lex	5_5	selection	nav	4_4	0.14648216764642957	BOW	nav_5000	c3	0
staal.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSall	0.07075232512586085	-0.3496839542603886	1	5000	5000	305	staal	NA	NA	bound	465	lex	5_5	selection	all	4_4	0.2005920875926604	BOW	all_5000	c2	1
staal.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.16579618932431964	-0.001871302174976282	1	FOC	354	305	staal	NA	NA	bound	465	lex	5_5	selection	nav	4_4	0.1372675368152454	BOW	nav_FOC	c6	0
staal.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.16738082638232324	-0.0032260364188569867	1	FOC	465	305	staal	NA	NA	bound	465	lex	5_5	selection	all	4_4	0.1354325972943845	BOW	all_FOC	c6	0
staal.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSnav	-0.15835572876166046	-0.05984318129685612	1	5000	5000	309	staal	NA	NA	bound	655	lex	5_5	no	nav	4_4	0.1394359248754433	BOW	nav_5000	c3	0
staal.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSall	0.1106647845635888	-0.3734359167622509	1	5000	5000	309	staal	NA	NA	bound	655	lex	5_5	no	all	4_4	0.19380054432182375	BOW	all_5000	c2	0
staal.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.1680417135613321	-0.012247754376389083	1	FOC	501	309	staal	NA	NA	bound	655	lex	5_5	no	nav	4_4	0.12717260983529008	BOW	nav_FOC	c3	0
staal.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSall	-0.17111837648941425	-0.014291705419997547	1	FOC	655	309	staal	NA	NA	bound	655	lex	5_5	no	all	4_4	0.12718150098747602	BOW	all_FOC	c3	0
