_model	model.x	model.y	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress	foc_base	soc_vector	pam_cluster	is_medoid
herroepen.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.06450132862963609	-0.045899827423988224	NA	NA	bound	353	lex	10_10	1	weight	5000	5000	nav	4_4	234	herroepen	0.16636810616675404	BOW	nav_5000	c1	0
herroepen.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSall	0.009390214557201518	-0.11901006791972216	NA	NA	bound	353	lex	10_10	1	weight	5000	5000	all	4_4	234	herroepen	0.22026192153680496	BOW	all_5000	c2	0
herroepen.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.15605901714087564	0.01410687776416506	NA	NA	bound	353	lex	10_10	1	weight	FOC	259	nav	4_4	234	herroepen	0.16083470995050467	BOW	nav_FOC	c3	0
herroepen.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.15236164128931398	0.00380946947152213	NA	NA	bound	353	lex	10_10	1	weight	FOC	353	all	4_4	234	herroepen	0.1591557026544361	BOW	all_FOC	c3	0
herroepen.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSnav	0.025481543452780614	-0.026285972439026757	NA	NA	bound	353	lex	10_10	1	selection	5000	5000	nav	4_4	234	herroepen	0.2178686462039926	BOW	nav_5000	c3	0
herroepen.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSall	0.08691214325422401	-0.11530996499621537	NA	NA	bound	353	lex	10_10	1	selection	5000	5000	all	4_4	234	herroepen	0.2317934102834625	BOW	all_5000	c2	0
herroepen.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.08607445484432436	0.03864978505174642	NA	NA	bound	353	lex	10_10	1	selection	FOC	259	nav	4_4	234	herroepen	0.19808822937124823	BOW	nav_FOC	c3	0
herroepen.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.08286104642631945	0.025097063431257827	NA	NA	bound	353	lex	10_10	1	selection	FOC	353	all	4_4	234	herroepen	0.1988023795189673	BOW	all_FOC	c3	0
herroepen.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSnav	0.04618681298110918	0.11050016054269574	NA	NA	bound	676	lex	10_10	1	no	5000	5000	nav	4_4	235	herroepen	0.24085005413404567	BOW	nav_5000	c3	0
herroepen.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSall	0.16882908287662268	-0.19614093124675835	NA	NA	bound	676	lex	10_10	1	no	5000	5000	all	4_4	235	herroepen	0.2274547792745041	BOW	all_5000	c2	0
herroepen.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.10763597707105696	0.11747639410765015	NA	NA	bound	676	lex	10_10	1	no	FOC	488	nav	4_4	235	herroepen	0.2150271808786222	BOW	nav_FOC	c3	0
