_model	model.x	model.y	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress	foc_base	soc_vector	pam_cluster	is_medoid
harden.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.15478588297010112	-0.02963323038685963	NA	NA	bound	326	lex	10_10	1	weight	5000	5000	nav	4_4	277	harden	0.1961620900540832	BOW	nav_5000	c1	0
harden.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSall	-0.15243576444726262	-0.10536069091503114	NA	NA	bound	326	lex	10_10	1	weight	5000	5000	all	4_4	277	harden	0.19537085327028356	BOW	all_5000	c1	0
harden.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.25681066317787216	-0.004369422763514959	NA	NA	bound	326	lex	10_10	1	weight	FOC	221	nav	4_4	277	harden	0.15056194584943358	BOW	nav_FOC	c1	0
harden.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.20045682955757946	-0.012452906552293348	NA	NA	bound	326	lex	10_10	1	weight	FOC	326	all	4_4	277	harden	0.1793689442067065	BOW	all_FOC	c1	0
harden.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.07873270578093752	-0.02422193665144532	NA	NA	bound	326	lex	10_10	1	selection	5000	5000	nav	4_4	277	harden	0.2077491744259232	BOW	nav_5000	c2	0
harden.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSall	-0.09231843214579945	-0.19083619213689262	NA	NA	bound	326	lex	10_10	1	selection	5000	5000	all	4_4	277	harden	0.22020231161578876	BOW	all_5000	c3	0
harden.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.22349198074759746	0.006940255030550037	NA	NA	bound	326	lex	10_10	1	selection	FOC	221	nav	4_4	277	harden	0.1774920464068843	BOW	nav_FOC	c1	0
harden.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.14313466580679285	-0.00825444192772551	NA	NA	bound	326	lex	10_10	1	selection	FOC	326	all	4_4	277	harden	0.1701095028877057	BOW	all_FOC	c1	0
harden.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSnav	-0.11338913355305137	0.0064313343949972766	NA	NA	bound	691	lex	10_10	1	no	5000	5000	nav	4_4	279	harden	0.1896568384669393	BOW	nav_5000	c4	0
harden.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSall	-0.17434518167984625	-0.2999655527316565	NA	NA	bound	691	lex	10_10	1	no	5000	5000	all	4_4	279	harden	0.2275439566028273	BOW	all_5000	c3	0
harden.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.24231163108891948	0.04109361257820658	NA	NA	bound	691	lex	10_10	1	no	FOC	491	nav	4_4	279	harden	0.1774998741460722	BOW	nav_FOC	c4	0
harden.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSall	-0.1876800365745982	0.02193455063672125	NA	NA	bound	691	lex	10_10	1	no	FOC	691	all	4_4	279	harden	0.17389874612850087	BOW	all_FOC	c4	0
harden.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSnav	-0.14455997440702184	0.031187018145493767	NA	NA	bound	417	all	10_10	1	weight	5000	5000	nav	4_4	279	harden	0.14125234344494364	BOW	nav_5000	c1	0
harden.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSall	-0.15280275220490314	-0.09083103430182898	NA	NA	bound	417	all	10_10	1	weight	5000	5000	all	4_4	279	harden	0.17895685574300307	BOW	all_5000	c1	0
harden.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.2575406115688702	0.040522691273089946	NA	NA	bound	417	all	10_10	1	weight	FOC	221	nav	4_4	279	harden	0.13949079970138012	BOW	nav_FOC	c1	0
harden.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSall	-0.20561844058463413	0.031292851503431474	NA	NA	bound	417	all	10_10	1	weight	FOC	417	all	4_4	279	harden	0.1591655448027758	BOW	all_FOC	c1	1
harden.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSnav	-0.03680629314204441	0.02970433189871371	NA	NA	bound	417	all	10_10	1	selection	5000	5000	nav	4_4	279	harden	0.15426066881243283	BOW	nav_5000	c2	0
harden.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSall	-0.08560029703605884	-0.20315301695465507	NA	NA	bound	417	all	10_10	1	selection	5000	5000	all	4_4	279	harden	0.2064807063965248	BOW	all_5000	c3	0
harden.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSnav	-0.1918444280405366	0.050452939620018636	NA	NA	bound	417	all	10_10	1	selection	FOC	221	nav	4_4	279	harden	0.15891083088819416	BOW	nav_FOC	c1	0
harden.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSall	-0.13703179355721337	0.035182783351163184	NA	NA	bound	417	all	10_10	1	selection	FOC	417	all	4_4	279	harden	0.1548217678113952	BOW	all_FOC	c1	0
harden.BOWbound10all.PPMIno.LENGTH5000.SOCPOSnav	-0.084303854895015	0.15326586738218673	NA	NA	bound	896	all	10_10	1	no	5000	5000	nav	4_4	279	harden	0.1882021701487645	BOW	nav_5000	c2	0
harden.BOWbound10all.PPMIno.LENGTH5000.SOCPOSall	-0.1269322057937381	0.4558544578266681	NA	NA	bound	896	all	10_10	1	no	5000	5000	all	4_4	279	harden	0.2633425564703316	BOW	all_5000	c3	0
harden.BOWbound10all.PPMIno.LENGTHFOC.SOCPOSnav	-0.2295017712011147	0.0838262368357152	NA	NA	bound	896	all	10_10	1	no	FOC	491	nav	4_4	279	harden	0.17826528833942273	BOW	nav_FOC	c4	0
harden.BOWbound10all.PPMIno.LENGTHFOC.SOCPOSall	-0.19057950068334262	0.08264804577830029	NA	NA	bound	896	all	10_10	1	no	FOC	896	all	4_4	279	harden	0.17008531034610372	BOW	all_FOC	c4	0
harden.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.06453896023073771	-0.04462856431634636	NA	NA	bound	259	lex	5_5	1	weight	5000	5000	nav	4_4	276	harden	0.1971379786979736	BOW	nav_5000	c2	0
harden.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSall	-0.07183865153286319	-0.11765077249371282	NA	NA	bound	259	lex	5_5	1	weight	5000	5000	all	4_4	276	harden	0.21645895755660316	BOW	all_5000	c3	0
harden.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.20425706285493514	-0.04137070061609572	NA	NA	bound	259	lex	5_5	1	weight	FOC	174	nav	4_4	276	harden	0.16859238127453474	BOW	nav_FOC	c2	0
harden.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.10940390871658268	-0.03826226991349761	NA	NA	bound	259	lex	5_5	1	weight	FOC	259	all	4_4	276	harden	0.19440481177622815	BOW	all_FOC	c2	0
harden.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.007566252117041995	-0.0487890098176605	NA	NA	bound	259	lex	5_5	1	selection	5000	5000	nav	4_4	276	harden	0.19770589476052552	BOW	nav_5000	c2	0
harden.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSall	-0.02459422374047241	-0.17938457714827383	NA	NA	bound	259	lex	5_5	1	selection	5000	5000	all	4_4	276	harden	0.22754436586723462	BOW	all_5000	c3	0
harden.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.16722624153792556	-0.025720098852231924	NA	NA	bound	259	lex	5_5	1	selection	FOC	174	nav	4_4	276	harden	0.18324523459342454	BOW	nav_FOC	c2	0
harden.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.05630071486421156	-0.02783483705482133	NA	NA	bound	259	lex	5_5	1	selection	FOC	259	all	4_4	276	harden	0.17601294030688416	BOW	all_FOC	c2	0
harden.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSnav	-0.006794911060045602	-0.03413788016715375	NA	NA	bound	365	lex	5_5	1	no	5000	5000	nav	4_4	279	harden	0.19564331044738803	BOW	nav_5000	c2	0
harden.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSall	-0.04666020235973829	-0.2251752715792736	NA	NA	bound	365	lex	5_5	1	no	5000	5000	all	4_4	279	harden	0.2045707401859838	BOW	all_5000	c3	0
harden.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.1697363363282795	-0.015494558133585365	NA	NA	bound	365	lex	5_5	1	no	FOC	254	nav	4_4	279	harden	0.19829660677026847	BOW	nav_FOC	c2	0
harden.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSall	-0.07195460597496392	-0.022141776271658833	NA	NA	bound	365	lex	5_5	1	no	FOC	365	all	4_4	279	harden	0.1893737283814913	BOW	all_FOC	c2	0
harden.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSnav	-0.05860573787605072	0.004179742640191497	NA	NA	bound	340	all	5_5	1	weight	5000	5000	nav	4_4	279	harden	0.1592250562450135	BOW	nav_5000	c2	0
harden.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSall	-0.07398945135402399	-0.09926682384040507	NA	NA	bound	340	all	5_5	1	weight	5000	5000	all	4_4	279	harden	0.1904378341051529	BOW	all_5000	c3	0
harden.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.19000757891005166	0.0140340387205114	NA	NA	bound	340	all	5_5	1	weight	FOC	174	nav	4_4	279	harden	0.16072145187215334	BOW	nav_FOC	c2	0
harden.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSall	-0.10632550867616485	0.0013010864730837932	NA	NA	bound	340	all	5_5	1	weight	FOC	340	all	4_4	279	harden	0.1873608819493917	BOW	all_FOC	c2	0
harden.BOWbound5all.PPMIselection.LENGTH5000.SOCPOSnav	0.011977613861178543	0.011867897045400973	NA	NA	bound	340	all	5_5	1	selection	5000	5000	nav	4_4	279	harden	0.15604287594578692	BOW	nav_5000	c2	0
harden.BOWbound5all.PPMIselection.LENGTH5000.SOCPOSall	-0.015173683031204891	-0.1521280278574131	NA	NA	bound	340	all	5_5	1	selection	5000	5000	all	4_4	279	harden	0.2007203657539471	BOW	all_5000	c3	1
harden.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSnav	-0.12350426015889392	0.03947996225426033	NA	NA	bound	340	all	5_5	1	selection	FOC	174	nav	4_4	279	harden	0.1608063556948709	BOW	nav_FOC	c2	0
harden.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSall	-0.047587680479347264	0.008270274068846582	NA	NA	bound	340	all	5_5	1	selection	FOC	340	all	4_4	279	harden	0.16337675619436726	BOW	all_FOC	c2	1
harden.BOWbound5all.PPMIno.LENGTH5000.SOCPOSnav	0.022575373434541208	0.03283975807632476	NA	NA	bound	504	all	5_5	1	no	5000	5000	nav	4_4	279	harden	0.15327112448626612	BOW	nav_5000	c2	0
