pmi10	raw_co10	pmi4	raw_co4	raw_freq	cw
4.8609242	1	5.7278233	1.0	54	160ste/num
1.0042483	1			2459	16de/num
0.57773	1			3798	17-jarige/adj
2.358926	1			641	17.29/num
2.6404428	1			474	17.45/noun
1.0360988	10	1.0080006	4.0	23878	17/noun
0.20815852	7	-0.8451139	1.0	38139	17/num
2.8254502	2	3.02832	1.0	790	178/num
1.5821038	3			4170	18-jarige/adj
1.63043	1	2.520551	1.0	1313	18.00/noun
1.7661308	3	2.2497888	2.0	3452	18.30/noun
3.876059	1	4.757689	1.0	144	18.40/noun
3.6913602	1			166	18.40/num
2.7723336	1	3.6525273	1.0	423	18.45/noun
1.2091227	14	1.5368216	8.0	28146	18/noun
-0.81170243	3			45254	18/num
0.020263623	1			6553	180/num
2.2789266	1	3.1714575	1.0	684	181/num
4.4245687	2	5.3239355	2.0	159	1831/noun
3.8636863	1			139	1837/noun
6.84684	1			7	1869-1954/noun
3.3425703	1	4.2372327	1.0	236	1869/noun
2.4044406	1			601	1870/noun
3.056823	1			313	1879/noun
2.5268786	1			534	1896/noun
2.6670823	1			461	1897/noun
0.83462775	1			2907	18de/num
6.5955253	1			9	19,76/num
1.1230097	2	1.3193756	1.0	4392	19-jarige/adj
2.580645	1	3.4729295	1.0	508	19.15/noun
1.2377737	4			7776	19.30/noun
5.6881633	1			23	19.30uur/noun
1.8967549	23	2.2149405	13.0	23205	19/noun
-0.88628376	2	-0.68677455	1.0	32622	19/num
2.827052	2			786	1901/noun
2.291911	1	3.1869845	1.0	674	1902/noun
4.9091263	1			50	1903/num
4.789973	1			56	1904/num
1.9525778	1			941	1913/noun
1.457442	1			1547	1914/noun
2.1017213	1	3.0004184	1.0	811	1916/noun
1.8472173	1	2.7331553	1.0	1061	192/num
1.7443202	1	2.6431408	1.0	1160	1923/noun
2.6749098	3			1377	1927/noun
2.0139651	2	2.2175841	1.0	1772	1930/noun
1.7288888	1			1183	1931/noun
1.1977398	1	2.0938518	1.0	2008	1933/noun
8.79275	1			1	1934-1951/num
1.4302316	1	2.326941	1.0	1594	1935/noun
1.1878804	1			2030	1936/noun
8.79275	1			1	1940-andapos;45/name
0.68581337	1			3349	1940/noun
1.0721552	1			2276	1941/noun
1.1092772	1			2201	1943/noun
0.7101315	1	1.6068466	1.0	3268	1944/noun
0.9518862	1	1.8486263	1.0	2565	1949/noun
1.0589788	1	1.9537859	1.0	2312	1951/noun
0.98580945	1	1.8814552	1.0	2487	1952/noun
1.9411242	3			2868	1953/noun
0.937593	1			2612	1954/noun
0.82571244	1	1.7216082	1.0	2919	1956/noun
0.9642141	1	1.859137	1.0	2543	1957/noun
0.8732665	1	1.768249	1.0	2786	1959/noun
0.64265734	1			3496	1964/noun
1.2147452	2			3951	1969/noun
0.29685193	1			4944	1972/noun
0.26860103	1	1.1649042	1.0	5091	1973/noun
1.8149557	5	1.1012293	1.0	5419	1974/noun
0.14155051	1	1.0371479	1.0	5784	1975/noun
1.6448563	4	1.1522839	1.0	5222	1977/noun
0.23724033	1			5248	1978/noun
0.9027477	2			5396	1979/noun
1.9884126	1	2.8816226	1.0	916	1980/num
0.7782158	2			6105	1983/noun
0.6993259	2	1.5954596	2.0	6625	1984/noun
-0.09565498	1			7315	1985/noun
0.9599292	3			7640	1986/noun
0.5847417	2			7416	1987/noun
0.33112237	2	0.5351553	1.0	9548	1988/noun
2.1772873	1			766	199/num
0.41072762	3	0.90229344	2.0	13235	1990/noun
-0.21791615	2			16536	1992/noun
-0.9340481	1	-0.036782324	1.0	16911	1993/noun
-0.5688125	2	-0.36513275	1.0	23494	1994/noun
-0.009063723	4	0.19478412	2.0	26842	1995/noun
0.29256225	6	0.49628058	3.0	29771	1996/noun
-0.6003646	3	0.29639903	3.0	36388	1997/noun
0.9215342	1			2652	1997/num
0.7914797	17	-0.04683607	3.0	51305	1998/noun
0.6191886	1			3597	1998/num
2.582853	1			509	1999-2000/num
1.2307702	1			1978	1999/name
