_model	model.x	model.y	foc_minimum_features	soc_length	soc_length_num	tokens	type	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_ppmi	soc_soc_pos	soc_soc_win	stress	foc_base
stof.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.9092300364754949	-0.14284021774368402	1	5000	5000	311	stof	NA	NA	bound	648	lex	10_10	weight	nav	4_4	0.16062176181479862	BOW
stof.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSall	0.2088194757146849	-1.5866141420304158	1	5000	5000	311	stof	NA	NA	bound	648	lex	10_10	weight	all	4_4	0.21755316042018488	BOW
stof.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-1.1701113324455243	0.17801159126433938	1	FOC	507	311	stof	NA	NA	bound	648	lex	10_10	weight	nav	4_4	0.1403817747364661	BOW
stof.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSall	-1.129154138943626	0.1493109846404243	1	FOC	648	311	stof	NA	NA	bound	648	lex	10_10	weight	all	4_4	0.1300451137716368	BOW
stof.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.9431852009842363	-0.5056746067275045	1	5000	5000	311	stof	NA	NA	bound	648	lex	10_10	selection	nav	4_4	0.17149533282915877	BOW
stof.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSall	-0.10803355748146048	-1.8159053068587445	1	5000	5000	311	stof	NA	NA	bound	648	lex	10_10	selection	all	4_4	0.21604720649147693	BOW
stof.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	-1.2014705085215878	-0.10536220372029236	1	FOC	507	311	stof	NA	NA	bound	648	lex	10_10	selection	nav	4_4	0.1494547507855801	BOW
stof.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	-1.1359859485437835	-0.15129384625793946	1	FOC	648	311	stof	NA	NA	bound	648	lex	10_10	selection	all	4_4	0.13890882734631418	BOW
stof.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSnav	-1.0827415328787515	-0.7604773979103467	1	5000	5000	313	stof	NA	NA	bound	1132	lex	10_10	no	nav	4_4	0.15380607184535408	BOW
stof.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSall	-0.027031136142866355	-2.636863074304926	1	5000	5000	313	stof	NA	NA	bound	1132	lex	10_10	no	all	4_4	0.18462533743398285	BOW
stof.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSnav	-1.2671972491760926	-0.3584518123306158	1	FOC	870	313	stof	NA	NA	bound	1132	lex	10_10	no	nav	4_4	0.1344177850841555	BOW
stof.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSall	-1.2070004089766386	-0.4136438096353608	1	FOC	1132	313	stof	NA	NA	bound	1132	lex	10_10	no	all	4_4	0.12871421884125037	BOW
stof.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSnav	-0.32792123286409414	-0.22163171105410984	1	5000	5000	313	stof	NA	NA	bound	766	all	10_10	weight	nav	4_4	0.1301140075921401	BOW
stof.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSall	1.0490354342101418	-1.0527684477613477	1	5000	5000	313	stof	NA	NA	bound	766	all	10_10	weight	all	4_4	0.1876948609559224	BOW
stof.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.7792530171365939	0.13353288001400346	1	FOC	507	313	stof	NA	NA	bound	766	all	10_10	weight	nav	4_4	0.12172253143255632	BOW
stof.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSall	-0.6999010336825064	0.07593668147252486	1	FOC	766	313	stof	NA	NA	bound	766	all	10_10	weight	all	4_4	0.11092386993716943	BOW
stof.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSnav	0.4151006200548609	-0.6736962573217685	1	5000	5000	313	stof	NA	NA	bound	766	all	10_10	selection	nav	4_4	0.23108406108940344	BOW
stof.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSall	2.1321231795573405	-1.172152591916324	1	5000	5000	313	stof	NA	NA	bound	766	all	10_10	selection	all	4_4	0.21284970453358146	BOW
stof.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSnav	-0.48980339910270576	-0.31828204503638136	1	FOC	507	313	stof	NA	NA	bound	766	all	10_10	selection	nav	4_4	0.15069699244653412	BOW
