_model	model.x	model.y	LEMMAPATH	LEMMAREL	base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type
geestig.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.9201208111101403	-0.5132047615410015	NA	NA	BOW	bound	562	lex	10_10	1	weight	5000	5000	nav	4_4	272	geestig
geestig.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSall	0.8974873747465445	-1.0490813492036486	NA	NA	BOW	bound	562	lex	10_10	1	weight	5000	5000	all	4_4	272	geestig
geestig.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-1.0268363878642393	-0.4256985166346736	NA	NA	BOW	bound	562	lex	10_10	1	weight	FOC	404	nav	4_4	272	geestig
geestig.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.9782659596102448	-0.41977863762380424	NA	NA	BOW	bound	562	lex	10_10	1	weight	FOC	562	all	4_4	272	geestig
geestig.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.8229797109517676	-0.7998124623928697	NA	NA	BOW	bound	562	lex	10_10	1	selection	5000	5000	nav	4_4	272	geestig
geestig.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSall	0.8294547755796803	-1.2237146446255716	NA	NA	BOW	bound	562	lex	10_10	1	selection	5000	5000	all	4_4	272	geestig
geestig.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.9643388975128312	-0.6026883294187559	NA	NA	BOW	bound	562	lex	10_10	1	selection	FOC	404	nav	4_4	272	geestig
geestig.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.9061023569286726	-0.5893903716834538	NA	NA	BOW	bound	562	lex	10_10	1	selection	FOC	562	all	4_4	272	geestig
geestig.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSnav	-0.9143574343395486	-1.2393490554117241	NA	NA	BOW	bound	960	lex	10_10	1	no	5000	5000	nav	4_4	274	geestig
geestig.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSall	1.0484351782691501	-1.9246667042224557	NA	NA	BOW	bound	960	lex	10_10	1	no	5000	5000	all	4_4	274	geestig
geestig.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSnav	-1.0235694067447259	-0.9961412859967191	NA	NA	BOW	bound	960	lex	10_10	1	no	FOC	707	nav	4_4	274	geestig
geestig.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSall	-0.9417938542806544	-0.9903646583961218	NA	NA	BOW	bound	960	lex	10_10	1	no	FOC	960	all	4_4	274	geestig
geestig.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSnav	-0.40161697297057475	-0.7302300133590054	NA	NA	BOW	bound	718	all	10_10	1	weight	5000	5000	nav	4_4	275	geestig
geestig.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSall	1.2621120054878905	-0.9550844381411271	NA	NA	BOW	bound	718	all	10_10	1	weight	5000	5000	all	4_4	275	geestig
geestig.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.760125550424048	-0.5397333594164387	NA	NA	BOW	bound	718	all	10_10	1	weight	FOC	404	nav	4_4	275	geestig
geestig.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSall	-0.6428967502880113	-0.5616526328742025	NA	NA	BOW	bound	718	all	10_10	1	weight	FOC	718	all	4_4	275	geestig
geestig.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSnav	-0.04567009360531421	-1.1975099073670734	NA	NA	BOW	bound	718	all	10_10	1	selection	5000	5000	nav	4_4	275	geestig
geestig.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSall	1.3668511555678051	-1.2270851362732909	NA	NA	BOW	bound	718	all	10_10	1	selection	5000	5000	all	4_4	275	geestig
geestig.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSnav	-0.42743581977524814	-0.906115552806421	NA	NA	BOW	bound	718	all	10_10	1	selection	FOC	404	nav	4_4	275	geestig
geestig.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSall	-0.3237398052873282	-0.9026930842245885	NA	NA	BOW	bound	718	all	10_10	1	selection	FOC	718	all	4_4	275	geestig
geestig.BOWbound10all.PPMIno.LENGTH5000.SOCPOSnav	0.011167880758357424	-1.8410487644136981	NA	NA	BOW	bound	1342	all	10_10	1	no	5000	5000	nav	4_4	275	geestig
geestig.BOWbound10all.PPMIno.LENGTH5000.SOCPOSall	1.9336911234809675	-1.9753173650278701	NA	NA	BOW	bound	1342	all	10_10	1	no	5000	5000	all	4_4	275	geestig
geestig.BOWbound10all.PPMIno.LENGTHFOC.SOCPOSnav	-0.4504382659901686	-1.4582001300353762	NA	NA	BOW	bound	1342	all	10_10	1	no	FOC	707	nav	4_4	275	geestig
geestig.BOWbound10all.PPMIno.LENGTHFOC.SOCPOSall	-0.2848613166070712	-1.5153296703525987	NA	NA	BOW	bound	1342	all	10_10	1	no	FOC	1342	all	4_4	275	geestig
geestig.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.96068639672641	0.13226352185131482	NA	NA	BOW	bound	452	lex	5_5	1	weight	5000	5000	nav	4_4	268	geestig
geestig.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSall	1.2436007512039355	-0.12277075653740115	NA	NA	BOW	bound	452	lex	5_5	1	weight	5000	5000	all	4_4	268	geestig
geestig.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSnav	-1.0501965069706225	0.12130686483246166	NA	NA	BOW	bound	452	lex	5_5	1	weight	FOC	322	nav	4_4	268	geestig
geestig.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.9896335923149738	0.10812380403764381	NA	NA	BOW	bound	452	lex	5_5	1	weight	FOC	452	all	4_4	268	geestig
geestig.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.8809304089844644	0.07174163988395019	NA	NA	BOW	bound	452	lex	5_5	1	selection	5000	5000	nav	4_4	268	geestig
geestig.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSall	1.2824946215888477	-0.3650845273269734	NA	NA	BOW	bound	452	lex	5_5	1	selection	5000	5000	all	4_4	268	geestig
geestig.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.9339027294260153	0.011289425659137566	NA	NA	BOW	bound	452	lex	5_5	1	selection	FOC	322	nav	4_4	268	geestig
geestig.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.8947925699027356	0.015150840482092594	NA	NA	BOW	bound	452	lex	5_5	1	selection	FOC	452	all	4_4	268	geestig
geestig.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSnav	-1.0958702788774994	-0.10541829708978578	NA	NA	BOW	bound	607	lex	5_5	1	no	5000	5000	nav	4_4	271	geestig
geestig.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSall	1.6769093620882558	-0.7611218615562272	NA	NA	BOW	bound	607	lex	5_5	1	no	5000	5000	all	4_4	271	geestig
geestig.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSnav	-1.0145482444654674	-0.08713011659970221	NA	NA	BOW	bound	607	lex	5_5	1	no	FOC	444	nav	4_4	271	geestig
geestig.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSall	-0.9547061099505862	-0.07200287695481686	NA	NA	BOW	bound	607	lex	5_5	1	no	FOC	607	all	4_4	271	geestig
geestig.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSnav	-0.4090486348459528	0.10680436242827954	NA	NA	BOW	bound	573	all	5_5	1	weight	5000	5000	nav	4_4	274	geestig
geestig.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSall	1.4112482490569667	-0.018933414184397576	NA	NA	BOW	bound	573	all	5_5	1	weight	5000	5000	all	4_4	274	geestig
geestig.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.7417710928672921	0.0332600066176266	NA	NA	BOW	bound	573	all	5_5	1	weight	FOC	322	nav	4_4	274	geestig
geestig.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSall	-0.6662957628607012	0.008000209214423753	NA	NA	BOW	bound	573	all	5_5	1	weight	FOC	573	all	4_4	274	geestig
geestig.BOWbound5all.PPMIselection.LENGTH5000.SOCPOSnav	-0.05632408121857164	-0.2086732245594184	NA	NA	BOW	bound	573	all	5_5	1	selection	5000	5000	nav	4_4	274	geestig
geestig.BOWbound5all.PPMIselection.LENGTH5000.SOCPOSall	1.5575607141877748	-0.1536683676048176	NA	NA	BOW	bound	573	all	5_5	1	selection	5000	5000	all	4_4	274	geestig
geestig.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSnav	-0.4832232162478123	-0.11418359198536296	NA	NA	BOW	bound	573	all	5_5	1	selection	FOC	322	nav	4_4	274	geestig
geestig.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSall	-0.3961487660587314	-0.12595554725229088	NA	NA	BOW	bound	573	all	5_5	1	selection	FOC	573	all	4_4	274	geestig
geestig.BOWbound5all.PPMIno.LENGTH5000.SOCPOSnav	0.35519868251556014	-0.8440158428085296	NA	NA	BOW	bound	813	all	5_5	1	no	5000	5000	nav	4_4	274	geestig
