_model	model.x	model.y	foc_minimum_features	soc_length	soc_length_num	tokens	type	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_ppmi	soc_soc_pos	soc_soc_win	stress	foc_base
blik.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.962564611303002	-0.10110942393903315	1	5000	5000	265	blik	NA	NA	bound	528	lex	10_10	weight	nav	4_4	0.200685093573222	BOW
blik.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSall	-0.86578254610561	-1.2550919592143148	1	5000	5000	265	blik	NA	NA	bound	528	lex	10_10	weight	all	4_4	0.24328303811131563	BOW
blik.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.9528209871185248	0.2968000060177802	1	FOC	368	265	blik	NA	NA	bound	528	lex	10_10	weight	nav	4_4	0.2393025060811398	BOW
blik.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.9229999096640714	0.2691559624172218	1	FOC	528	265	blik	NA	NA	bound	528	lex	10_10	weight	all	4_4	0.23735212070452058	BOW
blik.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSnav	-1.1551737892010168	0.4707071943036961	1	5000	5000	265	blik	NA	NA	bound	528	lex	10_10	selection	nav	4_4	0.21577863814097462	BOW
blik.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSall	-1.3171559483288557	0.8612139688040281	1	5000	5000	265	blik	NA	NA	bound	528	lex	10_10	selection	all	4_4	0.22601718524235262	BOW
blik.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	-1.0904395857311275	0.5336523111307937	1	FOC	368	265	blik	NA	NA	bound	528	lex	10_10	selection	nav	4_4	0.23901415291438796	BOW
blik.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	-1.0599844530211169	0.49270810410741517	1	FOC	528	265	blik	NA	NA	bound	528	lex	10_10	selection	all	4_4	0.24668602460400255	BOW
blik.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSnav	-1.780427659197225	0.9763026452649788	1	5000	5000	275	blik	NA	NA	bound	977	lex	10_10	no	nav	4_4	0.22899700090389627	BOW
blik.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSall	-2.2936776514187365	-0.8738974518829346	1	5000	5000	275	blik	NA	NA	bound	977	lex	10_10	no	all	4_4	0.19903990624572032	BOW
blik.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSnav	-1.6890469090347404	0.9701481104834278	1	FOC	706	275	blik	NA	NA	bound	977	lex	10_10	no	nav	4_4	0.21790793158855343	BOW
blik.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSall	-1.6453808133118109	0.936393585032264	1	FOC	977	275	blik	NA	NA	bound	977	lex	10_10	no	all	4_4	0.22250529295859547	BOW
blik.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSnav	0.1799455003318929	-0.3890533558622364	1	5000	5000	276	blik	NA	NA	bound	643	all	10_10	weight	nav	4_4	0.19000668216210304	BOW
blik.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSall	0.4876427946886163	-1.0104756674961255	1	5000	5000	276	blik	NA	NA	bound	643	all	10_10	weight	all	4_4	0.2035689591039928	BOW
blik.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.13951834053361872	-0.016642912001030994	1	FOC	368	276	blik	NA	NA	bound	643	all	10_10	weight	nav	4_4	0.2153137705974836	BOW
blik.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSall	-0.15600297372102304	-0.04072808558864246	1	FOC	643	276	blik	NA	NA	bound	643	all	10_10	weight	all	4_4	0.20685475314094076	BOW
blik.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSnav	0.5569857525888984	0.9227548484784217	1	5000	5000	276	blik	NA	NA	bound	643	all	10_10	selection	nav	4_4	0.2053114552632364	BOW
blik.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSall	1.1781681423864654	1.1193435157470288	1	5000	5000	276	blik	NA	NA	bound	643	all	10_10	selection	all	4_4	0.21351141960486547	BOW
blik.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSnav	0.06532618322018253	0.7635802594390368	1	FOC	368	276	blik	NA	NA	bound	643	all	10_10	selection	nav	4_4	0.20268139363727813	BOW
blik.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSall	0.03661776469087065	0.7449714768618165	1	FOC	643	276	blik	NA	NA	bound	643	all	10_10	selection	all	4_4	0.19725234165648536	BOW
blik.BOWbound10all.PPMIno.LENGTH5000.SOCPOSnav	0.32642105010417954	1.4138090148717413	1	5000	5000	276	blik	NA	NA	bound	1276	all	10_10	no	nav	4_4	0.20851620174814467	BOW
blik.BOWbound10all.PPMIno.LENGTH5000.SOCPOSall	0.8064408131726649	1.9581245464093437	1	5000	5000	276	blik	NA	NA	bound	1276	all	10_10	no	all	4_4	0.22974057821139415	BOW
blik.BOWbound10all.PPMIno.LENGTHFOC.SOCPOSnav	-0.05921357458961793	1.3767581501194868	1	FOC	706	276	blik	NA	NA	bound	1276	all	10_10	no	nav	4_4	0.21698415955718367	BOW
blik.BOWbound10all.PPMIno.LENGTHFOC.SOCPOSall	-0.1644714421497602	1.456545089250167	1	FOC	1276	276	blik	NA	NA	bound	1276	all	10_10	no	all	4_4	0.20877653170253865	BOW
blik.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.8242946082541416	-0.2619943615549909	1	5000	5000	257	blik	NA	NA	bound	384	lex	5_5	weight	nav	4_4	0.20661644116768194	BOW
