pmi10	raw_co10_x	pmi4	raw_co10_y	raw_freq	cw
-1.6218127	1			36388	1997/noun
-0.5782976	4			51305	1998/noun
-0.95437753	3			56174	1999/noun
4.8662143	1			55	1m88/noun
4.164889	1			112	2,47/num
-1.2041842	1	-0.29823408	1.0	24044	2-0/num
0.008997456	2	0.22053103	1.0	14374	2-1/num
1.0274489	1			2591	2-3/noun
5.137008	1			42	2-3_nederlaag/noun
7.48361	1			4	2-Eisden/name
7.771292	1			3	2-VEERLE/name
-1.8942035	1			49039	2/name
-1.0688031	1	-0.17112309	1.0	21190	2/noun
-0.43706158	10	-1.8363311	1.0	111933	2/num
3.763656	1			167	20,6/num
0.54780203	1	1.4472533	1.0	4209	20-jarige/adj
-0.22727281	1			9136	20.00/num
7.2604666	1			5	20.10-21.00/noun
7.3547773	1			5	20.25-22.00/noun
2.7502666	1			471	20.25/num
6.285907	1			14	20.57-22.00u./noun
-0.77833205	5	-1.4857932	1.0	78788	20/num
-1.3823738	1	-0.48088363	1.0	28826	200/num
-0.64573073	1	0.24979122	1.0	13959	2000/name
0.47636023	14	0.5318727	6.0	62906	2000/noun
0.5341132	13	0.2568316	4.0	55236	2001/noun
0.17189084	1	1.0698683	1.0	6128	2001/num
0.33707613	10	0.3216612	4.0	51756	2002/noun
0.45968696	8	0.37910226	3.0	36639	2003/noun
2.05232	4	1.558576	1.0	3771	2003/num
1.0152905	10	1.402789	6.0	26354	2004/noun
0.9450543	1			2851	2004/num
0.39611992	2			9767	2006/noun
2.0815523	1			907	2006/num
0.8495518	1			3106	2008/noun
0.4577163	1	1.3591554	1.0	4579	2010/noun
1.2907364	2			3978	20ste/num
-1.0492177	1	-0.15163308	1.0	20754	21/noun
-1.6284847	1			36979	21/num
2.484963	1	3.385992	1.0	602	216/num
0.35282126	1	1.2515814	1.0	5100	21ste/num
1.1056827	2	1.3121675	1.0	4822	22-jarige/adj
1.4644392	1	2.365901	1.0	1680	22ste/num
7.8953447	1			3	23.10-0.00/noun
0.08336986	5	-0.6238996	1.0	33360	23/num
1.0142242	1			2623	24/name
-1.737016	1			41130	24/num
0.7078588	2			7167	25.000/num
-0.6409034	1			13820	25/noun
-1.1845752	3			71011	25/num
0.553482	1			4198	26-jarige/adj
-1.312727	1			26958	26/num
4.2342052	1			106	265.000/num
7.078145	1			6	27,16/num
4.0249305	1			130	27,2/num
0.5401861	1	1.4385347	1.0	4262	27-jarige/adj
-0.60848784	1			13389	27/noun
-1.3034824	1			26724	27/num
5.8969293	1	6.805701	1.0	20	28-28/num
-0.6935545	1			14547	28/noun
-1.3185327	1			27077	28/num
2.5182338	1			583	285/num
2.0592108	1	2.9589467	1.0	926	290/num
2.9979274	1			366	3%/num
4.543787	1			77	3,16/num
-0.13034432	1	0.77041733	1.0	8242	3,5/num
1.2251526	1			2129	3,8/num
-0.9004602	1			17785	3-0/num
4.3976946	1			88	3-0_cijfer/noun
-0.057323385	1			7712	3-1/noun
0.11623302	1			6425	3-1/num
0.37693223	1			4976	3-2/noun
1.2438339	2	2.1482885	2.0	4164	3-2/num
3.2092035	1			295	3.400/num
-0.30535263	3	-0.5107502	1.0	29860	3/name
-0.267712	2	-0.06204176	1.0	18982	3/noun
-1.4944041	3			96814	3/num
-0.9788162	3			57761	30/num
-0.9259422	1			18263	300/num
0.7020276	1	1.5997012	1.0	3638	31-jarige/adj
0.0013609731	2			14497	31/noun
2.9746754	1			369	314/num
1.3991392	2			3621	32-jarige/adj
-0.38261858	2	-0.1736166	1.0	21246	32/num
1.5052466	2			3259	35-jarige/adj
-0.826934	2	0.07550376	2.0	33039	35/num
6.384998	1			12	353.000/num
1.9797024	1	2.8792598	1.0	1003	35ste/num
4.146507	1			114	37,4/num
6.1226335	1			16	374.000/num
8.369129	1			2	38,5gradenC/noun
8.176757	1			2	38.65/num
-0.06873545	2			15538	38/num
3.2412946	2			563	38ste/num
8.176757	1			2	4,10m/noun
-0.025951171	1	0.8793013	1.0	7403	4-0/num
5.825382	1	6.7379823	1.0	21	4-0_voorsprong/noun
1.2930642	2			3977	4-1/noun
-0.9415062	1			18612	4/name
-1.038986	1	-0.14016621	1.0	20560	4/noun
