pmi10	raw_co10_x	pmi4	raw_co10_y	raw_freq	cw
7.1706076	1			16	Apostolische/name
7.8763337	1			8	Appeal/noun
2.0443027	1	2.950782	1.0	2775	Apple/name
5.360783	2			201	Aprilia/name
5.2074366	1	6.116637	1.0	116	Aprilia/noun
6.5707417	1			30	Aquarius/noun
2.4628527	1			1789	Arabisch/noun
6.451245	1			33	Arcadië/noun
2.99334	1			1081	Arend/name
5.509408	1	6.424426	1.0	85	Arets/name
0.62356234	1			11441	Argentinië/name
2.40558	1	3.3162756	1.0	1928	Arjan/name
6.58979	1			29	Armando/det
5.5630465	1	6.4743986	1.0	81	Armen/name
5.5395308	2	6.4551744	2.0	165	Arms/name
0.45338517	1	1.360439	1.0	13580	Armstrong/name
2.2393315	1			2275	Arno/name
6.2035446	3	6.0116024	1.0	129	Arosa/name
1.0442164	1	1.9544514	1.0	7543	Art/name
6.605649	1	7.5127516	1.0	29	Asleep/name
2.3344996	1			2056	Assche/name
1.5079077	1			4708	Audi/name
8.385052	1			5	Automobiltechnik/name
2.263506	1			2194	Avenue/name
2.5420263	1			1686	Averbode/name
9.943196	1			1	Awacs_vlucht/noun
5.479014	1			97	BEN/name
4.275905	2	4.486141	1.0	599	Baars/name
3.6894639	1			527	Backstage/name
9.943196	1			1	BadMotorFinger/name
1.7268382	1			3776	Baert/name
9.943196	1			1	Baines/adj
2.3007443	1			2110	Baker/name
3.1354825	1			926	Balthazar/name
2.2028148	2	2.4200513	1.0	4666	Band/name
9.25005	1	10.169509	1.0	2	Barbers/adj
2.5115414	1	3.4228761	1.0	1720	Baron/name
5.440613	1	6.347684	1.0	92	Barragán/name
-0.15713169	2			50275	Bart/name
5.9431624	1			55	Bartolo/name
4.220756	1			313	Basement/name
4.4623494	1			244	Bauhaus/name
7.745972	1			9	Bauhaus_stijl/noun
4.348671	1			274	Beastie/name
0.90094346	1	1.806137	1.0	8738	Beatrix/name
4.844856	1			165	Becher/name
2.5471373	1			1799	Beeck/name
5.0309095	2	5.24816	1.0	276	Beefheart/name
9.25005	1	10.169509	1.0	2	Beefheart_cover/noun
1.9707133	1			2983	Beek/name
3.4239755	1			694	Beel/name
3.160551	1	4.070171	1.0	902	Been/name
