_model	model.x	model.y	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress	foc_base	soc_vector	pam_cluster	is_medoid
herstellen.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.1057150328281818	0.11924344760979864	NA	NA	bound	280	lex	5_5	1	weight	5000	5000	nav	4_4	225	herstellen	0.1757081238913952	BOW	nav_5000	c1	0
herstellen.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSall	-0.18319301267796545	-0.08841482326159367	NA	NA	bound	280	lex	5_5	1	weight	5000	5000	all	4_4	225	herstellen	0.17621487798717286	BOW	all_5000	c2	1
herstellen.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.08857016319918812	0.10580510702070216	NA	NA	bound	280	lex	5_5	1	weight	FOC	190	nav	4_4	225	herstellen	0.16579870545989653	BOW	nav_FOC	c1	0
herstellen.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.09422767086505748	0.08687146011648794	NA	NA	bound	280	lex	5_5	1	weight	FOC	280	all	4_4	225	herstellen	0.1618464882273029	BOW	all_FOC	c1	0
herstellen.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.15084753325720876	0.08527697286945148	NA	NA	bound	280	lex	5_5	1	selection	5000	5000	nav	4_4	225	herstellen	0.2059395354397673	BOW	nav_5000	c1	0
herstellen.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSall	-0.18396188785476808	-0.11560809104948348	NA	NA	bound	280	lex	5_5	1	selection	5000	5000	all	4_4	225	herstellen	0.18366646761948144	BOW	all_5000	c2	0
herstellen.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.09548233790308706	0.06466675940320005	NA	NA	bound	280	lex	5_5	1	selection	FOC	190	nav	4_4	225	herstellen	0.16892407995789055	BOW	nav_FOC	c1	0
herstellen.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.10386114963425988	0.053300780834239114	NA	NA	bound	280	lex	5_5	1	selection	FOC	280	all	4_4	225	herstellen	0.1674309389943767	BOW	all_FOC	c1	0
herstellen.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSnav	-0.17240005283038934	0.06613435675655696	NA	NA	bound	458	lex	5_5	1	no	5000	5000	nav	4_4	236	herstellen	0.21596840595469124	BOW	nav_5000	c1	0
herstellen.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSall	-0.27082866531116195	-0.18047483324467165	NA	NA	bound	458	lex	5_5	1	no	5000	5000	all	4_4	236	herstellen	0.17881112658348164	BOW	all_5000	c2	0
herstellen.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.12586113627378245	0.042224608985019174	NA	NA	bound	458	lex	5_5	1	no	FOC	327	nav	4_4	236	herstellen	0.1959317999032087	BOW	nav_FOC	c1	0
herstellen.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSall	-0.132725816729524	0.033199318534226044	NA	NA	bound	458	lex	5_5	1	no	FOC	458	all	4_4	236	herstellen	0.18183085361570825	BOW	all_FOC	c1	0
herstellen.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSnav	0.04184020653905253	0.1673338746060249	NA	NA	bound	379	all	5_5	1	weight	5000	5000	nav	4_4	238	herstellen	0.19605410122333566	BOW	nav_5000	c4	0
