_model	model.x	model.y	foc_minimum_features	soc_length	soc_length_num	tokens	type	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_ppmi	soc_soc_pos	soc_soc_win	stress	foc_base	soc_vector	pam_cluster	is_medoid
horde.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.02804354373383949	-0.15713837645442089	1	5000	5000	268	horde	NA	NA	bound	480	lex	10_10	weight	nav	4_4	0.1642559670882817	BOW	nav_5000	c1	0
horde.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSall	-0.294873196808614	-0.06541235804869716	1	5000	5000	268	horde	NA	NA	bound	480	lex	10_10	weight	all	4_4	0.17613725262248583	BOW	all_5000	c2	0
horde.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	0.017106007952824905	-0.17576173825991961	1	FOC	354	268	horde	NA	NA	bound	480	lex	10_10	weight	nav	4_4	0.16873160989051186	BOW	nav_FOC	c1	0
horde.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSall	0.016768723695162552	-0.16934783322552177	1	FOC	480	268	horde	NA	NA	bound	480	lex	10_10	weight	all	4_4	0.1590513701460823	BOW	all_FOC	c1	0
horde.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.041731982920465524	-0.18447847956117083	1	5000	5000	268	horde	NA	NA	bound	480	lex	10_10	selection	nav	4_4	0.18891975346553183	BOW	nav_5000	c1	0
horde.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSall	-0.3158433089270085	-0.05938901182504216	1	5000	5000	268	horde	NA	NA	bound	480	lex	10_10	selection	all	4_4	0.1880964513249571	BOW	all_5000	c2	0
horde.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	0.03383820462515907	-0.15951384620785247	1	FOC	354	268	horde	NA	NA	bound	480	lex	10_10	selection	nav	4_4	0.17068627282737658	BOW	nav_FOC	c1	0
horde.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	0.03079146843394552	-0.16066427033484412	1	FOC	480	268	horde	NA	NA	bound	480	lex	10_10	selection	all	4_4	0.16426748212838174	BOW	all_FOC	c1	0
horde.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSnav	0.117425319858958	-0.29867323311393434	1	5000	5000	273	horde	NA	NA	bound	926	lex	10_10	no	nav	4_4	0.21215799480398398	BOW	nav_5000	c3	0
horde.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSall	-0.4256097548583788	-0.14268562029193413	1	5000	5000	273	horde	NA	NA	bound	926	lex	10_10	no	all	4_4	0.20505468033989335	BOW	all_5000	c2	0
horde.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSnav	0.13509592260301673	-0.202547006956412	1	FOC	685	273	horde	NA	NA	bound	926	lex	10_10	no	nav	4_4	0.17375066941181397	BOW	nav_FOC	c3	0
horde.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSall	0.13344551840409682	-0.21572857296579107	1	FOC	926	273	horde	NA	NA	bound	926	lex	10_10	no	all	4_4	0.1749969335140099	BOW	all_FOC	c3	0
horde.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSnav	-0.01496263181304274	-0.07363224650986502	1	5000	5000	277	horde	NA	NA	bound	659	all	10_10	weight	nav	4_4	0.13888401620690188	BOW	nav_5000	c4	0
horde.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSall	-0.2440276950819197	-0.015895895437431203	1	5000	5000	277	horde	NA	NA	bound	659	all	10_10	weight	all	4_4	0.16699339086316775	BOW	all_5000	c5	0
horde.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSnav	0.06689800414141545	-0.11537854079897518	1	FOC	354	277	horde	NA	NA	bound	659	all	10_10	weight	nav	4_4	0.14224024217627135	BOW	nav_FOC	c4	0
