_model	model.x	model.y	foc_minimum_features	soc_length	soc_length_num	tokens	type	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_ppmi	soc_soc_pos	soc_soc_win	stress	foc_base
staal.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.742582775894746	0.2187756298210192	1	5000	5000	305	staal	NA	NA	bound	465	lex	5_5	weight	nav	4_4	0.11446402010596389	BOW
staal.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSall	-0.31485472381616386	-1.4025386691745574	1	5000	5000	305	staal	NA	NA	bound	465	lex	5_5	weight	all	4_4	0.19186356876374008	BOW
staal.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.8533177807501819	0.5887828556645318	1	FOC	354	305	staal	NA	NA	bound	465	lex	5_5	weight	nav	4_4	0.13799684741248347	BOW
staal.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.8277209098201619	0.536393699176816	1	FOC	465	305	staal	NA	NA	bound	465	lex	5_5	weight	all	4_4	0.1341180233571883	BOW
staal.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.8074085242839097	-0.11123733363486331	1	5000	5000	305	staal	NA	NA	bound	465	lex	5_5	selection	nav	4_4	0.14648216764642957	BOW
staal.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSall	-0.3683976814052795	-1.5661111271250556	1	5000	5000	305	staal	NA	NA	bound	465	lex	5_5	selection	all	4_4	0.2005920875926604	BOW
staal.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.8524714248209573	0.3687493451677225	1	FOC	354	305	staal	NA	NA	bound	465	lex	5_5	selection	nav	4_4	0.1372675368152454	BOW
staal.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.8216621316436789	0.3244303357021778	1	FOC	465	305	staal	NA	NA	bound	465	lex	5_5	selection	all	4_4	0.1354325972943845	BOW
staal.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSnav	-1.009278965943582	-0.25449147420556195	1	5000	5000	309	staal	NA	NA	bound	655	lex	5_5	no	nav	4_4	0.1394359248754433	BOW
staal.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSall	-0.3917452517336298	-1.9763542897561681	1	5000	5000	309	staal	NA	NA	bound	655	lex	5_5	no	all	4_4	0.19380054432182375	BOW
staal.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.9615786469566433	0.2979460630156813	1	FOC	501	309	staal	NA	NA	bound	655	lex	5_5	no	nav	4_4	0.12717260983529008	BOW
staal.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSall	-0.9231361668359354	0.2463243387444768	1	FOC	655	309	staal	NA	NA	bound	655	lex	5_5	no	all	4_4	0.12718150098747602	BOW
staal.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSnav	-0.21752610896896532	0.01400830072030124	1	5000	5000	310	staal	NA	NA	bound	596	all	5_5	weight	nav	4_4	0.09744440286488715	BOW
staal.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSall	0.696048473792421	-1.2222060024322008	1	5000	5000	310	staal	NA	NA	bound	596	all	5_5	weight	all	4_4	0.17755898256427982	BOW
staal.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.47243725405605896	0.42662679361510686	1	FOC	354	310	staal	NA	NA	bound	596	all	5_5	weight	nav	4_4	0.13303784342270825	BOW
staal.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSall	-0.4301445636685363	0.3410667191419006	1	FOC	596	310	staal	NA	NA	bound	596	all	5_5	weight	all	4_4	0.13027531558722547	BOW
staal.BOWbound5all.PPMIselection.LENGTH5000.SOCPOSnav	0.28075864709406295	-0.3062142116791658	1	5000	5000	310	staal	NA	NA	bound	596	all	5_5	selection	nav	4_4	0.17518137989608434	BOW
staal.BOWbound5all.PPMIselection.LENGTH5000.SOCPOSall	1.3217565675564815	-1.1042708972136255	1	5000	5000	310	staal	NA	NA	bound	596	all	5_5	selection	all	4_4	0.15561153699499378	BOW
staal.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSnav	-0.2659165761833079	0.16875695549694658	1	FOC	354	310	staal	NA	NA	bound	596	all	5_5	selection	nav	4_4	0.14798392153948148	BOW
staal.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSall	-0.18204444977046155	0.08141037138076727	1	FOC	596	310	staal	NA	NA	bound	596	all	5_5	selection	all	4_4	0.1549956549190253	BOW
staal.BOWbound5all.PPMIno.LENGTH5000.SOCPOSnav	0.34832418841184365	-0.5138653155466063	1	5000	5000	311	staal	NA	NA	bound	865	all	5_5	no	nav	4_4	0.1702472919757158	BOW
staal.BOWbound5all.PPMIno.LENGTH5000.SOCPOSall	1.5034339152477134	-1.4424591425420459	1	5000	5000	311	staal	NA	NA	bound	865	all	5_5	no	all	4_4	0.1680928600484427	BOW
staal.BOWbound5all.PPMIno.LENGTHFOC.SOCPOSnav	-0.2588894675343781	0.03087612991108157	1	FOC	501	311	staal	NA	NA	bound	865	all	5_5	no	nav	4_4	0.13983595604206028	BOW
staal.BOWbound5all.PPMIno.LENGTHFOC.SOCPOSall	-0.1800558972211495	-0.09623820761535642	1	FOC	865	311	staal	NA	NA	bound	865	all	5_5	no	all	4_4	0.15304298918877562	BOW
staal.BOWbound3lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.5212267762824615	0.3610874517836586	1	5000	5000	292	staal	NA	NA	bound	319	lex	3_3	weight	nav	4_4	0.11866521035170031	BOW
staal.BOWbound3lex.PPMIweight.LENGTH5000.SOCPOSall	0.031073380574309774	-1.3403422312943298	1	5000	5000	292	staal	NA	NA	bound	319	lex	3_3	weight	all	4_4	0.19174424952825195	BOW
staal.BOWbound3lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.6399008124356815	0.7224648824978194	1	FOC	247	292	staal	NA	NA	bound	319	lex	3_3	weight	nav	4_4	0.1538126661810136	BOW
staal.BOWbound3lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.6363186608807377	0.6895489903885835	1	FOC	319	292	staal	NA	NA	bound	319	lex	3_3	weight	all	4_4	0.15918941631907182	BOW
staal.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.5341429881657054	0.09156961127286516	1	5000	5000	292	staal	NA	NA	bound	319	lex	3_3	selection	nav	4_4	0.14452599394936066	BOW
staal.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSall	0.014258698900828011	-1.3946271653242468	1	5000	5000	292	staal	NA	NA	bound	319	lex	3_3	selection	all	4_4	0.2089766144514487	BOW
staal.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.6255986681434633	0.590415679526744	1	FOC	247	292	staal	NA	NA	bound	319	lex	3_3	selection	nav	4_4	0.15062526275503613	BOW
staal.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.6163388633293196	0.555204491753784	1	FOC	319	292	staal	NA	NA	bound	319	lex	3_3	selection	all	4_4	0.14820049145964012	BOW
staal.BOWbound3lex.PPMIno.LENGTH5000.SOCPOSnav	-0.74362376342901	-0.04127588113715945	1	5000	5000	301	staal	NA	NA	bound	411	lex	3_3	no	nav	4_4	0.14209395330378324	BOW
staal.BOWbound3lex.PPMIno.LENGTH5000.SOCPOSall	-0.06747567329006388	-1.810560262232314	1	5000	5000	301	staal	NA	NA	bound	411	lex	3_3	no	all	4_4	0.21385688256028257	BOW
staal.BOWbound3lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.7580901353497799	0.6524070707150061	1	FOC	318	301	staal	NA	NA	bound	411	lex	3_3	no	nav	4_4	0.14393930762825097	BOW
staal.BOWbound3lex.PPMIno.LENGTHFOC.SOCPOSall	-0.7392131184759153	0.6039870303059147	1	FOC	411	301	staal	NA	NA	bound	411	lex	3_3	no	all	4_4	0.1377152578960587	BOW
staal.BOWbound3all.PPMIweight.LENGTH5000.SOCPOSnav	0.12571499684636211	0.17981585039007855	1	5000	5000	309	staal	NA	NA	bound	415	all	3_3	weight	nav	4_4	0.10135108876394393	BOW
staal.BOWbound3all.PPMIweight.LENGTH5000.SOCPOSall	1.2053133527791375	-1.0331789649824765	1	5000	5000	309	staal	NA	NA	bound	415	all	3_3	weight	all	4_4	0.17836655476116386	BOW
staal.BOWbound3all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.40660420764229904	0.7642017934592461	1	FOC	247	309	staal	NA	NA	bound	415	all	3_3	weight	nav	4_4	0.14957680540588572	BOW
staal.BOWbound3all.PPMIweight.LENGTHFOC.SOCPOSall	-0.3582688417589256	0.6801319302119674	1	FOC	415	309	staal	NA	NA	bound	415	all	3_3	weight	all	4_4	0.14664326730891236	BOW
staal.BOWbound3all.PPMIselection.LENGTH5000.SOCPOSnav	0.6837973728734654	0.03021303982972034	1	5000	5000	309	staal	NA	NA	bound	415	all	3_3	selection	nav	4_4	0.18334220089266573	BOW
staal.BOWbound3all.PPMIselection.LENGTH5000.SOCPOSall	1.7219671435044777	-0.6010357933888252	1	5000	5000	309	staal	NA	NA	bound	415	all	3_3	selection	all	4_4	0.16804979492249844	BOW
staal.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSnav	-0.08082044581134011	0.5011198559618093	1	FOC	247	309	staal	NA	NA	bound	415	all	3_3	selection	nav	4_4	0.17448216496469698	BOW
staal.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSall	0.022780887982474938	0.3756375000576538	1	FOC	415	309	staal	NA	NA	bound	415	all	3_3	selection	all	4_4	0.18120616839721593	BOW
staal.BOWbound3all.PPMIno.LENGTH5000.SOCPOSnav	0.7830735548000272	-0.06798805746139555	1	5000	5000	310	staal	NA	NA	bound	542	all	3_3	no	nav	4_4	0.1744069239363143	BOW
staal.BOWbound3all.PPMIno.LENGTH5000.SOCPOSall	1.8219260057503859	-0.7069296677697681	1	5000	5000	310	staal	NA	NA	bound	542	all	3_3	no	all	4_4	0.1895758662861288	BOW
staal.BOWbound3all.PPMIno.LENGTHFOC.SOCPOSnav	-0.02897442465319926	0.4300951396486034	1	FOC	318	310	staal	NA	NA	bound	542	all	3_3	no	nav	4_4	0.15860244021249953	BOW
staal.BOWbound3all.PPMIno.LENGTHFOC.SOCPOSall	0.06645357941834033	0.29565614064868	1	FOC	542	310	staal	NA	NA	bound	542	all	3_3	no	all	4_4	0.16435806359965677	BOW
staal.BOWnobound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-1.2188799758931703	0.16514004270985022	1	5000	5000	311	staal	NA	NA	nobound	715	lex	10_10	weight	nav	4_4	0.1038770912858728	BOW
staal.BOWnobound10lex.PPMIweight.LENGTH5000.SOCPOSall	-0.8117970246824603	-1.5653709447348911	1	5000	5000	311	staal	NA	NA	nobound	715	lex	10_10	weight	all	4_4	0.1913139419038953	BOW
staal.BOWnobound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-1.2128957265858635	0.4805453997718861	1	FOC	553	311	staal	NA	NA	nobound	715	lex	10_10	weight	nav	4_4	0.10997464408584331	BOW
staal.BOWnobound10lex.PPMIweight.LENGTHFOC.SOCPOSall	-1.1973929503896272	0.4433196436940131	1	FOC	715	311	staal	NA	NA	nobound	715	lex	10_10	weight	all	4_4	0.10994252437495164	BOW
staal.BOWnobound10lex.PPMIselection.LENGTH5000.SOCPOSnav	-1.4343643901861018	-0.2785196521804283	1	5000	5000	311	staal	NA	NA	nobound	715	lex	10_10	selection	nav	4_4	0.1382019780580626	BOW
staal.BOWnobound10lex.PPMIselection.LENGTH5000.SOCPOSall	-1.1220699500872937	-1.9139064422826102	1	5000	5000	311	staal	NA	NA	nobound	715	lex	10_10	selection	all	4_4	0.18874830520523572	BOW
staal.BOWnobound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	-1.3858696938751531	0.20103063686581332	1	FOC	553	311	staal	NA	NA	nobound	715	lex	10_10	selection	nav	4_4	0.11434698704255138	BOW
staal.BOWnobound10lex.PPMIselection.LENGTHFOC.SOCPOSall	-1.3356025229856499	0.1484197543838888	1	FOC	715	311	staal	NA	NA	nobound	715	lex	10_10	selection	all	4_4	0.1129421913115142	BOW
