_model	model.x	model.y	foc_minimum_features	soc_vector	soc_length_num	tokens	type	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_ppmi	soc_soc_win	stress	foc_base	pam_cluster	is_medoid
horde.BOWbound5all.PPMIno.LENGTHFOC.SOCPOSall	0.1796087088983105	-0.03131328968279106	1	all_FOC	812	276	horde	NA	NA	bound	812	all	5_5	no	4_4	0.2144753035263227	BOW	c3	0
horde.BOWbound3lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.028418402786817922	-0.12815260444953938	1	nav_5000	5000	248	horde	NA	NA	bound	313	lex	3_3	weight	4_4	0.2596110311734164	BOW	c1	0
horde.BOWbound3lex.PPMIweight.LENGTH5000.SOCPOSall	-0.31742429001711775	-0.028079040604142447	1	all_5000	5000	248	horde	NA	NA	bound	313	lex	3_3	weight	4_4	0.27333468001748146	BOW	c2	0
horde.BOWbound3lex.PPMIweight.LENGTHFOC.SOCPOSnav	0.013639139188787694	-0.13022094253065009	1	nav_FOC	233	248	horde	NA	NA	bound	313	lex	3_3	weight	4_4	0.26389264668437795	BOW	c1	0
horde.BOWbound3lex.PPMIweight.LENGTHFOC.SOCPOSall	0.018580416647164432	-0.12390645888778415	1	all_FOC	313	248	horde	NA	NA	bound	313	lex	3_3	weight	4_4	0.25847943673689744	BOW	c1	0
horde.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.049194977854266214	-0.1359765270441217	1	nav_5000	5000	248	horde	NA	NA	bound	313	lex	3_3	selection	4_4	0.25895938927104667	BOW	c1	0
horde.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSall	-0.3461409170338221	-0.008784755736166204	1	all_5000	5000	248	horde	NA	NA	bound	313	lex	3_3	selection	4_4	0.2650335078029673	BOW	c2	0
horde.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSnav	0.013879525075862782	-0.12004438264382741	1	nav_FOC	233	248	horde	NA	NA	bound	313	lex	3_3	selection	4_4	0.2575213426999657	BOW	c1	0
horde.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSall	0.022112088166055293	-0.11887389898918367	1	all_FOC	313	248	horde	NA	NA	bound	313	lex	3_3	selection	4_4	0.2522505446921538	BOW	c1	0
horde.BOWbound3lex.PPMIno.LENGTH5000.SOCPOSnav	-0.03191785737673098	-0.21528916355639127	1	nav_5000	5000	259	horde	NA	NA	bound	388	lex	3_3	no	4_4	0.2511159352839943	BOW	c1	0
horde.BOWbound3lex.PPMIno.LENGTH5000.SOCPOSall	-0.3933779560737598	0.004111501627692483	1	all_5000	5000	259	horde	NA	NA	bound	388	lex	3_3	no	4_4	0.26530880540967616	BOW	c2	0
horde.BOWbound3lex.PPMIno.LENGTHFOC.SOCPOSnav	0.0547268797278836	-0.13405041932722514	1	nav_FOC	289	259	horde	NA	NA	bound	388	lex	3_3	no	4_4	0.24910427235205246	BOW	c1	0
horde.BOWbound3lex.PPMIno.LENGTHFOC.SOCPOSall	0.06299816425914681	-0.13761512610131235	1	all_FOC	388	259	horde	NA	NA	bound	388	lex	3_3	no	4_4	0.246705998951085	BOW	c1	0
horde.BOWbound3all.PPMIweight.LENGTH5000.SOCPOSnav	0.01625925857591356	-0.004910767701862988	1	nav_5000	5000	274	horde	NA	NA	bound	403	all	3_3	weight	4_4	0.26370833592620535	BOW	c4	0
horde.BOWbound3all.PPMIweight.LENGTH5000.SOCPOSall	-0.24938045032366224	0.07207221648728739	1	all_5000	5000	274	horde	NA	NA	bound	403	all	3_3	weight	4_4	0.26436674911190555	BOW	c5	0
