_model	model.x	model.y	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress	foc_base
herstellen.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.12286012335487602	-0.038844124631083984	NA	NA	bound	280	lex	5_5	1	weight	FOC	280	all	4_4	225	herstellen	0.25402612315595885	BOW
herstellen.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.21067713561341833	-0.006761971856284607	NA	NA	bound	280	lex	5_5	1	selection	5000	5000	nav	4_4	225	herstellen	0.24748783196073967	BOW
herstellen.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSall	-0.17254178090592273	-0.046076849432515464	NA	NA	bound	280	lex	5_5	1	selection	5000	5000	all	4_4	225	herstellen	0.2583739615131313	BOW
herstellen.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.14958403783342591	0.012974605393060541	NA	NA	bound	280	lex	5_5	1	selection	FOC	190	nav	4_4	225	herstellen	0.2476518450900889	BOW
herstellen.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.16016271275745653	0.01762916363572669	NA	NA	bound	280	lex	5_5	1	selection	FOC	280	all	4_4	225	herstellen	0.24726787380872403	BOW
herstellen.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSnav	-0.2399919114431033	0.06044396245835373	NA	NA	bound	458	lex	5_5	1	no	5000	5000	nav	4_4	236	herstellen	0.25832609281793917	BOW
herstellen.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSall	-0.2882158245672314	0.04683433279654989	NA	NA	bound	458	lex	5_5	1	no	5000	5000	all	4_4	236	herstellen	0.25349487543716737	BOW
herstellen.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.18308208258956304	0.06721778584785569	NA	NA	bound	458	lex	5_5	1	no	FOC	327	nav	4_4	236	herstellen	0.2660185456139908	BOW
herstellen.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSall	-0.19040036462049165	0.07330091070606481	NA	NA	bound	458	lex	5_5	1	no	FOC	458	all	4_4	236	herstellen	0.25844652159391385	BOW
herstellen.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSnav	-0.014556894699919165	-0.08513894110524561	NA	NA	bound	379	all	5_5	1	weight	5000	5000	nav	4_4	238	herstellen	0.24305029739841205	BOW
herstellen.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSall	-0.074531126680537	-0.15715796439527646	NA	NA	bound	379	all	5_5	1	weight	5000	5000	all	4_4	238	herstellen	0.25842996038926824	BOW
herstellen.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.02319785842551028	-0.048699797022071285	NA	NA	bound	379	all	5_5	1	weight	FOC	190	nav	4_4	238	herstellen	0.23462517430556593	BOW
herstellen.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSall	-0.02229368109617397	-0.032161023839360266	NA	NA	bound	379	all	5_5	1	weight	FOC	379	all	4_4	238	herstellen	0.23514315634913038	BOW
herstellen.BOWbound5all.PPMIselection.LENGTH5000.SOCPOSnav	0.19300996596792894	0.1492142958834828	NA	NA	bound	379	all	5_5	1	selection	5000	5000	nav	4_4	238	herstellen	0.17569469000810242	BOW
herstellen.BOWbound5all.PPMIselection.LENGTH5000.SOCPOSall	0.3048996073198917	0.18614604845905497	NA	NA	bound	379	all	5_5	1	selection	5000	5000	all	4_4	238	herstellen	0.24883578281547616	BOW
herstellen.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSnav	0.06818364284026551	0.09590932369255273	NA	NA	bound	379	all	5_5	1	selection	FOC	190	nav	4_4	238	herstellen	0.2519423759933146	BOW
herstellen.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSall	0.060785138789644914	0.1149705275322085	NA	NA	bound	379	all	5_5	1	selection	FOC	379	all	4_4	238	herstellen	0.24485791177648283	BOW
herstellen.BOWbound5all.PPMIno.LENGTH5000.SOCPOSnav	0.19493342337692854	0.19515462776040052	NA	NA	bound	643	all	5_5	1	no	5000	5000	nav	4_4	239	herstellen	0.10951282774864973	BOW
herstellen.BOWbound5all.PPMIno.LENGTH5000.SOCPOSall	0.250652364944945	0.262231911865947	NA	NA	bound	643	all	5_5	1	no	5000	5000	all	4_4	239	herstellen	0.16889797320776825	BOW
herstellen.BOWbound5all.PPMIno.LENGTHFOC.SOCPOSnav	0.08314175351170601	0.14589005095369154	NA	NA	bound	643	all	5_5	1	no	FOC	327	nav	4_4	239	herstellen	0.256460645848494	BOW
herstellen.BOWbound5all.PPMIno.LENGTHFOC.SOCPOSall	0.06738522272706016	0.18233719427925668	NA	NA	bound	643	all	5_5	1	no	FOC	643	all	4_4	239	herstellen	0.2448805468259941	BOW
