_model	model.x	model.y	foc_minimum_features	soc_length	soc_length_num	tokens	type	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_ppmi	soc_soc_pos	soc_soc_win	stress	foc_base	soc_vector	pam_cluster	is_medoid
hoop.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.3209695499115884	0.01055019092017678	1	5000	5000	300	hoop	NA	NA	bound	445	lex	10_10	weight	nav	4_4	0.2686365673048859	BOW	nav_5000	c1	0
hoop.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSall	-0.36694293343769013	-0.2321927777874197	1	5000	5000	300	hoop	NA	NA	bound	445	lex	10_10	weight	all	4_4	0.19666391480421813	BOW	all_5000	c2	0
hoop.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.29848537645013873	0.03128265498020807	1	FOC	334	300	hoop	NA	NA	bound	445	lex	10_10	weight	nav	4_4	0.23964735542043422	BOW	nav_FOC	c1	0
hoop.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.2943267683515726	0.03634025338834705	1	FOC	445	300	hoop	NA	NA	bound	445	lex	10_10	weight	all	4_4	0.24129497273139894	BOW	all_FOC	c1	0
hoop.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.34576561788382626	0.09539365531266338	1	5000	5000	300	hoop	NA	NA	bound	445	lex	10_10	selection	nav	4_4	0.27948109505139984	BOW	nav_5000	c1	0
hoop.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSall	-0.37035753950436334	-0.2608377372792675	1	5000	5000	300	hoop	NA	NA	bound	445	lex	10_10	selection	all	4_4	0.20554358263140915	BOW	all_5000	c2	0
hoop.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.2982332186790644	0.09015228532400879	1	FOC	334	300	hoop	NA	NA	bound	445	lex	10_10	selection	nav	4_4	0.25639859523401765	BOW	nav_FOC	c1	0
hoop.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.30022449356572606	0.08763533552344131	1	FOC	445	300	hoop	NA	NA	bound	445	lex	10_10	selection	all	4_4	0.2544603598265756	BOW	all_FOC	c1	0
hoop.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSnav	-0.22881363621171555	0.24906176878033628	1	5000	5000	309	hoop	NA	NA	bound	1049	lex	10_10	no	nav	4_4	0.25559170518206037	BOW	nav_5000	c3	0
hoop.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSall	-0.3197451325155506	-0.3854276039393156	1	5000	5000	309	hoop	NA	NA	bound	1049	lex	10_10	no	all	4_4	0.2277782121289696	BOW	all_5000	c2	0
