_model	model.x	model.y	foc_minimum_features	soc_vector	soc_length_num	tokens	type	LEMMAPATH	LEMMAREL	foc_base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_ppmi	soc_soc_win	stress	pam_cluster	is_medoid
spot.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.1538445283658551	-0.043756226444124455	1	nav_5000	5000	195	spot	NA	NA	BOW	bound	398	lex	10_10	weight	4_4	0.23555213506267944	c1	0
spot.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSall	-0.1333662343278904	-0.16869837366394666	1	all_5000	5000	195	spot	NA	NA	BOW	bound	398	lex	10_10	weight	4_4	0.26764684679875417	c2	0
spot.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.17263444391372632	0.0594921445693285	1	nav_FOC	307	195	spot	NA	NA	BOW	bound	398	lex	10_10	weight	4_4	0.23885955483105703	c3	0
spot.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.16124634565151874	0.04679578745248802	1	all_FOC	398	195	spot	NA	NA	BOW	bound	398	lex	10_10	weight	4_4	0.2381922936534838	c3	0
spot.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.1340964141001698	-0.04725856141498804	1	nav_5000	5000	195	spot	NA	NA	BOW	bound	398	lex	10_10	selection	4_4	0.24287234500711374	c3	0
spot.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSall	-0.13259171031967998	-0.1741411574589727	1	all_5000	5000	195	spot	NA	NA	BOW	bound	398	lex	10_10	selection	4_4	0.26158373750247044	c2	0
spot.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.1627262101062727	0.0737526925274455	1	nav_FOC	307	195	spot	NA	NA	BOW	bound	398	lex	10_10	selection	4_4	0.24292727433629538	c3	0
spot.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.146926678190971	0.057391003008436664	1	all_FOC	398	195	spot	NA	NA	BOW	bound	398	lex	10_10	selection	4_4	0.24304082287697634	c3	0
spot.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSnav	-0.21798067496375712	0.1522958770787037	1	nav_5000	5000	200	spot	NA	NA	BOW	bound	757	lex	10_10	no	4_4	0.23493519040092933	c3	0
spot.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSall	-0.23210619123723286	-0.21638825373528345	1	all_5000	5000	200	spot	NA	NA	BOW	bound	757	lex	10_10	no	4_4	0.23710762371801836	c2	0
