_model	model.x	model.y	foc_minimum_features	soc_vector	soc_length_num	tokens	type	LEMMAPATH	LEMMAREL	foc_base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_ppmi	soc_soc_win	stress	pam_cluster	is_medoid
staal.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.1925842571074116	-0.009319719731905889	1	nav_5000	5000	308	staal	NA	NA	BOW	bound	603	lex	10_10	weight	4_4	0.22271469963206333	c1	0
staal.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSall	0.013874455238808816	-0.28288709143357904	1	all_5000	5000	308	staal	NA	NA	BOW	bound	603	lex	10_10	weight	4_4	0.2811883502777583	c2	0
staal.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.21482455622104848	0.009607156004873895	1	nav_FOC	459	308	staal	NA	NA	BOW	bound	603	lex	10_10	weight	4_4	0.20310436173754273	c1	0
staal.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.21675803497326113	0.007103796624119476	1	all_FOC	603	308	staal	NA	NA	BOW	bound	603	lex	10_10	weight	4_4	0.20451114028427916	c1	0
staal.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.1855651207346456	-0.06996550225843791	1	nav_5000	5000	308	staal	NA	NA	BOW	bound	603	lex	10_10	selection	4_4	0.22949958239455118	c1	0
staal.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSall	0.03414975955699268	-0.40608978215166225	1	all_5000	5000	308	staal	NA	NA	BOW	bound	603	lex	10_10	selection	4_4	0.26429249796810816	c2	0
staal.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.20909042127030256	-0.027663449071889435	1	nav_FOC	459	308	staal	NA	NA	BOW	bound	603	lex	10_10	selection	4_4	0.20252456468692437	c1	0
staal.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.20751609392532516	-0.0278411065843682	1	all_FOC	603	308	staal	NA	NA	BOW	bound	603	lex	10_10	selection	4_4	0.20319553994978018	c1	0
staal.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSnav	-0.201798536958029	-0.09157049272788623	1	nav_5000	5000	310	staal	NA	NA	BOW	bound	1033	lex	10_10	no	4_4	0.22764284902935514	c1	0
staal.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSall	0.09681212328252058	-0.46981772634107766	1	all_5000	5000	310	staal	NA	NA	BOW	bound	1033	lex	10_10	no	4_4	0.2530269609094887	c2	0
staal.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.19803447250496875	-0.04463679160928676	1	nav_FOC	776	310	staal	NA	NA	BOW	bound	1033	lex	10_10	no	4_4	0.20581512748653533	c1	0
staal.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSall	-0.194955815746477	-0.044880816851171006	1	all_FOC	1033	310	staal	NA	NA	BOW	bound	1033	lex	10_10	no	4_4	0.20660410374647603	c1	0
staal.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSnav	-0.1360082830202551	0.0038993726898166733	1	nav_5000	5000	310	staal	NA	NA	BOW	bound	775	all	10_10	weight	4_4	0.21194596100358506	c3	0
staal.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSall	0.13346000756138057	-0.19931674849013	1	all_5000	5000	310	staal	NA	NA	BOW	bound	775	all	10_10	weight	4_4	0.261913657648826	c4	0
staal.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.17986477545637386	0.014262490220364884	1	nav_FOC	459	310	staal	NA	NA	BOW	bound	775	all	10_10	weight	4_4	0.19849935387658543	c1	0
staal.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSall	-0.15722278323966543	-0.005081247905788683	1	all_FOC	775	310	staal	NA	NA	BOW	bound	775	all	10_10	weight	4_4	0.20032172451551286	c1	0
staal.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSnav	-0.05919124300512018	-0.09579583572263858	1	nav_5000	5000	310	staal	NA	NA	BOW	bound	775	all	10_10	selection	4_4	0.23764561716329274	c3	0
staal.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSall	0.3588010877185748	-0.28594771961298315	1	all_5000	5000	310	staal	NA	NA	BOW	bound	775	all	10_10	selection	4_4	0.23689757906282194	c5	0
staal.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSnav	-0.12960033026485646	-0.04347322755379692	1	nav_FOC	459	310	staal	NA	NA	BOW	bound	775	all	10_10	selection	4_4	0.2076844738949931	c1	0
staal.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSall	-0.10440915930542642	-0.05577089851240847	1	all_FOC	775	310	staal	NA	NA	BOW	bound	775	all	10_10	selection	4_4	0.21590309791121004	c1	0
staal.BOWbound10all.PPMIno.LENGTH5000.SOCPOSnav	-0.14312164755830048	-0.14746115755154685	1	nav_5000	5000	311	staal	NA	NA	BOW	bound	1375	all	10_10	no	4_4	0.21899520427946315	c3	0
staal.BOWbound10all.PPMIno.LENGTH5000.SOCPOSall	0.3716139406566593	-0.3626773528937827	1	all_5000	5000	311	staal	NA	NA	BOW	bound	1375	all	10_10	no	4_4	0.2326302145730778	c5	0
staal.BOWbound10all.PPMIno.LENGTHFOC.SOCPOSnav	-0.14500530929524164	-0.0698174522483986	1	nav_FOC	776	311	staal	NA	NA	BOW	bound	1375	all	10_10	no	4_4	0.19802591625119947	c3	0
