_model	model.x	model.y	LEMMAPATH	LEMMAREL	base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type
heet.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.7912298276066877	-0.04799795553618034	NA	NA	BOW	bound	400	lex	5_5	1	weight	FOC	400	all	4_4	324	heet
heet.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.6220823467240857	-0.437865027936354	NA	NA	BOW	bound	400	lex	5_5	1	selection	5000	5000	nav	4_4	324	heet
heet.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSall	-0.06753452087121561	-1.2028396767620042	NA	NA	BOW	bound	400	lex	5_5	1	selection	5000	5000	all	4_4	324	heet
heet.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.7472535767577866	0.07562461104671019	NA	NA	BOW	bound	400	lex	5_5	1	selection	FOC	287	nav	4_4	324	heet
heet.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.7174938377330463	0.05399762477787348	NA	NA	BOW	bound	400	lex	5_5	1	selection	FOC	400	all	4_4	324	heet
heet.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSnav	-0.8968627791737297	-0.5663066105876866	NA	NA	BOW	bound	623	lex	5_5	1	no	5000	5000	nav	4_4	331	heet
heet.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSall	0.24966614610489637	-1.752285019572361	NA	NA	BOW	bound	623	lex	5_5	1	no	5000	5000	all	4_4	331	heet
heet.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.8880258419297761	0.1692737292972072	NA	NA	BOW	bound	623	lex	5_5	1	no	FOC	462	nav	4_4	331	heet
heet.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSall	-0.8556802771610539	0.16448862080179147	NA	NA	BOW	bound	623	lex	5_5	1	no	FOC	623	all	4_4	331	heet
heet.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSnav	-0.39172671445809076	-0.3444795181303962	NA	NA	BOW	bound	501	all	5_5	1	weight	5000	5000	nav	4_4	331	heet
heet.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSall	0.39610482732551366	-1.0624525976803496	NA	NA	BOW	bound	501	all	5_5	1	weight	5000	5000	all	4_4	331	heet
heet.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.6787231065407072	0.11978707467380822	NA	NA	BOW	bound	501	all	5_5	1	weight	FOC	287	nav	4_4	331	heet
heet.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSall	-0.6211935143416702	0.08996522005558409	NA	NA	BOW	bound	501	all	5_5	1	weight	FOC	501	all	4_4	331	heet
heet.BOWbound5all.PPMIselection.LENGTH5000.SOCPOSnav	0.6384142024082001	0.8485707385131914	NA	NA	BOW	bound	501	all	5_5	1	selection	5000	5000	nav	4_4	331	heet
heet.BOWbound5all.PPMIselection.LENGTH5000.SOCPOSall	1.8466911443626133	0.131798190395934	NA	NA	BOW	bound	501	all	5_5	1	selection	5000	5000	all	4_4	331	heet
heet.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSnav	-0.26061544214120125	0.48555765642624	NA	NA	BOW	bound	501	all	5_5	1	selection	FOC	287	nav	4_4	331	heet
heet.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSall	-0.19039197073711364	0.47419650102294064	NA	NA	BOW	bound	501	all	5_5	1	selection	FOC	501	all	4_4	331	heet
heet.BOWbound5all.PPMIno.LENGTH5000.SOCPOSnav	0.7335668399997664	1.1918319130053558	NA	NA	BOW	bound	830	all	5_5	1	no	5000	5000	nav	4_4	331	heet
heet.BOWbound5all.PPMIno.LENGTH5000.SOCPOSall	2.3885173411912874	0.545121857460721	NA	NA	BOW	bound	830	all	5_5	1	no	5000	5000	all	4_4	331	heet
heet.BOWbound5all.PPMIno.LENGTHFOC.SOCPOSnav	-0.1794726672719718	0.8075328323828069	NA	NA	BOW	bound	830	all	5_5	1	no	FOC	462	nav	4_4	331	heet
heet.BOWbound5all.PPMIno.LENGTHFOC.SOCPOSall	-0.08394887488698465	0.8308226597665506	NA	NA	BOW	bound	830	all	5_5	1	no	FOC	830	all	4_4	331	heet
heet.BOWbound3lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.49632820282030926	-0.3687753248022938	NA	NA	BOW	bound	286	lex	3_3	1	weight	5000	5000	nav	4_4	316	heet
heet.BOWbound3lex.PPMIweight.LENGTH5000.SOCPOSall	-0.005333380857637491	-1.147225330203829	NA	NA	BOW	bound	286	lex	3_3	1	weight	5000	5000	all	4_4	316	heet
heet.BOWbound3lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.6387548843975428	-0.06015702143643585	NA	NA	BOW	bound	286	lex	3_3	1	weight	FOC	205	nav	4_4	316	heet
heet.BOWbound3lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.5927209180362557	-0.08247060860724674	NA	NA	BOW	bound	286	lex	3_3	1	weight	FOC	286	all	4_4	316	heet
heet.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.4449035658309699	-0.4534314924069471	NA	NA	BOW	bound	286	lex	3_3	1	selection	5000	5000	nav	4_4	316	heet
heet.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSall	0.06694310620017793	-1.1797897670651394	NA	NA	BOW	bound	286	lex	3_3	1	selection	5000	5000	all	4_4	316	heet
heet.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.5417636169311606	-0.01929790058533201	NA	NA	BOW	bound	286	lex	3_3	1	selection	FOC	205	nav	4_4	316	heet
heet.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.49788799453819244	-0.05558555732660301	NA	NA	BOW	bound	286	lex	3_3	1	selection	FOC	286	all	4_4	316	heet
heet.BOWbound3lex.PPMIno.LENGTH5000.SOCPOSnav	-0.6660786537088388	-0.599559442063863	NA	NA	BOW	bound	388	lex	3_3	1	no	5000	5000	nav	4_4	325	heet
heet.BOWbound3lex.PPMIno.LENGTH5000.SOCPOSall	0.11832364720949372	-1.547005950934531	NA	NA	BOW	bound	388	lex	3_3	1	no	5000	5000	all	4_4	325	heet
heet.BOWbound3lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.6536815577892546	-0.017560179605901713	NA	NA	BOW	bound	388	lex	3_3	1	no	FOC	287	nav	4_4	325	heet
heet.BOWbound3lex.PPMIno.LENGTHFOC.SOCPOSall	-0.6099903492906464	-0.10574468487402848	NA	NA	BOW	bound	388	lex	3_3	1	no	FOC	388	all	4_4	325	heet
heet.BOWbound3all.PPMIweight.LENGTH5000.SOCPOSnav	-0.2593460159124429	-0.414056204307837	NA	NA	BOW	bound	361	all	3_3	1	weight	5000	5000	nav	4_4	331	heet
heet.BOWbound3all.PPMIweight.LENGTH5000.SOCPOSall	0.5803054231541506	-1.1372124193926487	NA	NA	BOW	bound	361	all	3_3	1	weight	5000	5000	all	4_4	331	heet
heet.BOWbound3all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.5250409520182413	0.0433388744116951	NA	NA	BOW	bound	361	all	3_3	1	weight	FOC	205	nav	4_4	331	heet
heet.BOWbound3all.PPMIweight.LENGTHFOC.SOCPOSall	-0.4659952783960957	-0.0195632652015601	NA	NA	BOW	bound	361	all	3_3	1	weight	FOC	361	all	4_4	331	heet
heet.BOWbound3all.PPMIselection.LENGTH5000.SOCPOSnav	0.916202528785887	0.6142837533294989	NA	NA	BOW	bound	361	all	3_3	1	selection	5000	5000	nav	4_4	331	heet
heet.BOWbound3all.PPMIselection.LENGTH5000.SOCPOSall	1.886384445708242	-0.4186960118591443	NA	NA	BOW	bound	361	all	3_3	1	selection	5000	5000	all	4_4	331	heet
heet.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSnav	-0.12945869336407353	0.33571798166106026	NA	NA	BOW	bound	361	all	3_3	1	selection	FOC	205	nav	4_4	331	heet
heet.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSall	-0.04773369373970939	0.3266237502881455	NA	NA	BOW	bound	361	all	3_3	1	selection	FOC	361	all	4_4	331	heet
heet.BOWbound3all.PPMIno.LENGTH5000.SOCPOSnav	1.0099770133504298	0.8608260644416559	NA	NA	BOW	bound	532	all	3_3	1	no	5000	5000	nav	4_4	331	heet
heet.BOWbound3all.PPMIno.LENGTH5000.SOCPOSall	2.3578798269066144	-0.11044048591940413	NA	NA	BOW	bound	532	all	3_3	1	no	5000	5000	all	4_4	331	heet
heet.BOWbound3all.PPMIno.LENGTHFOC.SOCPOSnav	-0.045877611941771625	0.5285729186663918	NA	NA	BOW	bound	532	all	3_3	1	no	FOC	287	nav	4_4	331	heet
heet.BOWbound3all.PPMIno.LENGTHFOC.SOCPOSall	0.04866729444854748	0.5548461021276978	NA	NA	BOW	bound	532	all	3_3	1	no	FOC	532	all	4_4	331	heet
heet.BOWnobound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-1.1917762138718448	-0.29217207170077164	NA	NA	BOW	nobound	599	lex	10_10	1	weight	5000	5000	nav	4_4	331	heet
heet.BOWnobound10lex.PPMIweight.LENGTH5000.SOCPOSall	-0.6038273063812407	-1.314274005264138	NA	NA	BOW	nobound	599	lex	10_10	1	weight	5000	5000	all	4_4	331	heet
heet.BOWnobound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-1.3085068863173375	0.04933942721658729	NA	NA	BOW	nobound	599	lex	10_10	1	weight	FOC	424	nav	4_4	331	heet
heet.BOWnobound10lex.PPMIweight.LENGTHFOC.SOCPOSall	-1.2745858069616343	0.027608900520480387	NA	NA	BOW	nobound	599	lex	10_10	1	weight	FOC	599	all	4_4	331	heet
heet.BOWnobound10lex.PPMIselection.LENGTH5000.SOCPOSnav	-1.4243366097430568	-0.10638588237619731	NA	NA	BOW	nobound	599	lex	10_10	1	selection	5000	5000	nav	4_4	331	heet
heet.BOWnobound10lex.PPMIselection.LENGTH5000.SOCPOSall	-0.571795584867569	-1.5697787322195746	NA	NA	BOW	nobound	599	lex	10_10	1	selection	5000	5000	all	4_4	331	heet
heet.BOWnobound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	-1.285963051949457	0.27942262029083326	NA	NA	BOW	nobound	599	lex	10_10	1	selection	FOC	424	nav	4_4	331	heet
heet.BOWnobound10lex.PPMIselection.LENGTHFOC.SOCPOSall	-1.2669845024454482	0.28452099392526153	NA	NA	BOW	nobound	599	lex	10_10	1	selection	FOC	599	all	4_4	331	heet
heet.BOWnobound10lex.PPMIno.LENGTH5000.SOCPOSnav	-1.5754154908838358	1.0154441459737826	NA	NA	BOW	nobound	1366	lex	10_10	1	no	5000	5000	nav	4_4	332	heet
heet.BOWnobound10lex.PPMIno.LENGTH5000.SOCPOSall	0.7522221400623191	-2.5086199859615097	NA	NA	BOW	nobound	1366	lex	10_10	1	no	5000	5000	all	4_4	332	heet
heet.BOWnobound10lex.PPMIno.LENGTHFOC.SOCPOSnav	-1.4308949167742773	0.7650617723585674	NA	NA	BOW	nobound	1366	lex	10_10	1	no	FOC	1001	nav	4_4	332	heet
heet.BOWnobound10lex.PPMIno.LENGTHFOC.SOCPOSall	-1.412093600117134	0.7959947066014802	NA	NA	BOW	nobound	1366	lex	10_10	1	no	FOC	1366	all	4_4	332	heet
heet.BOWnobound10all.PPMIweight.LENGTH5000.SOCPOSnav	-1.0687207594363934	-0.41410533342912315	NA	NA	BOW	nobound	764	all	10_10	1	weight	5000	5000	nav	4_4	332	heet
heet.BOWnobound10all.PPMIweight.LENGTH5000.SOCPOSall	-0.2674912266872022	-1.4409643731043962	NA	NA	BOW	nobound	764	all	10_10	1	weight	5000	5000	all	4_4	332	heet
heet.BOWnobound10all.PPMIweight.LENGTHFOC.SOCPOSnav	-1.2249606483733775	0.10888973007527611	NA	NA	BOW	nobound	764	all	10_10	1	weight	FOC	424	nav	4_4	332	heet
heet.BOWnobound10all.PPMIweight.LENGTHFOC.SOCPOSall	-1.1999053212417239	0.06290597691778885	NA	NA	BOW	nobound	764	all	10_10	1	weight	FOC	764	all	4_4	332	heet
heet.BOWnobound10all.PPMIselection.LENGTH5000.SOCPOSnav	0.11958408197587697	1.616717906626192	NA	NA	BOW	nobound	764	all	10_10	1	selection	5000	5000	nav	4_4	332	heet
heet.BOWnobound10all.PPMIselection.LENGTH5000.SOCPOSall	2.1026769698833863	-1.0364066997686754	NA	NA	BOW	nobound	764	all	10_10	1	selection	5000	5000	all	4_4	332	heet
heet.BOWnobound10all.PPMIselection.LENGTHFOC.SOCPOSnav	-0.7306745675486963	0.964516425652783	NA	NA	BOW	nobound	764	all	10_10	1	selection	FOC	424	nav	4_4	332	heet
heet.BOWnobound10all.PPMIselection.LENGTHFOC.SOCPOSall	-0.6509159746614955	0.9919321322179704	NA	NA	BOW	nobound	764	all	10_10	1	selection	FOC	764	all	4_4	332	heet
heet.BOWnobound10all.PPMIno.LENGTH5000.SOCPOSnav	0.16082449498476514	2.1405383817363224	NA	NA	BOW	nobound	1838	all	10_10	1	no	5000	5000	nav	4_4	332	heet
