_model	model.x	model.y	foc_minimum_features	soc_length	soc_length_num	tokens	type	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_ppmi	soc_soc_pos	soc_soc_win	stress	foc_base	soc_vector	pam_cluster	is_medoid
spoor.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.14216556174189918	-0.003153342834163425	1	5000	5000	348	spoor	NA	NA	bound	433	lex	10_10	weight	nav	4_4	0.22365813852989358	BOW	nav_5000	c1	0
spoor.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSall	-0.29004838752190465	-0.014790863640424277	1	5000	5000	348	spoor	NA	NA	bound	433	lex	10_10	weight	all	4_4	0.23191203320074497	BOW	all_5000	c2	0
spoor.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.1303142207851984	0.009897885642097114	1	FOC	311	348	spoor	NA	NA	bound	433	lex	10_10	weight	nav	4_4	0.2475840633904348	BOW	nav_FOC	c1	0
spoor.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.1401592673162017	0.011014781858792658	1	FOC	433	348	spoor	NA	NA	bound	433	lex	10_10	weight	all	4_4	0.243006950220295	BOW	all_FOC	c1	0
spoor.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.17283511239728588	0.04136691641281168	1	5000	5000	348	spoor	NA	NA	bound	433	lex	10_10	selection	nav	4_4	0.2516473666300262	BOW	nav_5000	c1	0
spoor.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSall	-0.26814437508488687	0.020388483913494754	1	5000	5000	348	spoor	NA	NA	bound	433	lex	10_10	selection	all	4_4	0.22571171555508926	BOW	all_5000	c2	0
spoor.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.14355233425269043	0.04290931165598161	1	FOC	311	348	spoor	NA	NA	bound	433	lex	10_10	selection	nav	4_4	0.2594244708685758	BOW	nav_FOC	c1	0
spoor.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.15629948861808055	0.04383817389643826	1	FOC	433	348	spoor	NA	NA	bound	433	lex	10_10	selection	all	4_4	0.25194563182172963	BOW	all_FOC	c1	0
spoor.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSnav	-0.21863587119441388	0.14939409413262	1	5000	5000	357	spoor	NA	NA	bound	981	lex	10_10	no	nav	4_4	0.21762882751828486	BOW	nav_5000	c3	0
spoor.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSall	-0.35902883060524415	0.16417544152827362	1	5000	5000	357	spoor	NA	NA	bound	981	lex	10_10	no	all	4_4	0.20430361899716207	BOW	all_5000	c2	0
spoor.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.22258807611583759	0.13379405537758937	1	FOC	732	357	spoor	NA	NA	bound	981	lex	10_10	no	nav	4_4	0.2182553366459062	BOW	nav_FOC	c3	0
spoor.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSall	-0.24925576745183822	0.14132440087054132	1	FOC	981	357	spoor	NA	NA	bound	981	lex	10_10	no	all	4_4	0.20630066728197552	BOW	all_FOC	c3	0
