pmi10	raw_co10_x	pmi4	raw_co10_y	raw_freq	cw
4.8922896	1			69	!!!!/punct
0.31908852	3			19257	!/name
1.2277938	54	1.610812	32.0	142029	!/punct
0.1736709	652	0.22223486	275.0	4844510	"""/punct"
-0.18138038	5			52896	&/name
9.063595	1			1	&warm/noun
0.57355005	548	0.75375235	264.0	2720890	'/punct
-0.8691663	3	-1.0550871	1.0	62265	's/adv
1.1487583	4	1.3603786	2.0	11206	's/det
0.91060525	1			3563	(/name
-0.79517233	139	-0.80815876	56.0	2759129	(/punct
9.063595	2			2	(levens)verzekeringsstatuut/noun
1.5887663	1	2.5016854	1.0	1772	)/name
-0.7097113	150	-0.9000828	50.0	2758869	)/punct
0.8016427	1			3950	)/tag
1.4908608	1	2.4009502	1.0	2003	***/num
-1.4235915	3	-0.96786356	2.0	117193	*/tag
9.7567425	1			1	*Ja/noun
4.0944767	1			145	+++/num
0.7422993	6			24958	,/name
0.20966072	2565	0.3244628	1156.0	18092245	,/punct
0.17458333	10	0.5434842	6.0	75440	--/punct
-0.07927361	111	0.029081432	50.0	1059446	-/punct
5.543134	1			36	-PSV/name
7.964983	1			3	-SBS/noun
5.8447194	1			25	-toch/noun
5.7864504	1			27	-zeker/adj
0.37524056	17	0.39494574	7.0	103573	.../punct
2.6065116	1	3.515317	1.0	657	...?/num
0.038211167	3317	0.025166592	1314.0	28225482	./punct
1.2747861	18	1.2207385	7.0	45910	//punct
1.3784435	1			2210	0,8/num
0.8422641	1	1.7522897	1.0	3803	0-0/noun
4.129841	1			140	06_nummer/noun
-1.6816653	1	-0.7675063	1.0	46650	1./num
4.729578	1			79	1.15/num
3.1448357	1			375	1.6/num
5.713691	1			29	1.730/num
-0.74497527	3	-0.25503632	2.0	56531	1/name
-2.59637	1	-1.6916915	1.0	118827	1/num
2.9655209	1			455	1/tag
2.5949652	1			663	10-jarige/adj
-0.4324916	1			13558	10.000/num
-0.8868427	1			21393	10/noun
-1.6476831	2	-1.4337518	1.0	91258	10/num
1.2674961	1			2480	100/name
-0.9034644	2			43355	100/num
2.6872084	1			598	103/name
-0.0448287	4			36830	11/noun
-0.4340659	3	-0.6252033	1.0	40771	11/num
1.1968346	1	2.1039174	1.0	2650	112/num
1.5381169	1			1880	114/num
3.0839503	1			400	12-18/noun
-0.74880445	1	0.15406695	1.0	18653	12/noun
-1.8788165	1			57411	12/num
0.26930833	1			6604	13./num
1.8958246	1			1346	13.30/num
-0.8565872	1			20739	13/noun
-1.5177748	1			40176	13/num
2.1295877	1			1045	1300/num
3.6349077	1			230	1302/noun
5.749409	1			32	14.10/name
9.063595	1			1	14.h4/noun
0.31432253	1			6410	140/num
2.1284194	1			1049	1400/num
0.36945322	1			6093	15.000/num
8.370448	1			2	15.Pe2/noun
-1.2409226	1			30549	15/noun
-2.0299628	1	-1.1223168	1.0	66844	15/num
4.742115	1			76	1570/noun
5.7733293	1	6.671637	1.0	28	1580/num
9.063595	1			1	16.bxa3/noun
-1.523243	1			40303	16/num
1.1007181	2			5839	160/num
4.589103	1			88	1620/noun
3.8338244	1	4.73952	1.0	190	17,1/num
9.063595	1			1	17.O-O/noun
0.8142945	1			3896	170/num
3.939929	1			171	18%/num
6.8663707	1	7.784043	1.0	9	18.41-37/noun
-1.6394706	1	-0.73219174	1.0	45254	18/num
4.118744	1	5.0351706	1.0	141	1844/noun
3.942015	1			169	1858/noun
2.5744662	1			666	1899/noun
-0.6154589	2			32622	19/num
2.017383	1			1161	1926/noun
1.6577653	2			3325	1948/noun
0.8582402	1			3701	1965/noun
2.7199783	1			576	1967/num
2.623646	2			1272	1968/num
0.7924432	1			3951	1969/noun
0.79167616	1			3955	1971/noun
0.23341046	1			6912	1982/noun
0.2770316	1			6625	1984/noun
0.17519715	1			7315	1985/noun
2.320184	1			858	1986/num
0.1624466	1			7416	1987/noun
-0.091174304	1			9548	1988/noun
0.36920607	2	0.5878556	1.0	12049	1989/noun
2.1216319	1			1045	1989/num
0.27610776	2			13235	1990/noun
-0.6631999	1			16911	1993/noun
-0.9910994	1			23494	1994/noun
-0.02589868	3			26842	1995/noun
1.3306124	1	2.2423434	1.0	2302	1995/num
-0.53519636	2			29771	1996/noun
-0.041827597	4	0.58191246	3.0	36388	1997/noun
1.1923794	1			2652	1997/num
1.8564763	1	2.7594314	1.0	1375	1998/name
-0.67228895	3			51305	1998/noun
1.5017715	1			1978	1999/name
-0.76068676	3			56174	1999/noun
9.574421	1			1	1_tafereel/noun
-1.6568389	1	-0.7401868	1.0	45325	2./num
2.9311738	1			468	2.600/num
-1.0073657	2			49039	2/name
-0.8751123	1			21190	2/noun
-1.1596615	4	-1.6375688	1.0	111933	2/num
0.65956515	2			9136	20.00/num
1.5739596	1			1839	20.15/num
1.2135307	4	0.7267306	1.0	10670	20.30/num
4.922049	1			64	20/2/num
-1.188683	1			28826	200/num
-0.45203996	1			13959	2000/name
-0.87039405	3			62906	2000/noun
9.063595	1			1	2000plaats/name
-1.7718182	1			51756	2002/noun
3.5325801	1	4.431705	1.0	259	20th/name
5.171775	1			49	21.00-21.50u./noun
2.5569148	1	3.4580722	1.0	697	21.05/num
3.5357547	1	4.440004	1.0	257	21.25/num
-0.7416467	2	-0.527956	1.0	36979	21/num
4.0640206	1	4.9756446	1.0	150	21ste-eeuwse/adj
4.2018466	1	5.1127715	1.0	132	22%/num
6.498646	1			13	22.10-23.55u./noun
3.2181685	1			362	22.35/num
3.030389	1			436	22.40/num
-1.468289	1			38168	22/num
-0.63923013	2			33360	23/num
1.3716416	1	2.2773006	1.0	2230	230/num
2.0146008	1	2.9304945	1.0	1155	24./num
3.9088595	1			176	24.00/num
-0.850178	2			41130	24/num
-0.44721264	1	0.45409262	1.0	13820	25/noun
-2.0894969	1			71011	25/num
3.7032425	1			220	250/name
-0.6957159	1			17628	250/num
3.0819285	1			402	254/num
-0.41313976	1			13371	26/noun
1.8909404	1			1334	26ste/num
