_model	model.x	model.y	foc_minimum_features	soc_length	soc_length_num	tokens	type	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_ppmi	soc_soc_pos	soc_soc_win	stress	foc_base
hoop.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.8019672682782325	0.25122142179544316	1	5000	5000	283	hoop	NA	NA	bound	352	lex	5_5	weight	nav	4_4	0.2614828727245733	BOW
hoop.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSall	-0.8831470440455631	-0.16312652566020333	1	5000	5000	283	hoop	NA	NA	bound	352	lex	5_5	weight	all	4_4	0.19567393690253454	BOW
hoop.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.8591350984277558	0.6104046346097908	1	FOC	260	283	hoop	NA	NA	bound	352	lex	5_5	weight	nav	4_4	0.25836718643070133	BOW
hoop.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.8047741171890613	0.5066822669490589	1	FOC	352	283	hoop	NA	NA	bound	352	lex	5_5	weight	all	4_4	0.2572830383882313	BOW
hoop.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.9880025948954542	0.21540885240323177	1	5000	5000	283	hoop	NA	NA	bound	352	lex	5_5	selection	nav	4_4	0.26141890279356683	BOW
hoop.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSall	-1.0453840606485196	-0.2065334315168212	1	5000	5000	283	hoop	NA	NA	bound	352	lex	5_5	selection	all	4_4	0.20052291220905702	BOW
hoop.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.9603902465518449	0.43035641371211775	1	FOC	260	283	hoop	NA	NA	bound	352	lex	5_5	selection	nav	4_4	0.2542255313180106	BOW
hoop.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.9214120169490777	0.38880784541082564	1	FOC	352	283	hoop	NA	NA	bound	352	lex	5_5	selection	all	4_4	0.2502119936558629	BOW
hoop.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSnav	-1.5638105031025271	0.15897420282363448	1	5000	5000	305	hoop	NA	NA	bound	645	lex	5_5	no	nav	4_4	0.2582861075935565	BOW
hoop.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSall	-1.6725734255686366	-0.8189014323695883	1	5000	5000	305	hoop	NA	NA	bound	645	lex	5_5	no	all	4_4	0.21359905210578728	BOW
hoop.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSnav	-1.4216354065244374	0.4558665512320548	1	FOC	495	305	hoop	NA	NA	bound	645	lex	5_5	no	nav	4_4	0.26851313144371153	BOW
hoop.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSall	-1.3966704181269505	0.4074795513249557	1	FOC	645	305	hoop	NA	NA	bound	645	lex	5_5	no	all	4_4	0.2571929709346926	BOW
hoop.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSnav	0.447497219286712	-0.2268943182385235	1	5000	5000	311	hoop	NA	NA	bound	458	all	5_5	weight	nav	4_4	0.19727179257664934	BOW
hoop.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSall	0.7362934893460865	-0.5084791133337423	1	5000	5000	311	hoop	NA	NA	bound	458	all	5_5	weight	all	4_4	0.2032226404261131	BOW
hoop.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSnav	6.26519643178144e-4	0.15701584042546826	1	FOC	260	311	hoop	NA	NA	bound	458	all	5_5	weight	nav	4_4	0.23791356385822124	BOW
hoop.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSall	-0.013413679565754373	0.11953068777961846	1	FOC	458	311	hoop	NA	NA	bound	458	all	5_5	weight	all	4_4	0.21620878354662157	BOW
