_model	model.x	model.y	minimum_contextwords	focc_part_of_speech	focc_sent_bound	socc_corpus	socc_length	socc_length_num	socc_window	focc_token_window	tokens	type	focc_weighting	stress
church_nocomp.10_10.none.ppmi.nobound.s.5_5.10000.3	-0.2964999653440119	0.1383401453862676	3	none	FALSE	s	10000	946	5_5	10_10	249	church_nocomp	ppmi	0.2845231264171537
church_nocomp.10_10.none.ppmi.nobound.s.5_5.focc.2	-0.3117335976274215	0.1262098860139154	2	none	FALSE	s	focc	946	5_5	10_10	249	church_nocomp	ppmi	0.28464735040072847
church_nocomp.10_10.none.ppmi.nobound.s.5_5.focc.3	-0.2970111039793331	0.15067660586536294	3	none	FALSE	s	focc	946	5_5	10_10	249	church_nocomp	ppmi	0.28470177199606594
church_nocomp.5_5.none.noweight.nobound.s.5_5.5000.2	0.20396940247966003	0.28341648157782623	2	none	FALSE	s	5000	5000	5_5	5_5	249	church_nocomp	noweight	0.24307340909675676
church_nocomp.5_5.none.noweight.nobound.s.5_5.5000.3	0.2188871704968229	0.2645006342118154	3	none	FALSE	s	5000	5000	5_5	5_5	249	church_nocomp	noweight	0.24442343749249165
church_nocomp.5_5.none.noweight.nobound.s.5_5.10000.2	0.20162000993713966	0.3097974741810467	2	none	FALSE	s	10000	10000	5_5	5_5	249	church_nocomp	noweight	0.24889886788711424
church_nocomp.5_5.none.noweight.nobound.s.5_5.10000.3	0.2016200099371394	0.3097974741810463	3	none	FALSE	s	10000	10000	5_5	5_5	249	church_nocomp	noweight	0.24889886788711424
church_nocomp.5_5.none.noweight.nobound.s.5_5.focc.2	0.2878373969471966	0.38164829270245676	2	none	FALSE	s	focc	34786	5_5	5_5	249	church_nocomp	noweight	0.2663555992850913
church_nocomp.5_5.none.noweight.nobound.s.5_5.focc.3	0.2878373968626959	0.3816482925770346	3	none	FALSE	s	focc	34786	5_5	5_5	249	church_nocomp	noweight	0.2663555992850913
church_nocomp.10_10.none.noweight.nobound.s.5_5.5000.2	0.21552801250837567	0.15324211727935996	2	none	FALSE	s	5000	5000	5_5	10_10	249	church_nocomp	noweight	0.23551783415303928
church_nocomp.10_10.none.noweight.nobound.s.5_5.5000.3	0.21552801250837567	0.15324211727935996	3	none	FALSE	s	5000	5000	5_5	10_10	249	church_nocomp	noweight	0.23551783415303928
church_nocomp.10_10.none.noweight.nobound.s.5_5.10000.2	0.2574125861778008	0.1894557398428232	2	none	FALSE	s	10000	10000	5_5	10_10	249	church_nocomp	noweight	0.2519492414569149
church_nocomp.10_10.none.noweight.nobound.s.5_5.10000.3	0.2574125861778008	0.1894557398428232	3	none	FALSE	s	10000	10000	5_5	10_10	249	church_nocomp	noweight	0.2519492414569149
church_nocomp.10_10.none.noweight.nobound.s.5_5.focc.2	0.43643735616694407	0.42267339243335933	2	none	FALSE	s	focc	34786	5_5	10_10	249	church_nocomp	noweight	0.2753912698057583
church_nocomp.10_10.none.noweight.nobound.s.5_5.focc.3	0.43724739210223157	0.4233921257482023	3	none	FALSE	s	focc	34786	5_5	10_10	249	church_nocomp	noweight	0.2753912698057583
church_nocomp.5_5.nvj.ppmi.nobound.c.10_10.5000.2	-0.17110305559806238	-0.1559910411198153	2	nvj	FALSE	c	5000	4210	10_10	5_5	176	church_nocomp	ppmi	0.22014077240337418
church_nocomp.5_5.nvj.ppmi.nobound.c.10_10.5000.3	-0.1538449753118822	-0.17309162137158712	3	nvj	FALSE	c	5000	4210	10_10	5_5	106	church_nocomp	ppmi	0.19842991437448568
church_nocomp.5_5.nvj.ppmi.nobound.c.10_10.10000.2	-0.16324060812713956	-0.16906720169298262	2	nvj	FALSE	c	10000	4210	10_10	5_5	176	church_nocomp	ppmi	0.22245316530055328
church_nocomp.5_5.nvj.ppmi.nobound.c.10_10.10000.3	-0.15503184781759802	-0.18246809610933268	3	nvj	FALSE	c	10000	4210	10_10	5_5	106	church_nocomp	ppmi	0.19910542467736542
church_nocomp.5_5.nvj.ppmi.nobound.c.10_10.focc.2	-0.16785126860573923	-0.1622403189396898	2	nvj	FALSE	c	focc	4210	10_10	5_5	176	church_nocomp	ppmi	0.22072102983231756
church_nocomp.5_5.nvj.ppmi.nobound.c.10_10.focc.3	-0.15985355853692196	-0.16781223252071112	3	nvj	FALSE	c	focc	4210	10_10	5_5	106	church_nocomp	ppmi	0.2002715776671471
church_nocomp.10_10.nvj.ppmi.nobound.c.10_10.5000.2	-0.1416354900967969	-0.08633067928593227	2	nvj	FALSE	c	5000	4210	10_10	10_10	227	church_nocomp	ppmi	0.24369867572487808
church_nocomp.10_10.nvj.ppmi.nobound.c.10_10.5000.3	-0.1477899952938873	-0.10306697305684925	3	nvj	FALSE	c	5000	4210	10_10	10_10	189	church_nocomp	ppmi	0.23954068483846044
church_nocomp.10_10.nvj.ppmi.nobound.c.10_10.10000.2	-0.13988149467432465	-0.08555919035785045	2	nvj	FALSE	c	10000	4210	10_10	10_10	227	church_nocomp	ppmi	0.24344288115609342
church_nocomp.10_10.nvj.ppmi.nobound.c.10_10.10000.3	-0.16457128630301085	-0.10506578255832599	3	nvj	FALSE	c	10000	4210	10_10	10_10	189	church_nocomp	ppmi	0.23892189793088722
church_nocomp.10_10.nvj.ppmi.nobound.c.10_10.focc.2	-0.14602980769946972	-0.1331389334620287	2	nvj	FALSE	c	focc	4210	10_10	10_10	227	church_nocomp	ppmi	0.24414702548928663
church_nocomp.10_10.nvj.ppmi.nobound.c.10_10.focc.3	-0.14838972523976296	-0.1141457105096062	3	nvj	FALSE	c	focc	4210	10_10	10_10	189	church_nocomp	ppmi	0.23948470502200844
church_nocomp.5_5.nvj.noweight.nobound.c.10_10.5000.2	0.04837043352975338	-0.11231964431118031	2	nvj	FALSE	c	5000	5000	10_10	5_5	246	church_nocomp	noweight	0.22271090313524647
church_nocomp.5_5.nvj.noweight.nobound.c.10_10.5000.3	0.02816457848959211	-0.11571647352666665	3	nvj	FALSE	c	5000	5000	10_10	5_5	227	church_nocomp	noweight	0.21794925023095094
church_nocomp.5_5.nvj.noweight.nobound.c.10_10.10000.2	0.05604769572073858	-0.14779534059069677	2	nvj	FALSE	c	10000	10000	10_10	5_5	246	church_nocomp	noweight	0.22386104187426756
church_nocomp.5_5.nvj.noweight.nobound.c.10_10.10000.3	0.027400342098310597	-0.14995450479318345	3	nvj	FALSE	c	10000	10000	10_10	5_5	227	church_nocomp	noweight	0.22054427110009797
church_nocomp.5_5.nvj.noweight.nobound.c.10_10.focc.2	0.2503034733097257	-0.19457291254835268	2	nvj	FALSE	c	focc	24438	10_10	5_5	246	church_nocomp	noweight	0.23591488099008628
church_nocomp.5_5.nvj.noweight.nobound.c.10_10.focc.3	0.2443924888995822	-0.19581391358676187	3	nvj	FALSE	c	focc	24438	10_10	5_5	227	church_nocomp	noweight	0.23867001879105687
church_nocomp.10_10.nvj.noweight.nobound.c.10_10.5000.2	-0.0144291559471183	-0.05718571781595443	2	nvj	FALSE	c	5000	5000	10_10	10_10	249	church_nocomp	noweight	0.22111099143763094
church_nocomp.10_10.nvj.noweight.nobound.c.10_10.5000.3	-0.0030002541416607287	-0.04635111467622014	3	nvj	FALSE	c	5000	5000	10_10	10_10	249	church_nocomp	noweight	0.221846632639017
church_nocomp.10_10.nvj.noweight.nobound.c.10_10.10000.2	-0.004443632854921118	-0.07241989996977607	2	nvj	FALSE	c	10000	10000	10_10	10_10	249	church_nocomp	noweight	0.22561072606549298
church_nocomp.10_10.nvj.noweight.nobound.c.10_10.10000.3	-0.001329789480576884	-0.07422553154931767	3	nvj	FALSE	c	10000	10000	10_10	10_10	249	church_nocomp	noweight	0.224909536904344
church_nocomp.10_10.nvj.noweight.nobound.c.10_10.focc.2	0.009220312297303171	-0.14459548163954658	2	nvj	FALSE	c	focc	24438	10_10	10_10	249	church_nocomp	noweight	0.2428300376194074
church_nocomp.10_10.nvj.noweight.nobound.c.10_10.focc.3	0.008871213713530923	-0.12921996095612834	3	nvj	FALSE	c	focc	24438	10_10	10_10	249	church_nocomp	noweight	0.24433039806859003
church_nocomp.5_5.nvjid.ppmi.nobound.c.10_10.5000.2	-0.13618367958752578	-0.17388417062895067	2	nvjid	FALSE	c	5000	4276	10_10	5_5	226	church_nocomp	ppmi	0.24127743639200996
church_nocomp.5_5.nvjid.ppmi.nobound.c.10_10.5000.3	-0.14855005846764852	-0.15094296984485503	3	nvjid	FALSE	c	5000	4276	10_10	5_5	201	church_nocomp	ppmi	0.2346658714652816
church_nocomp.5_5.nvjid.ppmi.nobound.c.10_10.10000.2	-0.14252560265592282	-0.17124843817708757	2	nvjid	FALSE	c	10000	4276	10_10	5_5	226	church_nocomp	ppmi	0.24410564273079186
church_nocomp.5_5.nvjid.ppmi.nobound.c.10_10.10000.3	-0.1481594024130378	-0.20303315232448862	3	nvjid	FALSE	c	10000	4276	10_10	5_5	201	church_nocomp	ppmi	0.2363165700777616
church_nocomp.5_5.nvjid.ppmi.nobound.c.10_10.focc.2	-0.13783167583073372	-0.16487959883977804	2	nvjid	FALSE	c	focc	4276	10_10	5_5	226	church_nocomp	ppmi	0.24203218696608683
church_nocomp.5_5.nvjid.ppmi.nobound.c.10_10.focc.3	-0.13943826568668088	-0.15680726741874654	3	nvjid	FALSE	c	focc	4276	10_10	5_5	201	church_nocomp	ppmi	0.23488837199372511
church_nocomp.10_10.nvjid.ppmi.nobound.c.10_10.5000.2	-0.1397162645739345	-0.09878434882140197	2	nvjid	FALSE	c	5000	4276	10_10	10_10	246	church_nocomp	ppmi	0.23877975119977676
church_nocomp.10_10.nvjid.ppmi.nobound.c.10_10.5000.3	-0.1447283561503617	-0.1181811066747505	3	nvjid	FALSE	c	5000	4276	10_10	10_10	243	church_nocomp	ppmi	0.23577667633507945
church_nocomp.10_10.nvjid.ppmi.nobound.c.10_10.10000.2	-0.14197535259498786	-0.10220585228352963	2	nvjid	FALSE	c	10000	4276	10_10	10_10	246	church_nocomp	ppmi	0.2369078486208421
church_nocomp.10_10.nvjid.ppmi.nobound.c.10_10.10000.3	-0.15048857538636976	-0.14414667433630515	3	nvjid	FALSE	c	10000	4276	10_10	10_10	243	church_nocomp	ppmi	0.23594238908947773
church_nocomp.10_10.nvjid.ppmi.nobound.c.10_10.focc.2	-0.13327455600404509	-0.1623363860717034	2	nvjid	FALSE	c	focc	4276	10_10	10_10	246	church_nocomp	ppmi	0.2357012871225434
church_nocomp.10_10.nvjid.ppmi.nobound.c.10_10.focc.3	-0.13178952812298514	-0.10872853696533533	3	nvjid	FALSE	c	focc	4276	10_10	10_10	243	church_nocomp	ppmi	0.23473266594545997
church_nocomp.5_5.nvjid.noweight.nobound.c.10_10.5000.2	0.06602409123752388	-0.07098165500299299	2	nvjid	FALSE	c	5000	5000	10_10	5_5	249	church_nocomp	noweight	0.19602667364211385
church_nocomp.5_5.nvjid.noweight.nobound.c.10_10.5000.3	0.053420936970313485	-0.07223204831588537	3	nvjid	FALSE	c	5000	5000	10_10	5_5	245	church_nocomp	noweight	0.20865771548866274
church_nocomp.5_5.nvjid.noweight.nobound.c.10_10.10000.2	0.06768848531113074	-0.08347577047112055	2	nvjid	FALSE	c	10000	10000	10_10	5_5	249	church_nocomp	noweight	0.2098266016715152
church_nocomp.5_5.nvjid.noweight.nobound.c.10_10.10000.3	0.062152682155954736	-0.09057655009484274	3	nvjid	FALSE	c	10000	10000	10_10	5_5	245	church_nocomp	noweight	0.21979311984972233
church_nocomp.5_5.nvjid.noweight.nobound.c.10_10.focc.2	0.13835022649711007	-0.10607390136073314	2	nvjid	FALSE	c	focc	24583	10_10	5_5	249	church_nocomp	noweight	0.22867534135141324
church_nocomp.5_5.nvjid.noweight.nobound.c.10_10.focc.3	0.13812045922423755	-0.11217716579443769	3	nvjid	FALSE	c	focc	24583	10_10	5_5	245	church_nocomp	noweight	0.23424376448155218
church_nocomp.10_10.nvjid.noweight.nobound.c.10_10.5000.2	0.039178086977744525	0.025487501162492446	2	nvjid	FALSE	c	5000	5000	10_10	10_10	249	church_nocomp	noweight	0.20402898987771675
church_nocomp.10_10.nvjid.noweight.nobound.c.10_10.5000.3	0.011142468044124795	-0.01813849901656192	3	nvjid	FALSE	c	5000	5000	10_10	10_10	249	church_nocomp	noweight	0.20288443352260746
church_nocomp.10_10.nvjid.noweight.nobound.c.10_10.10000.2	0.030854348495493827	-0.02987671636958753	2	nvjid	FALSE	c	10000	10000	10_10	10_10	249	church_nocomp	noweight	0.21184804697289536
church_nocomp.10_10.nvjid.noweight.nobound.c.10_10.10000.3	0.041803783371958926	-0.017050442277339244	3	nvjid	FALSE	c	10000	10000	10_10	10_10	249	church_nocomp	noweight	0.21069230864473285
church_nocomp.10_10.nvjid.noweight.nobound.c.10_10.focc.2	0.0608925586402105	-0.05756505810877231	2	nvjid	FALSE	c	focc	24583	10_10	10_10	249	church_nocomp	noweight	0.22853439632132502
church_nocomp.10_10.nvjid.noweight.nobound.c.10_10.focc.3	0.0608925586402105	-0.05756505810877229	3	nvjid	FALSE	c	focc	24583	10_10	10_10	249	church_nocomp	noweight	0.22853439632132502
church_nocomp.5_5.none.ppmi.nobound.c.10_10.5000.2	-0.19415020993474388	-0.1282124610167867	2	none	FALSE	c	5000	4699	10_10	5_5	239	church_nocomp	ppmi	0.24091294063403845
church_nocomp.5_5.none.ppmi.nobound.c.10_10.5000.3	-0.17125533933150383	-0.11770015338160894	3	none	FALSE	c	5000	4699	10_10	5_5	216	church_nocomp	ppmi	0.2370335841940855
church_nocomp.5_5.none.ppmi.nobound.c.10_10.10000.2	-0.14665344743164566	-0.16543195990180862	2	none	FALSE	c	10000	4699	10_10	5_5	239	church_nocomp	ppmi	0.24102803933001177
church_nocomp.5_5.none.ppmi.nobound.c.10_10.10000.3	-0.14712779127511633	-0.16698754275205593	3	none	FALSE	c	10000	4699	10_10	5_5	216	church_nocomp	ppmi	0.2380173824824694
church_nocomp.5_5.none.ppmi.nobound.c.10_10.focc.2	-0.15554677644686227	-0.16589483085714152	2	none	FALSE	c	focc	4699	10_10	5_5	239	church_nocomp	ppmi	0.24168310295629006
church_nocomp.5_5.none.ppmi.nobound.c.10_10.focc.3	-0.19899785630332126	-0.14049247114136443	3	none	FALSE	c	focc	4699	10_10	5_5	216	church_nocomp	ppmi	0.23814825106555387
church_nocomp.10_10.none.ppmi.nobound.c.10_10.5000.2	-0.14225893129612233	-0.11852952833835764	2	none	FALSE	c	5000	4699	10_10	10_10	248	church_nocomp	ppmi	0.23605116718955033
church_nocomp.10_10.none.ppmi.nobound.c.10_10.5000.3	-0.14429661599381804	-0.11958206139834106	3	none	FALSE	c	5000	4699	10_10	10_10	247	church_nocomp	ppmi	0.23958251413831677
church_nocomp.10_10.none.ppmi.nobound.c.10_10.10000.2	-0.15779929468644385	-0.06692599068835438	2	none	FALSE	c	10000	4699	10_10	10_10	248	church_nocomp	ppmi	0.23889322327195478
church_nocomp.10_10.none.ppmi.nobound.c.10_10.10000.3	-0.1359180008416257	-0.1054204040684305	3	none	FALSE	c	10000	4699	10_10	10_10	247	church_nocomp	ppmi	0.2362618375758375
church_nocomp.10_10.none.ppmi.nobound.c.10_10.focc.2	-0.13211302533587393	-0.10657705363357398	2	none	FALSE	c	focc	4699	10_10	10_10	248	church_nocomp	ppmi	0.23739674519659576
church_nocomp.10_10.none.ppmi.nobound.c.10_10.focc.3	-0.13744071286921022	-0.10358724710704119	3	none	FALSE	c	focc	4699	10_10	10_10	247	church_nocomp	ppmi	0.236411938233333
church_nocomp.5_5.none.noweight.nobound.c.10_10.5000.2	0.1573061586179262	0.008923854366779697	2	none	FALSE	c	5000	5000	10_10	5_5	249	church_nocomp	noweight	0.20832527942419646
church_nocomp.5_5.none.noweight.nobound.c.10_10.5000.3	0.1612724616573023	0.011683907399933606	3	none	FALSE	c	5000	5000	10_10	5_5	249	church_nocomp	noweight	0.20834754779974668
church_nocomp.5_5.none.noweight.nobound.c.10_10.10000.2	0.16851742834549877	-0.007862755558819313	2	none	FALSE	c	10000	10000	10_10	5_5	249	church_nocomp	noweight	0.21766992929326218
church_nocomp.5_5.none.noweight.nobound.c.10_10.10000.3	0.16828031930423906	-0.009025111596050885	3	none	FALSE	c	10000	10000	10_10	5_5	249	church_nocomp	noweight	0.21765130434208288
church_nocomp.5_5.none.noweight.nobound.c.10_10.focc.2	0.23951013111173194	0.010848876432084164	2	none	FALSE	c	focc	27085	10_10	5_5	249	church_nocomp	noweight	0.23252273870707124
church_nocomp.5_5.none.noweight.nobound.c.10_10.focc.3	0.23951013111173194	0.010848876432084164	3	none	FALSE	c	focc	27085	10_10	5_5	249	church_nocomp	noweight	0.23252273870707124
church_nocomp.10_10.none.noweight.nobound.c.10_10.5000.2	0.17816583546363837	0.0876483856888791	2	none	FALSE	c	5000	5000	10_10	10_10	249	church_nocomp	noweight	0.1884381189943604
church_nocomp.10_10.none.noweight.nobound.c.10_10.5000.3	0.17923353068016312	0.08894103004613035	3	none	FALSE	c	5000	5000	10_10	10_10	249	church_nocomp	noweight	0.18862451324628426
church_nocomp.10_10.none.noweight.nobound.c.10_10.10000.2	0.2093349747896735	0.09425067032387005	2	none	FALSE	c	10000	10000	10_10	10_10	249	church_nocomp	noweight	0.20177482934390112
church_nocomp.10_10.none.noweight.nobound.c.10_10.10000.3	0.2093349747896735	0.09425067032387005	3	none	FALSE	c	10000	10000	10_10	10_10	249	church_nocomp	noweight	0.20177482934390112
church_nocomp.10_10.none.noweight.nobound.c.10_10.focc.2	0.23695720126877523	0.07834439037135581	2	none	FALSE	c	focc	27085	10_10	10_10	249	church_nocomp	noweight	0.22154484024570809
church_nocomp.10_10.none.noweight.nobound.c.10_10.focc.3	0.23695720126877523	0.07834439037135581	3	none	FALSE	c	focc	27085	10_10	10_10	249	church_nocomp	noweight	0.22154484024570809
church_nocomp.5_5.nvj.ppmi.nobound.s.10_10.5000.2	-0.19807432511642206	0.037081071716400654	2	nvj	FALSE	s	5000	1296	10_10	5_5	229	church_nocomp	ppmi	0.3055915669113942
church_nocomp.5_5.nvj.ppmi.nobound.s.10_10.5000.3	-0.23410301318647353	0.058429649755299747	3	nvj	FALSE	s	5000	1296	10_10	5_5	188	church_nocomp	ppmi	0.29398871933220316
church_nocomp.5_5.nvj.ppmi.nobound.s.10_10.10000.2	-0.22624810166437462	0.016551620861448894	2	nvj	FALSE	s	10000	1296	10_10	5_5	229	church_nocomp	ppmi	0.305808914596739
church_nocomp.5_5.nvj.ppmi.nobound.s.10_10.10000.3	-0.23243488704323606	0.07488748973282826	3	nvj	FALSE	s	10000	1296	10_10	5_5	188	church_nocomp	ppmi	0.2943845939266635
church_nocomp.5_5.nvj.ppmi.nobound.s.10_10.focc.2	-0.2231255421823284	0.07623250317569621	2	nvj	FALSE	s	focc	1296	10_10	5_5	229	church_nocomp	ppmi	0.30484285698183683
church_nocomp.5_5.nvj.ppmi.nobound.s.10_10.focc.3	-0.22571985293674135	0.02531753616246958	3	nvj	FALSE	s	focc	1296	10_10	5_5	188	church_nocomp	ppmi	0.29660370241818695
church_nocomp.10_10.nvj.ppmi.nobound.s.10_10.5000.2	-0.1682413258207204	0.009053087386716634	2	nvj	FALSE	s	5000	1296	10_10	10_10	249	church_nocomp	ppmi	0.27692391976844
church_nocomp.10_10.nvj.ppmi.nobound.s.10_10.5000.3	-0.19724827989862606	0.01405159512437682	3	nvj	FALSE	s	5000	1296	10_10	10_10	247	church_nocomp	ppmi	0.2788343781590199
church_nocomp.10_10.nvj.ppmi.nobound.s.10_10.10000.2	-0.1754034434071147	0.03396241369789775	2	nvj	FALSE	s	10000	1296	10_10	10_10	249	church_nocomp	ppmi	0.27633131114756876
church_nocomp.10_10.nvj.ppmi.nobound.s.10_10.10000.3	-0.16170797621105512	0.033686247390342865	3	nvj	FALSE	s	10000	1296	10_10	10_10	247	church_nocomp	ppmi	0.2789160371990849
church_nocomp.10_10.nvj.ppmi.nobound.s.10_10.focc.2	-0.1672982979493882	0.005321629812678942	2	nvj	FALSE	s	focc	1296	10_10	10_10	249	church_nocomp	ppmi	0.2763970093230277
church_nocomp.10_10.nvj.ppmi.nobound.s.10_10.focc.3	-0.16142729060108965	0.04124294866563207	3	nvj	FALSE	s	focc	1296	10_10	10_10	247	church_nocomp	ppmi	0.27879091931345923
church_nocomp.5_5.nvj.noweight.nobound.s.10_10.5000.2	0.1402191430402886	-0.21331639770730368	2	nvj	FALSE	s	5000	5000	10_10	5_5	246	church_nocomp	noweight	0.2515745760862926
church_nocomp.5_5.nvj.noweight.nobound.s.10_10.5000.3	0.11661441072700808	-0.20755279800930626	3	nvj	FALSE	s	5000	5000	10_10	5_5	229	church_nocomp	noweight	0.2517283173013015
church_nocomp.5_5.nvj.noweight.nobound.s.10_10.10000.2	0.21347218057938783	-0.20675769317661008	2	nvj	FALSE	s	10000	10000	10_10	5_5	246	church_nocomp	noweight	0.24944031098551842
church_nocomp.5_5.nvj.noweight.nobound.s.10_10.10000.3	0.15610994107702447	-0.2125237802908333	3	nvj	FALSE	s	10000	10000	10_10	5_5	229	church_nocomp	noweight	0.2512767458273187
church_nocomp.5_5.nvj.noweight.nobound.s.10_10.focc.2	0.20874280905019196	-0.195183504948077	2	nvj	FALSE	s	focc	31447	10_10	5_5	246	church_nocomp	noweight	0.24606686651459733
church_nocomp.5_5.nvj.noweight.nobound.s.10_10.focc.3	0.1874320313103421	-0.20275231310223762	3	nvj	FALSE	s	focc	31447	10_10	5_5	229	church_nocomp	noweight	0.24494753139875916
church_nocomp.10_10.nvj.noweight.nobound.s.10_10.5000.2	0.06904949799686795	0.09536443646416141	2	nvj	FALSE	s	5000	5000	10_10	10_10	249	church_nocomp	noweight	0.2491031301621561
church_nocomp.10_10.nvj.noweight.nobound.s.10_10.5000.3	0.06880541103184709	0.08067615665852294	3	nvj	FALSE	s	5000	5000	10_10	10_10	249	church_nocomp	noweight	0.25024066673007606
church_nocomp.10_10.nvj.noweight.nobound.s.10_10.10000.2	0.11425195823557928	0.093754202042955	2	nvj	FALSE	s	10000	10000	10_10	10_10	249	church_nocomp	noweight	0.25410298066238585
church_nocomp.10_10.nvj.noweight.nobound.s.10_10.10000.3	0.09389331239697492	0.08826858688300811	3	nvj	FALSE	s	10000	10000	10_10	10_10	249	church_nocomp	noweight	0.25632363313732925
church_nocomp.10_10.nvj.noweight.nobound.s.10_10.focc.2	0.4261340732989421	-0.062151101460649734	2	nvj	FALSE	s	focc	31447	10_10	10_10	249	church_nocomp	noweight	0.25496200020301124
church_nocomp.10_10.nvj.noweight.nobound.s.10_10.focc.3	0.44865655062227183	-0.10246270797271435	3	nvj	FALSE	s	focc	31447	10_10	10_10	249	church_nocomp	noweight	0.25543428644103877
church_nocomp.5_5.nvjid.ppmi.nobound.s.10_10.5000.2	-0.19606011448008104	0.13128077988274867	2	nvjid	FALSE	s	5000	1337	10_10	5_5	247	church_nocomp	ppmi	0.2986985889168233
church_nocomp.5_5.nvjid.ppmi.nobound.s.10_10.5000.3	-0.20097694782433898	0.08433752842782655	3	nvjid	FALSE	s	5000	1337	10_10	5_5	233	church_nocomp	ppmi	0.29251445823701633
church_nocomp.5_5.nvjid.ppmi.nobound.s.10_10.10000.2	-0.18260024217477333	0.10322859382193557	2	nvjid	FALSE	s	10000	1337	10_10	5_5	247	church_nocomp	ppmi	0.29717937867805555
church_nocomp.5_5.nvjid.ppmi.nobound.s.10_10.10000.3	-0.17842166684786917	0.11091541499055253	3	nvjid	FALSE	s	10000	1337	10_10	5_5	233	church_nocomp	ppmi	0.29524392090459445
church_nocomp.5_5.nvjid.ppmi.nobound.s.10_10.focc.2	-0.14711258321711562	0.12138288267646992	2	nvjid	FALSE	s	focc	1337	10_10	5_5	247	church_nocomp	ppmi	0.29790461118571687
church_nocomp.5_5.nvjid.ppmi.nobound.s.10_10.focc.3	-0.17194836411043027	0.11491523368539605	3	nvjid	FALSE	s	focc	1337	10_10	5_5	233	church_nocomp	ppmi	0.29341755787923934
church_nocomp.10_10.nvjid.ppmi.nobound.s.10_10.5000.2	-0.14972229915630372	0.0023575866954994055	2	nvjid	FALSE	s	5000	1337	10_10	10_10	249	church_nocomp	ppmi	0.27521037769929046
church_nocomp.10_10.nvjid.ppmi.nobound.s.10_10.5000.3	-0.234122722975835	0.0039992150125333185	3	nvjid	FALSE	s	5000	1337	10_10	10_10	248	church_nocomp	ppmi	0.27568291583370785
church_nocomp.10_10.nvjid.ppmi.nobound.s.10_10.10000.2	-0.14644871471551438	0.0386135726027416	2	nvjid	FALSE	s	10000	1337	10_10	10_10	249	church_nocomp	ppmi	0.2742807416355889
church_nocomp.10_10.nvjid.ppmi.nobound.s.10_10.10000.3	-0.1311508396276361	0.11180490495002429	3	nvjid	FALSE	s	10000	1337	10_10	10_10	248	church_nocomp	ppmi	0.2756276140279389
church_nocomp.10_10.nvjid.ppmi.nobound.s.10_10.focc.2	-0.2016199872467783	0.05271340407882149	2	nvjid	FALSE	s	focc	1337	10_10	10_10	249	church_nocomp	ppmi	0.27392085953255857
church_nocomp.10_10.nvjid.ppmi.nobound.s.10_10.focc.3	-0.19360889585547972	0.041206729506519275	3	nvjid	FALSE	s	focc	1337	10_10	10_10	248	church_nocomp	ppmi	0.2758854070197564
church_nocomp.5_5.nvjid.noweight.nobound.s.10_10.5000.2	0.14738419090333127	-0.08318809993682245	2	nvjid	FALSE	s	5000	5000	10_10	5_5	249	church_nocomp	noweight	0.2552783904686544
church_nocomp.5_5.nvjid.noweight.nobound.s.10_10.5000.3	0.1620782544452337	-0.05911945095990363	3	nvjid	FALSE	s	5000	5000	10_10	5_5	245	church_nocomp	noweight	0.25586436068898694
church_nocomp.5_5.nvjid.noweight.nobound.s.10_10.10000.2	0.2304275694479805	-0.25700488781223124	2	nvjid	FALSE	s	10000	10000	10_10	5_5	249	church_nocomp	noweight	0.2536642411036783
church_nocomp.5_5.nvjid.noweight.nobound.s.10_10.10000.3	0.29975993670186857	-0.21257837541632685	3	nvjid	FALSE	s	10000	10000	10_10	5_5	245	church_nocomp	noweight	0.25385751997131456
church_nocomp.5_5.nvjid.noweight.nobound.s.10_10.focc.2	0.39448932361006356	-0.2810571023585758	2	nvjid	FALSE	s	focc	31607	10_10	5_5	249	church_nocomp	noweight	0.2323833115609886
church_nocomp.5_5.nvjid.noweight.nobound.s.10_10.focc.3	0.2934138632440186	-0.37497977745489675	3	nvjid	FALSE	s	focc	31607	10_10	5_5	245	church_nocomp	noweight	0.2315768907494255
church_nocomp.10_10.nvjid.noweight.nobound.s.10_10.5000.2	0.09191656439190024	0.07330521662223922	2	nvjid	FALSE	s	5000	5000	10_10	10_10	249	church_nocomp	noweight	0.2456826419058625
church_nocomp.10_10.nvjid.noweight.nobound.s.10_10.5000.3	0.09191656439190024	0.07330521662223922	3	nvjid	FALSE	s	5000	5000	10_10	10_10	249	church_nocomp	noweight	0.2456826419058625
church_nocomp.10_10.nvjid.noweight.nobound.s.10_10.10000.2	0.11265698517570435	0.08446889914570248	2	nvjid	FALSE	s	10000	10000	10_10	10_10	249	church_nocomp	noweight	0.26000296273359447
church_nocomp.10_10.nvjid.noweight.nobound.s.10_10.10000.3	0.158977054975876	0.11300033861728022	3	nvjid	FALSE	s	10000	10000	10_10	10_10	249	church_nocomp	noweight	0.2597201602613312
church_nocomp.10_10.nvjid.noweight.nobound.s.10_10.focc.2	0.4352101373132944	0.08690967766876444	2	nvjid	FALSE	s	focc	31607	10_10	10_10	249	church_nocomp	noweight	0.2609030086146972
church_nocomp.10_10.nvjid.noweight.nobound.s.10_10.focc.3	0.3543951400325365	0.07010404670561785	3	nvjid	FALSE	s	focc	31607	10_10	10_10	249	church_nocomp	noweight	0.2621571381500366
