_model	model.x	model.y	minimum_contextwords	focc_part_of_speech	focc_sent_bound	socc_corpus	socc_length	socc_length_num	socc_window	focc_token_window	tokens	type	focc_weighting	stress
church_nocomp.5_5.nvjid.ppmi.nobound.c.5_5.5000.3	-0.13709872852024538	-0.12626068735011958	3	nvjid	FALSE	c	5000	2945	5_5	5_5	190	church_nocomp	ppmi	0.23590625089075992
church_nocomp.5_5.nvjid.ppmi.nobound.c.5_5.10000.2	-0.12837250384333956	-0.15152378884162393	2	nvjid	FALSE	c	10000	2945	5_5	5_5	225	church_nocomp	ppmi	0.23971807913379395
church_nocomp.5_5.nvjid.ppmi.nobound.c.5_5.10000.3	-0.13754622253997503	-0.13463877742081068	3	nvjid	FALSE	c	10000	2945	5_5	5_5	190	church_nocomp	ppmi	0.23602897277161886
church_nocomp.5_5.nvjid.ppmi.nobound.c.5_5.focc.2	-0.13295460962461145	-0.1480306064221992	2	nvjid	FALSE	c	focc	2945	5_5	5_5	225	church_nocomp	ppmi	0.24002908814564752
church_nocomp.5_5.nvjid.ppmi.nobound.c.5_5.focc.3	-0.13754622253997503	-0.13463877742081068	3	nvjid	FALSE	c	focc	2945	5_5	5_5	190	church_nocomp	ppmi	0.23602897277161886
church_nocomp.10_10.nvjid.ppmi.nobound.c.5_5.5000.2	-0.10825141540179078	-0.15062821980317423	2	nvjid	FALSE	c	5000	2945	5_5	10_10	244	church_nocomp	ppmi	0.23567343761002982
church_nocomp.10_10.nvjid.ppmi.nobound.c.5_5.5000.3	-0.11340052475182395	-0.13229090784656908	3	nvjid	FALSE	c	5000	2945	5_5	10_10	238	church_nocomp	ppmi	0.23889628589690912
church_nocomp.10_10.nvjid.ppmi.nobound.c.5_5.10000.2	-0.10825141540179078	-0.15062821980317423	2	nvjid	FALSE	c	10000	2945	5_5	10_10	244	church_nocomp	ppmi	0.23567343761002982
church_nocomp.10_10.nvjid.ppmi.nobound.c.5_5.10000.3	-0.11340052475182395	-0.13229090784656908	3	nvjid	FALSE	c	10000	2945	5_5	10_10	238	church_nocomp	ppmi	0.23889628589690912
church_nocomp.10_10.nvjid.ppmi.nobound.c.5_5.focc.2	-0.10825141540179078	-0.15062821980317423	2	nvjid	FALSE	c	focc	2945	5_5	10_10	244	church_nocomp	ppmi	0.23567343761002982
church_nocomp.10_10.nvjid.ppmi.nobound.c.5_5.focc.3	-0.11340052475182395	-0.13229090784656908	3	nvjid	FALSE	c	focc	2945	5_5	10_10	238	church_nocomp	ppmi	0.23889628589690912
church_nocomp.5_5.nvjid.noweight.nobound.c.5_5.5000.2	0.10426777752733962	-0.06723351465118106	2	nvjid	FALSE	c	5000	5000	5_5	5_5	249	church_nocomp	noweight	0.20618844752691265
church_nocomp.5_5.nvjid.noweight.nobound.c.5_5.5000.3	0.09727108583228462	-0.07498603896252357	3	nvjid	FALSE	c	5000	5000	5_5	5_5	245	church_nocomp	noweight	0.2181947133031736
church_nocomp.5_5.nvjid.noweight.nobound.c.5_5.10000.2	0.1274523111754432	-0.07332793271887779	2	nvjid	FALSE	c	10000	10000	5_5	5_5	249	church_nocomp	noweight	0.21760454573350121
church_nocomp.5_5.nvjid.noweight.nobound.c.5_5.10000.3	0.09696487414930711	-0.081749220693541	3	nvjid	FALSE	c	10000	10000	5_5	5_5	245	church_nocomp	noweight	0.22635507874952804
