_model	minimum_contextwords	part_of_speech	sent_bound	socc_corpus	socc_length	socc_length_num	socc_window	token_window	tokens	type	weighting	stress
church_nocomp.5_5.none.ppmi.nobound.COHA.5_5.5000.2	2	none	False	COHA	5e3	5000	5_5	5_5	240	church_nocomp	ppmi	0.2380099951644882
church_nocomp.5_5.none.ppmi.nobound.COHA.10_10.5000.2	2	none	False	COHA	5e3	5000	10_10	5_5	240	church_nocomp	ppmi	0.22758312934545188
church_nocomp.5_5.none.ppmi.nobound.COHA.5_5.5000.3	3	none	False	COHA	5e3	5000	5_5	5_5	211	church_nocomp	ppmi	0.2363281217648136
church_nocomp.5_5.none.ppmi.nobound.COHA.10_10.5000.3	3	none	False	COHA	5e3	5000	10_10	5_5	211	church_nocomp	ppmi	0.22617933271544455
church_nocomp.5_5.none.noweight.nobound.COHA.5_5.5000.2	2	none	False	COHA	5e3	5000	5_5	5_5	249	church_nocomp	noweight	0.2178860081075427
church_nocomp.5_5.none.noweight.nobound.COHA.10_10.5000.2	2	none	False	COHA	5e3	5000	10_10	5_5	249	church_nocomp	noweight	0.20833935631682748
church_nocomp.5_5.none.noweight.nobound.COHA.5_5.5000.3	3	none	False	COHA	5e3	5000	5_5	5_5	249	church_nocomp	noweight	0.21788293598153213
church_nocomp.5_5.none.noweight.nobound.COHA.10_10.5000.3	3	none	False	COHA	5e3	5000	10_10	5_5	249	church_nocomp	noweight	0.20832721632674198
church_nocomp.5_5.nvj.ppmi.nobound.Semcor.5_5.5000.2	2	nvj	False	Semcor	5e3	5000	5_5	5_5	232	church_nocomp	ppmi	0.30956337902723013
church_nocomp.5_5.nvj.ppmi.nobound.Semcor.10_10.5000.2	2	nvj	False	Semcor	5e3	5000	10_10	5_5	232	church_nocomp	ppmi	0.3125166643157349
church_nocomp.5_5.nvj.ppmi.nobound.Semcor.5_5.5000.3	3	nvj	False	Semcor	5e3	5000	5_5	5_5	194	church_nocomp	ppmi	0.30756215044189544
church_nocomp.5_5.nvj.ppmi.nobound.Semcor.10_10.5000.3	3	nvj	False	Semcor	5e3	5000	10_10	5_5	194	church_nocomp	ppmi	0.30410496139100923
church_nocomp.5_5.nvj.noweight.nobound.Semcor.5_5.5000.2	2	nvj	False	Semcor	5e3	5000	5_5	5_5	246	church_nocomp	noweight	0.2567488824413522
church_nocomp.5_5.nvj.noweight.nobound.Semcor.10_10.5000.2	2	nvj	False	Semcor	5e3	5000	10_10	5_5	246	church_nocomp	noweight	0.2528458875955388
church_nocomp.5_5.nvj.noweight.nobound.Semcor.5_5.5000.3	3	nvj	False	Semcor	5e3	5000	5_5	5_5	229	church_nocomp	noweight	0.2595192709733936
church_nocomp.5_5.nvj.noweight.nobound.Semcor.10_10.5000.3	3	nvj	False	Semcor	5e3	5000	10_10	5_5	229	church_nocomp	noweight	0.2515710029842663
church_nocomp.5_5.nvjid.ppmi.nobound.Semcor.5_5.5000.2	2	nvjid	False	Semcor	5e3	5000	5_5	5_5	247	church_nocomp	ppmi	0.29600564989938316
church_nocomp.5_5.nvjid.ppmi.nobound.Semcor.10_10.5000.2	2	nvjid	False	Semcor	5e3	5000	10_10	5_5	247	church_nocomp	ppmi	0.30218512979284545
church_nocomp.5_5.nvjid.ppmi.nobound.Semcor.5_5.5000.3	3	nvjid	False	Semcor	5e3	5000	5_5	5_5	236	church_nocomp	ppmi	0.2959614173298594
church_nocomp.5_5.nvjid.ppmi.nobound.Semcor.10_10.5000.3	3	nvjid	False	Semcor	5e3	5000	10_10	5_5	236	church_nocomp	ppmi	0.2997958629603739
church_nocomp.5_5.nvjid.noweight.nobound.Semcor.5_5.5000.2	2	nvjid	False	Semcor	5e3	5000	5_5	5_5	249	church_nocomp	noweight	0.25036620364090356
church_nocomp.5_5.nvjid.noweight.nobound.Semcor.10_10.5000.2	2	nvjid	False	Semcor	5e3	5000	10_10	5_5	249	church_nocomp	noweight	0.25379665023246634
church_nocomp.5_5.nvjid.noweight.nobound.Semcor.5_5.5000.3	3	nvjid	False	Semcor	5e3	5000	5_5	5_5	245	church_nocomp	noweight	0.25199881235529553
church_nocomp.5_5.nvjid.noweight.nobound.Semcor.10_10.5000.3	3	nvjid	False	Semcor	5e3	5000	10_10	5_5	245	church_nocomp	noweight	0.254004469869061
church_nocomp.5_5.none.ppmi.nobound.Semcor.5_5.5000.2	2	none	False	Semcor	5e3	5000	5_5	5_5	248	church_nocomp	ppmi	0.2960326035378664
church_nocomp.5_5.none.ppmi.nobound.Semcor.10_10.5000.2	2	none	False	Semcor	5e3	5000	10_10	5_5	248	church_nocomp	ppmi	0.3011224581539674
church_nocomp.5_5.none.ppmi.nobound.Semcor.5_5.5000.3	3	none	False	Semcor	5e3	5000	5_5	5_5	246	church_nocomp	ppmi	0.2974468034035134
church_nocomp.5_5.none.ppmi.nobound.Semcor.10_10.5000.3	3	none	False	Semcor	5e3	5000	10_10	5_5	246	church_nocomp	ppmi	0.2989159502765265
church_nocomp.5_5.none.noweight.nobound.Semcor.5_5.5000.2	2	none	False	Semcor	5e3	5000	5_5	5_5	249	church_nocomp	noweight	0.2448229982461363
church_nocomp.5_5.none.noweight.nobound.Semcor.10_10.5000.2	2	none	False	Semcor	5e3	5000	10_10	5_5	249	church_nocomp	noweight	0.24281833880171616
church_nocomp.5_5.none.noweight.nobound.Semcor.5_5.5000.3	3	none	False	Semcor	5e3	5000	5_5	5_5	249	church_nocomp	noweight	0.24410440437687628
church_nocomp.5_5.none.noweight.nobound.Semcor.10_10.5000.3	3	none	False	Semcor	5e3	5000	10_10	5_5	249	church_nocomp	noweight	0.24222805774562414
church_nocomp.10_10.nvj.ppmi.nobound.COHA.5_5.5000.2	2	nvj	False	COHA	5e3	5000	5_5	10_10	227	church_nocomp	ppmi	0.250085085526995
church_nocomp.10_10.nvj.ppmi.nobound.COHA.10_10.5000.2	2	nvj	False	COHA	5e3	5000	10_10	10_10	227	church_nocomp	ppmi	0.24403287327366477
church_nocomp.10_10.nvj.ppmi.nobound.COHA.5_5.5000.3	3	nvj	False	COHA	5e3	5000	5_5	10_10	189	church_nocomp	ppmi	0.24478212088594048
church_nocomp.10_10.nvj.ppmi.nobound.COHA.10_10.5000.3	3	nvj	False	COHA	5e3	5000	10_10	10_10	189	church_nocomp	ppmi	0.2383564611635321
church_nocomp.10_10.nvj.noweight.nobound.COHA.5_5.5000.2	2	nvj	False	COHA	5e3	5000	5_5	10_10	249	church_nocomp	noweight	0.2301312686110908
church_nocomp.10_10.nvj.noweight.nobound.COHA.10_10.5000.2	2	nvj	False	COHA	5e3	5000	10_10	10_10	249	church_nocomp	noweight	0.22194158711541584
church_nocomp.10_10.nvj.noweight.nobound.COHA.5_5.5000.3	3	nvj	False	COHA	5e3	5000	5_5	10_10	249	church_nocomp	noweight	0.2299386503566243
church_nocomp.10_10.nvj.noweight.nobound.COHA.10_10.5000.3	3	nvj	False	COHA	5e3	5000	10_10	10_10	249	church_nocomp	noweight	0.22194158711541584
church_nocomp.10_10.nvjid.ppmi.nobound.COHA.5_5.5000.2	2	nvjid	False	COHA	5e3	5000	5_5	10_10	246	church_nocomp	ppmi	0.24109321549468865
