_model	model.x	model.y	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_vector	soc_length_num	soc_soc_win	tokens	type	stress	foc_base	pam_cluster	is_medoid
herroepen.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.07359272022507012	-0.03525641756823555	NA	NA	bound	353	lex	10_10	1	weight	nav_5000	5000	4_4	234	herroepen	0.24223343043452286	BOW	c1	0
herroepen.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSall	-0.007104760129346553	-0.11939596506510093	NA	NA	bound	353	lex	10_10	1	weight	all_5000	5000	4_4	234	herroepen	0.2684882946531934	BOW	c2	0
herroepen.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.15190158204382442	0.0439707613066139	NA	NA	bound	353	lex	10_10	1	weight	nav_FOC	259	4_4	234	herroepen	0.23188887847681286	BOW	c3	0
herroepen.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.15090290238039988	0.03239408741757715	NA	NA	bound	353	lex	10_10	1	weight	all_FOC	353	4_4	234	herroepen	0.23217252467946245	BOW	c3	0
herroepen.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSnav	0.025618596130533175	-0.03051757293819799	NA	NA	bound	353	lex	10_10	1	selection	nav_5000	5000	4_4	234	herroepen	0.25282476167690987	BOW	c3	0
herroepen.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSall	0.0714913819870618	-0.12483715706182782	NA	NA	bound	353	lex	10_10	1	selection	all_5000	5000	4_4	234	herroepen	0.268810089031023	BOW	c2	0
herroepen.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.07826164167658523	0.056509274105558824	NA	NA	bound	353	lex	10_10	1	selection	nav_FOC	259	4_4	234	herroepen	0.23690454214143292	BOW	c3	0
herroepen.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.0769802723762513	0.04352514106058447	NA	NA	bound	353	lex	10_10	1	selection	all_FOC	353	4_4	234	herroepen	0.24027955586809824	BOW	c3	0
herroepen.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSnav	0.06134978320455	0.10790016911992542	NA	NA	bound	676	lex	10_10	1	no	nav_5000	5000	4_4	235	herroepen	0.2609385232978997	BOW	c3	0
herroepen.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSall	0.15665106464536804	-0.20266062254532397	NA	NA	bound	676	lex	10_10	1	no	all_5000	5000	4_4	235	herroepen	0.2624953134168406	BOW	c2	0
herroepen.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.08467808673168074	0.13689975477485	NA	NA	bound	676	lex	10_10	1	no	nav_FOC	488	4_4	235	herroepen	0.25218997074877664	BOW	c3	0
herroepen.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSall	-0.09066853176792512	0.12080021197997544	NA	NA	bound	676	lex	10_10	1	no	all_FOC	676	4_4	235	herroepen	0.24795732317600874	BOW	c3	0
herroepen.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSnav	-0.06665023133949363	0.032923653498398084	NA	NA	bound	472	all	10_10	1	weight	nav_5000	5000	4_4	236	herroepen	0.24188945821377147	BOW	c1	0
herroepen.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSall	0.007413079027199072	-0.1181053590099437	NA	NA	bound	472	all	10_10	1	weight	all_5000	5000	4_4	236	herroepen	0.2684094667174225	BOW	c2	0
herroepen.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.14919373925033574	0.084311265415954	NA	NA	bound	472	all	10_10	1	weight	nav_FOC	259	4_4	236	herroepen	0.2368318019971694	BOW	c3	0
herroepen.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSall	-0.15347187799571102	0.07379354280348921	NA	NA	bound	472	all	10_10	1	weight	all_FOC	472	4_4	236	herroepen	0.23221170151586315	BOW	c3	0
herroepen.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSnav	0.15002453525080928	0.16469596322872618	NA	NA	bound	472	all	10_10	1	selection	nav_5000	5000	4_4	236	herroepen	0.2328955008563425	BOW	c4	0
herroepen.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSall	0.22247483749867614	-0.06413290623097422	NA	NA	bound	472	all	10_10	1	selection	all_5000	5000	4_4	236	herroepen	0.2585562906653733	BOW	c2	0
herroepen.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSnav	-0.011747116871446996	0.1378755597039799	NA	NA	bound	472	all	10_10	1	selection	nav_FOC	259	4_4	236	herroepen	0.2447256824424839	BOW	c5	0
herroepen.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSall	-0.00950035654502167	0.122125165973404	NA	NA	bound	472	all	10_10	1	selection	all_FOC	472	4_4	236	herroepen	0.2453795593048619	BOW	c5	0
herroepen.BOWbound10all.PPMIno.LENGTH5000.SOCPOSnav	0.22301502841529777	0.29931798787593666	NA	NA	bound	940	all	10_10	1	no	nav_5000	5000	4_4	236	herroepen	0.222426700640466	BOW	c4	0
herroepen.BOWbound10all.PPMIno.LENGTH5000.SOCPOSall	0.5145820135605388	-0.0014351964203276138	NA	NA	bound	940	all	10_10	1	no	all_5000	5000	4_4	236	herroepen	0.2433073692595565	BOW	c2	0
herroepen.BOWbound10all.PPMIno.LENGTHFOC.SOCPOSnav	0.027353504675973372	0.2505160565545353	NA	NA	bound	940	all	10_10	1	no	nav_FOC	488	4_4	236	herroepen	0.2425468880357566	BOW	c4	0
herroepen.BOWbound10all.PPMIno.LENGTHFOC.SOCPOSall	0.027926623049873468	0.2433872555509005	NA	NA	bound	940	all	10_10	1	no	all_FOC	940	4_4	236	herroepen	0.240209006110514	BOW	c5	0
