cw	ppmi
!/p	0.0
"""""""""""""""""""""/p"	0.0
##/n	0.616072
$1,500,000/N	2.8132966
$1,800/N	3.8318663
$13,000/N	3.6887653
$1500/N	4.0942307
$18.5/N	5.010521
$6/N	2.162709
&gt;/-/n	2.0413895
'/P	0.007112433
'/p	0.0
's/P	0.41929936
(/p	0.0
)/p	0.0
**29;4540;toolong/N	6.3968153
*/n	0.0
*although/n	5.703668
,/p	0.043978944
--/n	0.0
-/n	0.0
-r/n	4.787378
...../p	0.0
..../p	0.0
.../p	0.0
./p	0.0
///J	0.0
///N	0.050916035
0/C	0.0
1,000/C	1.4900603
1,054/C	6.3968153
1,100-member/n	6.3968153
1,200-member/n	6.3968153
1,200/C	1.8535208
1,500/C	1.8832126
1,510/C	5.2982035
1,600,000/C	4.0942307
1/C	0.0
10%/N	0.9635303
10/C	0.0
100,000/C	0.9021093
100-odd/n	4.787378
100/C	0.10127281
106/C	1.9541643
10:30/C	2.445572
11/C	0.0
110,000/C	3.9119089
12,000/C	1.8892581
12,500/C	4.199591
12/C	0.41573808
122/C	1.9659988
12th/J	2.5256145
13/C	0.0
133/C	2.192123
1374/C	6.3968153
139-year-old/n	6.3968153
13th/J	2.5256145
1400/C	3.5064437
146/C	2.3537643
14th/J	1.9541643
15-year-old/n	3.2313404
15/C	0.0
1517/C	5.703668
1584/C	5.010521
16,000/C	2.6356153
16-acre/n	5.2982035
16/C	0.0
1633/C	5.2982035
168/C	2.5946074
16th/J	3.6755202
17/C	0.0
1722/C	6.3968153
1733/C	4.787378
17th/J	1.9779749
18/C	0.0
1810/C	4.4509053
1811/C	3.4523766
1825/C	3.138719
1829/C	3.9989202
1860/C	3.064611
187/C	2.8734004
1873/C	2.590153
1915/C	2.6520283
1926/C	1.5216182
1935-36/n	4.787378
1939/C	1.781695
1944/C	0.84075993
1945/C	0.9630935
1948/C	0.13417946
1951/C	0.2147306
1956/C	0.0
1957/C	0.0
1958/C	0.0
1960/C	0.0
1961/C	0.0
1962/C	0.0
1963/C	0.66931653
1964/C	1.5927944
1966/C	2.1341357
19th/J	1.4036655
2,000/C	1.3351703
2,200/C	3.138719
2,449/C	6.3968153
2,600/C	4.256749
2/C	0.0
20/C	0.0
200/C	0.0
209/C	1.9900963
20th/J	1.3272825
217/C	3.032974
21st/J	2.9660594
22/C	0.0
228/C	2.900308
22nd/J	3.2613213
23.3%/n	6.3968153
24,000-member/n	6.3968153
24/C	0.0
25/C	0.44037384
250/C	1.1818798
250th/J	5.703668
26/C	0.0
260/C	2.8734004
27/C	0.0
28/C	0.0
29/C	0.0
3,000,000/C	2.208677
3,161/C	6.3968153
30/C	0.1022878
31/C	0.0
313/C	3.1819477
317/C	3.4060957
33,000/C	3.8318663
34/C	0.49801466
343/C	3.7577581
35/C	0.030173264
36,000-member/n	6.3968153
36/C	0.40036342
3622/C	6.3968153
37/C	0.5218848
38,000,000/C	5.703668
38/C	0.54922134
390/C	3.6242268
4/C	0.0
400/C	0.6512515
427/C	4.199591
45/C	0.921608
46/C	0.6853956
47/C	0.67029357
4th/J	3.1272466
5,000,000/C	2.6149013
5/C	0.5182864
50/C	0.7030834
500/C	1.368777
53/C	0.7877101
55/C	0.5582108
550/C	2.7592294
597/C	4.6050563
6,000/C	1.4200817
60,000,000/C	5.1928425
6401/C	6.3968153
65/C	0.37288377
68/C	1.0999993
6th/N	6.3968153
7,000/C	1.8324673
70%/N	2.870455
70,000/C	2.9676788
700/C	1.3996032
72/C	0.8967826
