_model	model.x	model.y	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress	foc_base
haken.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.9344791415275832	-0.25053185598218597	NA	NA	bound	375	lex	10_10	1	weight	5000	5000	nav	4_4	246	haken	0.17977084314067604	BOW
haken.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSall	-1.3461573369050286	-0.15869890434164727	NA	NA	bound	375	lex	10_10	1	weight	5000	5000	all	4_4	246	haken	0.18527728780935418	BOW
haken.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.8344745854599086	-0.28461639300707714	NA	NA	bound	375	lex	10_10	1	weight	FOC	258	nav	4_4	246	haken	0.17829006501635541	BOW
haken.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.8132014645304394	-0.28554614240711135	NA	NA	bound	375	lex	10_10	1	weight	FOC	375	all	4_4	246	haken	0.17305647947054645	BOW
haken.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSnav	-1.016855372002206	-0.3887074475200438	NA	NA	bound	375	lex	10_10	1	selection	5000	5000	nav	4_4	246	haken	0.18994416417471666	BOW
haken.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSall	-1.4254276686742127	-0.5134473567769888	NA	NA	bound	375	lex	10_10	1	selection	5000	5000	all	4_4	246	haken	0.20877107659453237	BOW
haken.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.8381809002619967	-0.3619571179912781	NA	NA	bound	375	lex	10_10	1	selection	FOC	258	nav	4_4	246	haken	0.17933702510028654	BOW
haken.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.8201367929220394	-0.3802922414322749	NA	NA	bound	375	lex	10_10	1	selection	FOC	375	all	4_4	246	haken	0.17381356863505662	BOW
haken.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSnav	-1.2009309971386564	-0.8676969552314702	NA	NA	bound	722	lex	10_10	1	no	5000	5000	nav	4_4	249	haken	0.17470138011100875	BOW
haken.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSall	-1.2617706698910036	-1.3078953062369227	NA	NA	bound	722	lex	10_10	1	no	5000	5000	all	4_4	249	haken	0.17365260081698441	BOW
haken.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.966918114278816	-0.8028753237113734	NA	NA	bound	722	lex	10_10	1	no	FOC	521	nav	4_4	249	haken	0.15808855427837132	BOW
haken.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSall	-0.9447160288463765	-0.8040614908705019	NA	NA	bound	722	lex	10_10	1	no	FOC	722	all	4_4	249	haken	0.1506056983823646	BOW
haken.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSnav	-0.04365068783989834	-0.187263092890905	NA	NA	bound	556	all	10_10	1	weight	5000	5000	nav	4_4	251	haken	0.13130556260936607	BOW
haken.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSall	0.1622093756386491	-0.2815661714719457	NA	NA	bound	556	all	10_10	1	weight	5000	5000	all	4_4	251	haken	0.1511200908662048	BOW
