_model	model.x	model.y	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress	foc_base
herroepen.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.3549490422808773	-0.22517997125953002	NA	NA	bound	310	lex	5_5	1	weight	5000	5000	nav	4_4	232	herroepen	0.16846658296693748	BOW
herroepen.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSall	-0.5402589256749256	-0.22960805635867063	NA	NA	bound	310	lex	5_5	1	weight	5000	5000	all	4_4	232	herroepen	0.20909060945424277	BOW
herroepen.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.3228056909685539	-0.267320506273833	NA	NA	bound	310	lex	5_5	1	weight	FOC	223	nav	4_4	232	herroepen	0.17304782322494489	BOW
herroepen.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.3222050723498362	-0.2642852718182418	NA	NA	bound	310	lex	5_5	1	weight	FOC	310	all	4_4	232	herroepen	0.17102343906304152	BOW
herroepen.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.3957484091792583	-0.2637773039288881	NA	NA	bound	310	lex	5_5	1	selection	5000	5000	nav	4_4	232	herroepen	0.21321971432444572	BOW
herroepen.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSall	-0.5455449857785228	-0.21673271874668276	NA	NA	bound	310	lex	5_5	1	selection	5000	5000	all	4_4	232	herroepen	0.2193802773719516	BOW
herroepen.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.28064697809181466	-0.24055227232858478	NA	NA	bound	310	lex	5_5	1	selection	FOC	223	nav	4_4	232	herroepen	0.20121740643086125	BOW
herroepen.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.27901118947579656	-0.23846693856381668	NA	NA	bound	310	lex	5_5	1	selection	FOC	310	all	4_4	232	herroepen	0.20173722376013775	BOW
herroepen.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSnav	-0.42766149582988433	-0.3470900358242788	NA	NA	bound	399	lex	5_5	1	no	5000	5000	nav	4_4	233	herroepen	0.23362363061812777	BOW
herroepen.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSall	-0.6864278126762956	-0.4896143177051802	NA	NA	bound	399	lex	5_5	1	no	5000	5000	all	4_4	233	herroepen	0.22037956355676633	BOW
herroepen.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.2454911231445344	-0.29460440184226183	NA	NA	bound	399	lex	5_5	1	no	FOC	283	nav	4_4	233	herroepen	0.20946042547930677	BOW
herroepen.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSall	-0.24055605689597698	-0.3044573292603383	NA	NA	bound	399	lex	5_5	1	no	FOC	399	all	4_4	233	herroepen	0.20804778227277576	BOW
herroepen.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSnav	-0.21542201112200082	-0.0537925542518662	NA	NA	bound	414	all	5_5	1	weight	5000	5000	nav	4_4	236	herroepen	0.17724418807896267	BOW
herroepen.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSall	-0.4478824619053836	0.18565720268296	NA	NA	bound	414	all	5_5	1	weight	5000	5000	all	4_4	236	herroepen	0.22095165948528875	BOW
herroepen.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.19675474385357666	-0.1437699782263425	NA	NA	bound	414	all	5_5	1	weight	FOC	223	nav	4_4	236	herroepen	0.1588457392112167	BOW
herroepen.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSall	-0.19355277697315296	-0.136228757233308	NA	NA	bound	414	all	5_5	1	weight	FOC	414	all	4_4	236	herroepen	0.16432192295917966	BOW
herroepen.BOWbound5all.PPMIselection.LENGTH5000.SOCPOSnav	0.7449037876646001	0.013447337493234008	NA	NA	bound	414	all	5_5	1	selection	5000	5000	nav	4_4	236	herroepen	0.2259573681058134	BOW
herroepen.BOWbound5all.PPMIselection.LENGTH5000.SOCPOSall	-0.27442023041279773	0.8560669800024685	NA	NA	bound	414	all	5_5	1	selection	5000	5000	all	4_4	236	herroepen	0.25531760567472644	BOW
herroepen.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSnav	0.0817946034965457	-0.09207199969527977	NA	NA	bound	414	all	5_5	1	selection	FOC	223	nav	4_4	236	herroepen	0.2134516214899427	BOW
herroepen.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSall	0.07184000580316197	-0.08985131754005213	NA	NA	bound	414	all	5_5	1	selection	FOC	414	all	4_4	236	herroepen	0.22707369765959198	BOW
herroepen.BOWbound5all.PPMIno.LENGTH5000.SOCPOSnav	1.295203684264864	0.33541501790547773	NA	NA	bound	562	all	5_5	1	no	5000	5000	nav	4_4	236	herroepen	0.19835931891506964	BOW
herroepen.BOWbound5all.PPMIno.LENGTH5000.SOCPOSall	0.4095529509524268	1.583141266461526	NA	NA	bound	562	all	5_5	1	no	5000	5000	all	4_4	236	herroepen	0.2346764534777712	BOW
herroepen.BOWbound5all.PPMIno.LENGTHFOC.SOCPOSnav	0.5290420592335441	-0.15213381144509164	NA	NA	bound	562	all	5_5	1	no	FOC	283	nav	4_4	236	herroepen	0.2136043587320968	BOW
herroepen.BOWbound5all.PPMIno.LENGTHFOC.SOCPOSall	0.5223640704694074	-0.1525335612237307	NA	NA	bound	562	all	5_5	1	no	FOC	562	all	4_4	236	herroepen	0.22317644651166796	BOW
herroepen.BOWbound3lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.8835172513483127	-0.0035066267773440274	NA	NA	bound	224	lex	3_3	1	weight	5000	5000	nav	4_4	226	herroepen	0.172585429839965	BOW
herroepen.BOWbound3lex.PPMIweight.LENGTH5000.SOCPOSall	-1.102051187833182	0.173008958529182	NA	NA	bound	224	lex	3_3	1	weight	5000	5000	all	4_4	226	herroepen	0.2231395064164505	BOW
herroepen.BOWbound3lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.8789313152805311	-0.015923658295113767	NA	NA	bound	224	lex	3_3	1	weight	FOC	155	nav	4_4	226	herroepen	0.23372791426946324	BOW
herroepen.BOWbound3lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.8392468054377927	-0.01968004544730767	NA	NA	bound	224	lex	3_3	1	weight	FOC	224	all	4_4	226	herroepen	0.2179427984356003	BOW
herroepen.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.8787067268957753	0.012000204744957183	NA	NA	bound	224	lex	3_3	1	selection	5000	5000	nav	4_4	226	herroepen	0.22289106702891615	BOW
herroepen.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSall	-1.1136331227985214	0.20138694228214013	NA	NA	bound	224	lex	3_3	1	selection	5000	5000	all	4_4	226	herroepen	0.22668280213292785	BOW
herroepen.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.7983877926719312	0.017445567270101707	NA	NA	bound	224	lex	3_3	1	selection	FOC	155	nav	4_4	226	herroepen	0.24151769575238693	BOW
herroepen.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.7732339524807229	-0.005561238255372722	NA	NA	bound	224	lex	3_3	1	selection	FOC	224	all	4_4	226	herroepen	0.2345570829034653	BOW
herroepen.BOWbound3lex.PPMIno.LENGTH5000.SOCPOSnav	-1.059835885393477	-0.08766217747038614	NA	NA	bound	255	lex	3_3	1	no	5000	5000	nav	4_4	230	herroepen	0.2299822465235881	BOW
herroepen.BOWbound3lex.PPMIno.LENGTH5000.SOCPOSall	-1.2371806269657593	0.17961965138909272	NA	NA	bound	255	lex	3_3	1	no	5000	5000	all	4_4	230	herroepen	0.2274895106188733	BOW
herroepen.BOWbound3lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.9049013128087408	-0.052917082266063634	NA	NA	bound	255	lex	3_3	1	no	FOC	175	nav	4_4	230	herroepen	0.2430592442582199	BOW
herroepen.BOWbound3lex.PPMIno.LENGTHFOC.SOCPOSall	-0.8812422408705626	-0.0579325646346023	NA	NA	bound	255	lex	3_3	1	no	FOC	255	all	4_4	230	herroepen	0.230487543294166	BOW
herroepen.BOWbound3all.PPMIweight.LENGTH5000.SOCPOSnav	-0.9408812306208203	0.31548627678614566	NA	NA	bound	302	all	3_3	1	weight	5000	5000	nav	4_4	236	herroepen	0.1818926467576237	BOW
herroepen.BOWbound3all.PPMIweight.LENGTH5000.SOCPOSall	-1.156155627064004	0.4447919049892682	NA	NA	bound	302	all	3_3	1	weight	5000	5000	all	4_4	236	herroepen	0.23798634082993553	BOW
herroepen.BOWbound3all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.8844869735871882	0.22638557155618125	NA	NA	bound	302	all	3_3	1	weight	FOC	155	nav	4_4	236	herroepen	0.22563095460950536	BOW
herroepen.BOWbound3all.PPMIweight.LENGTHFOC.SOCPOSall	-0.8338845934674997	0.2060515612198989	NA	NA	bound	302	all	3_3	1	weight	FOC	302	all	4_4	236	herroepen	0.19948710225070332	BOW
herroepen.BOWbound3all.PPMIselection.LENGTH5000.SOCPOSnav	-0.7575454575943309	0.8754114661636312	NA	NA	bound	302	all	3_3	1	selection	5000	5000	nav	4_4	236	herroepen	0.22890838955727263	BOW
herroepen.BOWbound3all.PPMIselection.LENGTH5000.SOCPOSall	-0.8333823050207159	0.8509468092458419	NA	NA	bound	302	all	3_3	1	selection	5000	5000	all	4_4	236	herroepen	0.23913076624549728	BOW
herroepen.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSnav	-0.681125968136395	0.46284079105059966	NA	NA	bound	302	all	3_3	1	selection	FOC	155	nav	4_4	236	herroepen	0.22455647960260952	BOW
herroepen.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSall	-0.6311327147480772	0.4147106526643112	NA	NA	bound	302	all	3_3	1	selection	FOC	302	all	4_4	236	herroepen	0.20846325306227484	BOW
herroepen.BOWbound3all.PPMIno.LENGTH5000.SOCPOSnav	-0.6654345097661218	1.179698877506157	NA	NA	bound	363	all	3_3	1	no	5000	5000	nav	4_4	236	herroepen	0.206210078120619	BOW
herroepen.BOWbound3all.PPMIno.LENGTH5000.SOCPOSall	-0.7904097080652076	1.238934689481068	NA	NA	bound	363	all	3_3	1	no	5000	5000	all	4_4	236	herroepen	0.23838637124277362	BOW
herroepen.BOWbound3all.PPMIno.LENGTHFOC.SOCPOSnav	-0.66742591931544	0.5939298851728763	NA	NA	bound	363	all	3_3	1	no	FOC	175	nav	4_4	236	herroepen	0.22171866075974525	BOW
herroepen.BOWbound3all.PPMIno.LENGTHFOC.SOCPOSall	-0.6402890389128353	0.5483324795960588	NA	NA	bound	363	all	3_3	1	no	FOC	363	all	4_4	236	herroepen	0.2144203218556847	BOW
herroepen.BOWnobound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.10806616570036542	-0.7718484132823442	NA	NA	nobound	451	lex	10_10	1	weight	5000	5000	nav	4_4	235	herroepen	0.17853470566847052	BOW
herroepen.BOWnobound10lex.PPMIweight.LENGTH5000.SOCPOSall	-0.2692464197849146	-1.024533734101668	NA	NA	nobound	451	lex	10_10	1	weight	5000	5000	all	4_4	235	herroepen	0.21770243337747777	BOW
herroepen.BOWnobound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.07021792460419822	-0.8140628691211731	NA	NA	nobound	451	lex	10_10	1	weight	FOC	340	nav	4_4	235	herroepen	0.18426576303487063	BOW
herroepen.BOWnobound10lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.09737703086897864	-0.8071585364444192	NA	NA	nobound	451	lex	10_10	1	weight	FOC	451	all	4_4	235	herroepen	0.17707675781376922	BOW
herroepen.BOWnobound10lex.PPMIselection.LENGTH5000.SOCPOSnav	0.004481375332240463	-1.1057471945371804	NA	NA	nobound	451	lex	10_10	1	selection	5000	5000	nav	4_4	235	herroepen	0.23136913885534052	BOW
herroepen.BOWnobound10lex.PPMIselection.LENGTH5000.SOCPOSall	-0.14765976569083894	-1.2760714499504031	NA	NA	nobound	451	lex	10_10	1	selection	5000	5000	all	4_4	235	herroepen	0.25842945243450066	BOW
herroepen.BOWnobound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	0.10508636141642526	-0.9437262946199898	NA	NA	nobound	451	lex	10_10	1	selection	FOC	340	nav	4_4	235	herroepen	0.22204730578682735	BOW
herroepen.BOWnobound10lex.PPMIselection.LENGTHFOC.SOCPOSall	0.0773433045338108	-0.9136238949545462	NA	NA	nobound	451	lex	10_10	1	selection	FOC	451	all	4_4	235	herroepen	0.21703981673245593	BOW
herroepen.BOWnobound10lex.PPMIno.LENGTH5000.SOCPOSnav	0.20855312808746376	-1.619014980265783	NA	NA	nobound	999	lex	10_10	1	no	5000	5000	nav	4_4	236	herroepen	0.23423524441689275	BOW
herroepen.BOWnobound10lex.PPMIno.LENGTH5000.SOCPOSall	0.24222192835018083	-1.8804664798374762	NA	NA	nobound	999	lex	10_10	1	no	5000	5000	all	4_4	236	herroepen	0.22292168934543116	BOW
herroepen.BOWnobound10lex.PPMIno.LENGTHFOC.SOCPOSnav	0.33707098737158614	-1.4206230940125513	NA	NA	nobound	999	lex	10_10	1	no	FOC	732	nav	4_4	236	herroepen	0.22164513725113438	BOW
herroepen.BOWnobound10lex.PPMIno.LENGTHFOC.SOCPOSall	0.3256408573740204	-1.357659508755662	NA	NA	nobound	999	lex	10_10	1	no	FOC	999	all	4_4	236	herroepen	0.21656507630506097	BOW
herroepen.BOWnobound10all.PPMIweight.LENGTH5000.SOCPOSnav	0.22108947511951285	-0.7496885358085745	NA	NA	nobound	608	all	10_10	1	weight	5000	5000	nav	4_4	236	herroepen	0.18131386520366824	BOW
herroepen.BOWnobound10all.PPMIweight.LENGTH5000.SOCPOSall	0.08301411430556509	-1.0706119420212457	NA	NA	nobound	608	all	10_10	1	weight	5000	5000	all	4_4	236	herroepen	0.23734112972043334	BOW
herroepen.BOWnobound10all.PPMIweight.LENGTHFOC.SOCPOSnav	0.17193296374976305	-0.7434624282161465	NA	NA	nobound	608	all	10_10	1	weight	FOC	340	nav	4_4	236	herroepen	0.17037062725964028	BOW
herroepen.BOWnobound10all.PPMIweight.LENGTHFOC.SOCPOSall	0.16221669501393346	-0.7344205376871831	NA	NA	nobound	608	all	10_10	1	weight	FOC	608	all	4_4	236	herroepen	0.1682762191656563	BOW
herroepen.BOWnobound10all.PPMIselection.LENGTH5000.SOCPOSnav	1.2978602390783534	-0.8282850871265806	NA	NA	nobound	608	all	10_10	1	selection	5000	5000	nav	4_4	236	herroepen	0.2253929400368923	BOW
herroepen.BOWnobound10all.PPMIselection.LENGTH5000.SOCPOSall	1.2512535571534518	-0.9627401050895733	NA	NA	nobound	608	all	10_10	1	selection	5000	5000	all	4_4	236	herroepen	0.2805110766641987	BOW
herroepen.BOWnobound10all.PPMIselection.LENGTHFOC.SOCPOSnav	0.8423486398306448	-0.7815151180291261	NA	NA	nobound	608	all	10_10	1	selection	FOC	340	nav	4_4	236	herroepen	0.2235170300228595	BOW
herroepen.BOWnobound10all.PPMIselection.LENGTHFOC.SOCPOSall	0.7989706153002539	-0.7312345505801434	NA	NA	nobound	608	all	10_10	1	selection	FOC	608	all	4_4	236	herroepen	0.2324352482273884	BOW
herroepen.BOWnobound10all.PPMIno.LENGTH5000.SOCPOSnav	2.0188403999026465	-0.645982856007579	NA	NA	nobound	1372	all	10_10	1	no	5000	5000	nav	4_4	236	herroepen	0.23963226746543137	BOW
herroepen.BOWnobound10all.PPMIno.LENGTH5000.SOCPOSall	2.5184218936564378	-0.6946481332640905	NA	NA	nobound	1372	all	10_10	1	no	5000	5000	all	4_4	236	herroepen	0.2031288951735895	BOW
herroepen.BOWnobound10all.PPMIno.LENGTHFOC.SOCPOSnav	1.5314901969248234	-0.9634907877672299	NA	NA	nobound	1372	all	10_10	1	no	FOC	732	nav	4_4	236	herroepen	0.22589621385288364	BOW
herroepen.BOWnobound10all.PPMIno.LENGTHFOC.SOCPOSall	1.5296654648987835	-0.9253509446642337	NA	NA	nobound	1372	all	10_10	1	no	FOC	1372	all	4_4	236	herroepen	0.22436874389993375	BOW
herroepen.BOWnobound5lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.45572321953858963	-0.4916649095725333	NA	NA	nobound	384	lex	5_5	1	weight	5000	5000	nav	4_4	234	herroepen	0.18630119324782232	BOW
herroepen.BOWnobound5lex.PPMIweight.LENGTH5000.SOCPOSall	-0.725559470026529	-0.6819854827497611	NA	NA	nobound	384	lex	5_5	1	weight	5000	5000	all	4_4	234	herroepen	0.2179257143877144	BOW
herroepen.BOWnobound5lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.4401051582753493	-0.5607149767652492	NA	NA	nobound	384	lex	5_5	1	weight	FOC	282	nav	4_4	234	herroepen	0.19270006285588678	BOW
herroepen.BOWnobound5lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.4468969056685599	-0.5459291621308843	NA	NA	nobound	384	lex	5_5	1	weight	FOC	384	all	4_4	234	herroepen	0.18214562313380545	BOW
