_model	model.x	model.y	foc_minimum_features	soc_length	soc_length_num	tokens	type	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_ppmi	soc_soc_pos	soc_soc_win	stress	foc_base
spoor.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.995328174532858	-0.11423151828413594	1	5000	5000	348	spoor	NA	NA	bound	433	lex	10_10	weight	nav	4_4	0.22365813852989358	BOW
spoor.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSall	-1.2769803595566185	-0.6612558324789823	1	5000	5000	348	spoor	NA	NA	bound	433	lex	10_10	weight	all	4_4	0.23191203320074497	BOW
spoor.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-1.060024157771388	-0.031838990732575526	1	FOC	311	348	spoor	NA	NA	bound	433	lex	10_10	weight	nav	4_4	0.2475840633904348	BOW
spoor.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSall	-1.0215814085874744	-0.05093242955404079	1	FOC	433	348	spoor	NA	NA	bound	433	lex	10_10	weight	all	4_4	0.243006950220295	BOW
spoor.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSnav	-1.1728631192765566	-0.004508371029807776	1	5000	5000	348	spoor	NA	NA	bound	433	lex	10_10	selection	nav	4_4	0.2516473666300262	BOW
spoor.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSall	-1.4417448211754194	-0.4725660990691645	1	5000	5000	348	spoor	NA	NA	bound	433	lex	10_10	selection	all	4_4	0.22571171555508926	BOW
spoor.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	-1.1474361146968035	-0.05367645994626362	1	FOC	311	348	spoor	NA	NA	bound	433	lex	10_10	selection	nav	4_4	0.2594244708685758	BOW
spoor.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	-1.126858964689429	-0.07127046439552542	1	FOC	433	348	spoor	NA	NA	bound	433	lex	10_10	selection	all	4_4	0.25194563182172963	BOW
spoor.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSnav	-1.8541173047007464	-0.41026608852458535	1	5000	5000	357	spoor	NA	NA	bound	981	lex	10_10	no	nav	4_4	0.21762882751828486	BOW
spoor.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSall	-1.9651007939452545	-1.084830257832768	1	5000	5000	357	spoor	NA	NA	bound	981	lex	10_10	no	all	4_4	0.20430361899716207	BOW
spoor.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSnav	-1.7355273314192645	-0.3402455749057929	1	FOC	732	357	spoor	NA	NA	bound	981	lex	10_10	no	nav	4_4	0.2182553366459062	BOW
