_model	model.x	model.y	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_vector	soc_length_num	soc_soc_win	tokens	type	stress	foc_base	pam_cluster	is_medoid
haken.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.151386719778349	0.007765153758363489	NA	NA	bound	375	lex	10_10	1	weight	nav_5000	5000	4_4	246	haken	0.26271532772916356	BOW	c1	0
haken.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSall	-0.23500762494265492	-0.03983960205096698	NA	NA	bound	375	lex	10_10	1	weight	all_5000	5000	4_4	246	haken	0.27884811950955735	BOW	c2	0
haken.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.1601358399969802	0.04638877451214098	NA	NA	bound	375	lex	10_10	1	weight	nav_FOC	258	4_4	246	haken	0.2611801292217827	BOW	c1	0
haken.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.1555239151657525	0.048933877702713	NA	NA	bound	375	lex	10_10	1	weight	all_FOC	375	4_4	246	haken	0.2606750467071776	BOW	c1	0
haken.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.16974720496221266	0.009397639578035737	NA	NA	bound	375	lex	10_10	1	selection	nav_5000	5000	4_4	246	haken	0.25188118418801575	BOW	c1	0
haken.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSall	-0.2547153847058667	-0.036099966126770175	NA	NA	bound	375	lex	10_10	1	selection	all_5000	5000	4_4	246	haken	0.2670118510564471	BOW	c2	0
haken.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.15672729828905885	0.06396033431665386	NA	NA	bound	375	lex	10_10	1	selection	nav_FOC	258	4_4	246	haken	0.2581059942410469	BOW	c1	0
haken.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.15557763065476124	0.06867908151685428	NA	NA	bound	375	lex	10_10	1	selection	all_FOC	375	4_4	246	haken	0.25584899526518684	BOW	c1	0
haken.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSnav	-0.18005867962831934	0.12776871599755518	NA	NA	bound	722	lex	10_10	1	no	nav_5000	5000	4_4	249	haken	0.24950590775180304	BOW	c3	0
haken.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSall	-0.2377367698696232	0.16352973589246766	NA	NA	bound	722	lex	10_10	1	no	all_5000	5000	4_4	249	haken	0.2651942410196258	BOW	c3	0
