_model	model.x	model.y	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress	foc_base
harden.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.032753983465808545	-0.3840776143922154	NA	NA	bound	259	lex	5_5	1	weight	5000	5000	nav	4_4	276	harden	0.1971379786979736	BOW
harden.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSall	-0.030046565237931665	-0.7049914094745751	NA	NA	bound	259	lex	5_5	1	weight	5000	5000	all	4_4	276	harden	0.21645895755660316	BOW
harden.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.2523656467204882	-0.4634617691463755	NA	NA	bound	259	lex	5_5	1	weight	FOC	174	nav	4_4	276	harden	0.16859238127453474	BOW
harden.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.11124543627129127	-0.3790835766502956	NA	NA	bound	259	lex	5_5	1	weight	FOC	259	all	4_4	276	harden	0.19440481177622815	BOW
harden.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSnav	0.03663829833925309	-0.36673928311243614	NA	NA	bound	259	lex	5_5	1	selection	5000	5000	nav	4_4	276	harden	0.19770589476052552	BOW
harden.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSall	0.03382005836036781	-0.853858300400303	NA	NA	bound	259	lex	5_5	1	selection	5000	5000	all	4_4	276	harden	0.22754436586723462	BOW
harden.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.1969300848929957	-0.38425862880426165	NA	NA	bound	259	lex	5_5	1	selection	FOC	174	nav	4_4	276	harden	0.18324523459342454	BOW
harden.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.04091581459442894	-0.31311564719305374	NA	NA	bound	259	lex	5_5	1	selection	FOC	259	all	4_4	276	harden	0.17601294030688416	BOW
harden.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSnav	-0.018139943484097077	-0.43153770196816715	NA	NA	bound	365	lex	5_5	1	no	5000	5000	nav	4_4	279	harden	0.19564331044738803	BOW
harden.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSall	-0.16822533084634395	-1.107550139457183	NA	NA	bound	365	lex	5_5	1	no	5000	5000	all	4_4	279	harden	0.2045707401859838	BOW
harden.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.3500003642844258	-0.41623505077129014	NA	NA	bound	365	lex	5_5	1	no	FOC	254	nav	4_4	279	harden	0.19829660677026847	BOW
harden.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSall	-0.14124822841177992	-0.3429227922771642	NA	NA	bound	365	lex	5_5	1	no	FOC	365	all	4_4	279	harden	0.1893737283814913	BOW
harden.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSnav	-0.025982837848020954	-0.2220957697261445	NA	NA	bound	340	all	5_5	1	weight	5000	5000	nav	4_4	279	harden	0.1592250562450135	BOW
harden.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSall	-0.019655259725387404	-0.6094658477293102	NA	NA	bound	340	all	5_5	1	weight	5000	5000	all	4_4	279	harden	0.1904378341051529	BOW
harden.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.2274812619276738	-0.2516485612556462	NA	NA	bound	340	all	5_5	1	weight	FOC	174	nav	4_4	279	harden	0.16072145187215334	BOW
harden.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSall	-0.11304969400017852	-0.2110122677169127	NA	NA	bound	340	all	5_5	1	weight	FOC	340	all	4_4	279	harden	0.1873608819493917	BOW
harden.BOWbound5all.PPMIselection.LENGTH5000.SOCPOSnav	0.046996780513844615	-0.14310599933466836	NA	NA	bound	340	all	5_5	1	selection	5000	5000	nav	4_4	279	harden	0.15604287594578692	BOW
harden.BOWbound5all.PPMIselection.LENGTH5000.SOCPOSall	0.019395328314354327	-0.8432999980090283	NA	NA	bound	340	all	5_5	1	selection	5000	5000	all	4_4	279	harden	0.2007203657539471	BOW
harden.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSnav	-0.17963736592390422	-0.15419670289434856	NA	NA	bound	340	all	5_5	1	selection	FOC	174	nav	4_4	279	harden	0.1608063556948709	BOW
harden.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSall	-0.07028520835636409	-0.15361306594543642	NA	NA	bound	340	all	5_5	1	selection	FOC	340	all	4_4	279	harden	0.16337675619436726	BOW
harden.BOWbound5all.PPMIno.LENGTH5000.SOCPOSnav	-0.3731671884287918	0.37451058242410584	NA	NA	bound	504	all	5_5	1	no	5000	5000	nav	4_4	279	harden	0.15327112448626612	BOW
harden.BOWbound5all.PPMIno.LENGTH5000.SOCPOSall	-0.959209158397969	1.6289498774672502	NA	NA	bound	504	all	5_5	1	no	5000	5000	all	4_4	279	harden	0.20330767029862157	BOW
harden.BOWbound5all.PPMIno.LENGTHFOC.SOCPOSnav	-0.5148864971025714	0.09140509853904992	NA	NA	bound	504	all	5_5	1	no	FOC	254	nav	4_4	279	harden	0.16307926363590325	BOW
harden.BOWbound5all.PPMIno.LENGTHFOC.SOCPOSall	-0.24231851572087434	-0.044738448839577914	NA	NA	bound	504	all	5_5	1	no	FOC	504	all	4_4	279	harden	0.1494957480541804	BOW
harden.BOWbound3lex.PPMIweight.LENGTH5000.SOCPOSnav	0.7463421655779464	-0.2765419064276168	NA	NA	bound	176	lex	3_3	1	weight	5000	5000	nav	4_4	271	harden	0.17240123526778234	BOW
harden.BOWbound3lex.PPMIweight.LENGTH5000.SOCPOSall	0.8847318213518925	-0.4222515824150183	NA	NA	bound	176	lex	3_3	1	weight	5000	5000	all	4_4	271	harden	0.17682730543430253	BOW
harden.BOWbound3lex.PPMIweight.LENGTHFOC.SOCPOSnav	0.8133829024276844	-0.3228899049306076	NA	NA	bound	176	lex	3_3	1	weight	FOC	116	nav	4_4	271	harden	0.1664549321375902	BOW
harden.BOWbound3lex.PPMIweight.LENGTHFOC.SOCPOSall	0.7643779830277994	-0.24536234125750248	NA	NA	bound	176	lex	3_3	1	weight	FOC	176	all	4_4	271	harden	0.15527630256378022	BOW
harden.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSnav	0.7247659395711452	-0.23260778695938966	NA	NA	bound	176	lex	3_3	1	selection	5000	5000	nav	4_4	271	harden	0.14091747525962725	BOW
harden.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSall	1.0798205565782497	-0.36817427147092463	NA	NA	bound	176	lex	3_3	1	selection	5000	5000	all	4_4	271	harden	0.18098323208317812	BOW
harden.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSnav	0.8864591242810768	-0.24214330804333384	NA	NA	bound	176	lex	3_3	1	selection	FOC	116	nav	4_4	271	harden	0.1839456930286175	BOW
harden.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSall	0.7876462402873841	-0.18494653349743082	NA	NA	bound	176	lex	3_3	1	selection	FOC	176	all	4_4	271	harden	0.1529865255616175	BOW
harden.BOWbound3lex.PPMIno.LENGTH5000.SOCPOSnav	0.8592654798606403	-0.25700868158087753	NA	NA	bound	204	lex	3_3	1	no	5000	5000	nav	4_4	275	harden	0.14366207064599798	BOW
harden.BOWbound3lex.PPMIno.LENGTH5000.SOCPOSall	1.2749699341664988	-0.34903888245165243	NA	NA	bound	204	lex	3_3	1	no	5000	5000	all	4_4	275	harden	0.18162056147962916	BOW
harden.BOWbound3lex.PPMIno.LENGTHFOC.SOCPOSnav	0.9727499301762078	-0.2487584705655683	NA	NA	bound	204	lex	3_3	1	no	FOC	139	nav	4_4	275	harden	0.19272677052061768	BOW
harden.BOWbound3lex.PPMIno.LENGTHFOC.SOCPOSall	0.8972783440334816	-0.2100156651585221	NA	NA	bound	204	lex	3_3	1	no	FOC	204	all	4_4	275	harden	0.14988044513687984	BOW
harden.BOWbound3all.PPMIweight.LENGTH5000.SOCPOSnav	0.849782414194833	-0.07395532522957507	NA	NA	bound	232	all	3_3	1	weight	5000	5000	nav	4_4	279	harden	0.1642910689995315	BOW
harden.BOWbound3all.PPMIweight.LENGTH5000.SOCPOSall	1.0172135045147552	-0.07916044403903029	NA	NA	bound	232	all	3_3	1	weight	5000	5000	all	4_4	279	harden	0.1626771333257253	BOW
harden.BOWbound3all.PPMIweight.LENGTHFOC.SOCPOSnav	0.9216128733345894	-0.0664615757207227	NA	NA	bound	232	all	3_3	1	weight	FOC	116	nav	4_4	279	harden	0.1968085332192508	BOW
harden.BOWbound3all.PPMIweight.LENGTHFOC.SOCPOSall	0.8288860842665791	-0.061496142146265156	NA	NA	bound	232	all	3_3	1	weight	FOC	232	all	4_4	279	harden	0.190927420132519	BOW
harden.BOWbound3all.PPMIselection.LENGTH5000.SOCPOSnav	0.7875495372088639	-0.0057074182764216	NA	NA	bound	232	all	3_3	1	selection	5000	5000	nav	4_4	279	harden	0.14173205769561162	BOW
harden.BOWbound3all.PPMIselection.LENGTH5000.SOCPOSall	1.116051101446038	0.011439691430564282	NA	NA	bound	232	all	3_3	1	selection	5000	5000	all	4_4	279	harden	0.17285515075871288	BOW
harden.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSnav	0.8353059090014122	-4.892692584799131e-4	NA	NA	bound	232	all	3_3	1	selection	FOC	116	nav	4_4	279	harden	0.17010993229383925	BOW
harden.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSall	0.7995910259470586	-0.008155089697327684	NA	NA	bound	232	all	3_3	1	selection	FOC	232	all	4_4	279	harden	0.16162082571008335	BOW
harden.BOWbound3all.PPMIno.LENGTH5000.SOCPOSnav	0.9728202173316628	0.19519809785967684	NA	NA	bound	295	all	3_3	1	no	5000	5000	nav	4_4	279	harden	0.12963392095102608	BOW
harden.BOWbound3all.PPMIno.LENGTH5000.SOCPOSall	1.532388135450596	0.4861804966157467	NA	NA	bound	295	all	3_3	1	no	5000	5000	all	4_4	279	harden	0.17055179773944765	BOW
harden.BOWbound3all.PPMIno.LENGTHFOC.SOCPOSnav	0.9733709192271952	0.1253151297905078	NA	NA	bound	295	all	3_3	1	no	FOC	139	nav	4_4	279	harden	0.15148312495578378	BOW
harden.BOWbound3all.PPMIno.LENGTHFOC.SOCPOSall	0.8851441041462439	0.09953455406687749	NA	NA	bound	295	all	3_3	1	no	FOC	295	all	4_4	279	harden	0.14486286610459004	BOW
harden.BOWnobound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.6234196089586306	-0.4741827942699388	NA	NA	nobound	431	lex	10_10	1	weight	5000	5000	nav	4_4	279	harden	0.1679999705937967	BOW
harden.BOWnobound10lex.PPMIweight.LENGTH5000.SOCPOSall	-0.7393242263510528	-0.8175842856334716	NA	NA	nobound	431	lex	10_10	1	weight	5000	5000	all	4_4	279	harden	0.17441008115113574	BOW
harden.BOWnobound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.8507989174726002	-0.47457403305492013	NA	NA	nobound	431	lex	10_10	1	weight	FOC	295	nav	4_4	279	harden	0.14620904738923735	BOW
harden.BOWnobound10lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.744812941242193	-0.4460742741962347	NA	NA	nobound	431	lex	10_10	1	weight	FOC	431	all	4_4	279	harden	0.1692494918906349	BOW
harden.BOWnobound10lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.732208799165801	-0.5036426781586569	NA	NA	nobound	431	lex	10_10	1	selection	5000	5000	nav	4_4	279	harden	0.20083146293580498	BOW
harden.BOWnobound10lex.PPMIselection.LENGTH5000.SOCPOSall	-1.0404333154937133	-1.1108626044456236	NA	NA	nobound	431	lex	10_10	1	selection	5000	5000	all	4_4	279	harden	0.2161703167032915	BOW
