_model	model.x	model.y	foc_length	foc_part_of_speech	foc_sent_bound	foc_weighting	foc_window	soc_length	soc_length_num	soc_window	tokens	type	stress
church.foc5.all.selection.nobound.soc4.foc	0.026380242971513996	0.2068504832273901	524	all	nobound	selection	5_5	foc	524	4_4	296	church	0.22938179656191457
church.foc5.all.noweight.nobound.soc4.5000	0.4210995607968609	0.06060500996297708	970	all	nobound	noweight	5_5	5000	5e3	4_4	300	church	0.24240337462434566
church.foc5.all.noweight.nobound.soc4.10000	0.382418603556391	0.07508930879947508	970	all	nobound	noweight	5_5	10000	1e4	4_4	300	church	0.24328259012188413
church.foc5.all.noweight.nobound.soc4.foc	0.4235305023754175	0.17503832852137968	970	all	nobound	noweight	5_5	foc	970	4_4	300	church	0.23526032435478716
church.foc10.nav.weight.bound.soc4.5000	-0.2217337082680799	-0.10923449943952367	685	nav	bound	weight	10_10	5000	5e3	4_4	294	church	0.216321445533435
church.foc10.nav.weight.bound.soc4.10000	-0.35979296959481005	-0.03431680563485828	685	nav	bound	weight	10_10	10000	1e4	4_4	294	church	0.2095480683270961
church.foc10.nav.weight.bound.soc4.foc	-0.2382852988891319	-0.0963256233689664	685	nav	bound	weight	10_10	foc	685	4_4	294	church	0.21615476376908996
church.foc10.nav.selection.bound.soc4.5000	-0.27906790274836296	-0.14987479342795662	685	nav	bound	selection	10_10	5000	5e3	4_4	294	church	0.21028645010475527
church.foc10.nav.selection.bound.soc4.10000	-0.30072936360022695	-0.22482261188312186	685	nav	bound	selection	10_10	10000	1e4	4_4	294	church	0.2012727922770543
church.foc10.nav.selection.bound.soc4.foc	-0.2092690058746881	-0.10073221682988585	685	nav	bound	selection	10_10	foc	685	4_4	294	church	0.20390607702977306
church.foc10.nav.noweight.bound.soc4.5000	0.12270504403045897	-0.12493611288009392	1349	nav	bound	noweight	10_10	5000	5e3	4_4	300	church	0.24177639465481332
church.foc10.nav.noweight.bound.soc4.10000	0.1126612893476201	-0.13843288360472852	1349	nav	bound	noweight	10_10	10000	1e4	4_4	300	church	0.23823280947436393
church.foc10.nav.noweight.bound.soc4.foc	0.08941879475232625	-0.10574784794889841	1349	nav	bound	noweight	10_10	foc	1349	4_4	300	church	0.22075319376271613
church.foc10.all.weight.bound.soc4.5000	-0.059624262173577344	-0.12739733200497527	764	all	bound	weight	10_10	5000	5e3	4_4	300	church	0.21655046520694254
church.foc10.all.weight.bound.soc4.10000	-0.07147850621697842	-0.1591597193148251	764	all	bound	weight	10_10	10000	1e4	4_4	300	church	0.21660668767019242
church.foc10.all.weight.bound.soc4.foc	-0.1458992148387397	-0.22394830139099736	764	all	bound	weight	10_10	foc	764	4_4	300	church	0.22049538091093307
church.foc10.all.selection.bound.soc4.5000	-0.033208613992524984	-0.12365699382832418	764	all	bound	selection	10_10	5000	5e3	4_4	300	church	0.21702680364107918
church.foc10.all.selection.bound.soc4.10000	-0.03291005524259852	-0.220464350070654	764	all	bound	selection	10_10	10000	1e4	4_4	300	church	0.21763453016525455
church.foc10.all.selection.bound.soc4.foc	-0.009099482570039792	-0.2648017283241346	764	all	bound	selection	10_10	foc	764	4_4	300	church	0.21326287701020383
church.foc10.all.noweight.bound.soc4.5000	0.38901951582982125	-0.1301297675330219	1587	all	bound	noweight	10_10	5000	5e3	4_4	300	church	0.23029893855259911
church.foc10.all.noweight.bound.soc4.10000	0.3651536164085221	-0.13979928717742518	1587	all	bound	noweight	10_10	10000	1e4	4_4	300	church	0.23055183944101873
church.foc10.all.noweight.bound.soc4.foc	0.3456207774659087	-0.2525961946341593	1587	all	bound	noweight	10_10	foc	1587	4_4	300	church	0.23057589643751497
church.foc5.nav.weight.bound.soc4.5000	-0.13071414905853762	0.21122839969282675	454	nav	bound	weight	5_5	5000	5e3	4_4	281	church	0.23731642719657434
church.foc5.nav.weight.bound.soc4.10000	-0.1316247759964315	0.2590556460486851	454	nav	bound	weight	5_5	10000	1e4	4_4	281	church	0.2283340539828897
church.foc5.nav.weight.bound.soc4.foc	-0.19114711661707867	0.12751127704848586	454	nav	bound	weight	5_5	foc	454	4_4	281	church	0.24072808819508568
church.foc5.nav.selection.bound.soc4.5000	-0.18241887535881196	0.23113408807793187	454	nav	bound	selection	5_5	5000	5e3	4_4	281	church	0.24001754598731184
church.foc5.nav.selection.bound.soc4.10000	-0.20244951180355092	0.29148804586426585	454	nav	bound	selection	5_5	10000	1e4	4_4	281	church	0.23196132084388535
church.foc5.nav.selection.bound.soc4.foc	-0.27803721152914723	0.22482975762267834	454	nav	bound	selection	5_5	foc	454	4_4	281	church	0.23801647235156667
church.foc5.nav.noweight.bound.soc4.5000	0.35417070880882634	0.07619340752417086	772	nav	bound	noweight	5_5	5000	5e3	4_4	299	church	0.25312204672337235
church.foc5.nav.noweight.bound.soc4.10000	0.3313988704551175	0.07713279301517423	772	nav	bound	noweight	5_5	10000	1e4	4_4	299	church	0.25042148476078846
church.foc5.nav.noweight.bound.soc4.foc	0.21020444700090585	0.0763465104356589	772	nav	bound	noweight	5_5	foc	772	4_4	299	church	0.24092494038631082
church.foc5.all.weight.bound.soc4.5000	-0.016207322056910892	0.12774702777474314	511	all	bound	weight	5_5	5000	5e3	4_4	296	church	0.23324131432315415
church.foc5.all.weight.bound.soc4.10000	0.013917986738823778	0.15631455364147623	511	all	bound	weight	5_5	10000	1e4	4_4	296	church	0.23199570014583362
church.foc5.all.weight.bound.soc4.foc	-0.007723129383385744	0.2385245188127408	511	all	bound	weight	5_5	foc	511	4_4	296	church	0.23927231504669358
church.foc5.all.selection.bound.soc4.5000	-0.028451210721042064	0.2819334495634858	511	all	bound	selection	5_5	5000	5e3	4_4	296	church	0.23247933765334106
church.foc5.all.selection.bound.soc4.10000	-0.02758834193892589	0.32028326632036336	511	all	bound	selection	5_5	10000	1e4	4_4	296	church	0.23191448305257126
church.foc5.all.selection.bound.soc4.foc	0.016485036007694222	0.2795366153111158	511	all	bound	selection	5_5	foc	511	4_4	296	church	0.23071811050043065
