_model	model.x	model.y	LEMMAPATH	LEMMAREL	base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type
goedkoop.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSall	0.11967745635321479	-0.1799979957645101	NA	NA	BOW	bound	445	lex	5_5	1	selection	5000	5000	all	4_4	296	goedkoop
goedkoop.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.08072612095217001	0.022574616124690437	NA	NA	BOW	bound	445	lex	5_5	1	selection	FOC	334	nav	4_4	296	goedkoop
goedkoop.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.08457269853692401	0.018272506931101207	NA	NA	BOW	bound	445	lex	5_5	1	selection	FOC	445	all	4_4	296	goedkoop
goedkoop.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSnav	-0.2082365985368801	0.04464792334689015	NA	NA	BOW	bound	662	lex	5_5	1	no	5000	5000	nav	4_4	303	goedkoop
goedkoop.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSall	0.2625374110959389	-0.1757966532660872	NA	NA	BOW	bound	662	lex	5_5	1	no	5000	5000	all	4_4	303	goedkoop
goedkoop.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.08345512687262414	0.05187953697431407	NA	NA	BOW	bound	662	lex	5_5	1	no	FOC	509	nav	4_4	303	goedkoop
goedkoop.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSall	-0.0883161232992025	0.0479365875032113	NA	NA	BOW	bound	662	lex	5_5	1	no	FOC	662	all	4_4	303	goedkoop
goedkoop.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSnav	-0.050236361351490254	-0.031581129599969573	NA	NA	BOW	bound	542	all	5_5	1	weight	5000	5000	nav	4_4	300	goedkoop
goedkoop.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSall	0.18892056977071456	-0.21439473622053842	NA	NA	BOW	bound	542	all	5_5	1	weight	5000	5000	all	4_4	300	goedkoop
goedkoop.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.004181747070804735	0.002191490825472408	NA	NA	BOW	bound	542	all	5_5	1	weight	FOC	334	nav	4_4	300	goedkoop
goedkoop.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSall	4.652004433884358e-4	-0.014576066441143249	NA	NA	BOW	bound	542	all	5_5	1	weight	FOC	542	all	4_4	300	goedkoop
goedkoop.BOWbound5all.PPMIselection.LENGTH5000.SOCPOSnav	-0.2733167076254769	0.028981731845612937	NA	NA	BOW	bound	542	all	5_5	1	selection	5000	5000	nav	4_4	300	goedkoop
goedkoop.BOWbound5all.PPMIselection.LENGTH5000.SOCPOSall	0.25100462689453173	-0.2657702057704045	NA	NA	BOW	bound	542	all	5_5	1	selection	5000	5000	all	4_4	300	goedkoop
goedkoop.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSnav	-0.07860150141425051	0.010681625489978506	NA	NA	BOW	bound	542	all	5_5	1	selection	FOC	334	nav	4_4	300	goedkoop
goedkoop.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSall	-0.07168131625826404	-0.002890113432740845	NA	NA	BOW	bound	542	all	5_5	1	selection	FOC	542	all	4_4	300	goedkoop
