_model	model.x	model.y	minimum_contextwords	foc_part_of_speech	foc_sent_bound	soc_corpus	soc_length	soc_length_num	soc_window	foc_token_window	tokens	type	foc_weighting	stress
church_nocomp.5_5.none.noweight.nobound.COHA.5_5.focc.3	-0.2636735757612612	-0.06605303279739445	3	none	False	COHA	focc	27085	5_5	5_5	249	church_nocomp	noweight	0.23910130363121296
church_nocomp.5_5.none.noweight.nobound.COHA.10_10.5000.3	-0.12975169777720597	-0.039729776584164975	3	none	False	COHA	5000	5000	10_10	5_5	249	church_nocomp	noweight	0.2087420780232833
church_nocomp.5_5.none.noweight.nobound.COHA.10_10.10000.3	-0.13238864379849605	-0.043168514885443446	3	none	False	COHA	10000	10000	10_10	5_5	249	church_nocomp	noweight	0.21801610390211285
church_nocomp.5_5.none.noweight.nobound.COHA.10_10.focc.3	-0.19370060375854445	-0.06403980702295155	3	none	False	COHA	focc	27085	10_10	5_5	249	church_nocomp	noweight	0.23252273870707124
church_nocomp.5_5.nvj.ppmi.nobound.Semcor.5_5.5000.2	0.27015176627528037	0.2598162253820172	2	nvj	False	Semcor	5000	5000	5_5	5_5	232	church_nocomp	ppmi	0.2889445198459798
church_nocomp.5_5.nvj.ppmi.nobound.Semcor.5_5.10000.2	0.2783689639441821	0.24727487222921346	2	nvj	False	Semcor	10000	10000	5_5	5_5	232	church_nocomp	ppmi	0.2923700631843847
church_nocomp.5_5.nvj.ppmi.nobound.Semcor.5_5.focc.2	0.30927311884108377	0.30745770083044516	2	nvj	False	Semcor	focc	812	5_5	5_5	232	church_nocomp	ppmi	0.31036011562478466
church_nocomp.5_5.nvj.ppmi.nobound.Semcor.10_10.5000.2	0.23574287198868962	0.19905627247738816	2	nvj	False	Semcor	5000	5000	10_10	5_5	232	church_nocomp	ppmi	0.2873308842723396
church_nocomp.5_5.nvj.ppmi.nobound.Semcor.10_10.10000.2	0.18332381569539552	0.19385830382921965	2	nvj	False	Semcor	10000	10000	10_10	5_5	232	church_nocomp	ppmi	0.293118251834017
church_nocomp.5_5.nvj.ppmi.nobound.Semcor.10_10.focc.2	0.2523626430944663	0.16672605340030164	2	nvj	False	Semcor	focc	812	10_10	5_5	232	church_nocomp	ppmi	0.31151580831330444
church_nocomp.5_5.nvj.noweight.nobound.Semcor.5_5.5000.2	-0.0696884837806323	0.21316100160896395	2	nvj	False	Semcor	5000	5000	5_5	5_5	246	church_nocomp	noweight	0.2537406533925229
church_nocomp.5_5.nvj.noweight.nobound.Semcor.5_5.10000.2	-0.08476930478772708	0.2187740271106771	2	nvj	False	Semcor	10000	10000	5_5	5_5	246	church_nocomp	noweight	0.24672230487275373
church_nocomp.5_5.nvj.noweight.nobound.Semcor.5_5.focc.2	-0.16134810061234986	-0.2175103819830037	2	nvj	False	Semcor	focc	31447	5_5	5_5	246	church_nocomp	noweight	0.24478277569030513
church_nocomp.5_5.nvj.noweight.nobound.Semcor.10_10.5000.2	-0.03886475432799783	0.20665556928990314	2	nvj	False	Semcor	5000	5000	10_10	5_5	246	church_nocomp	noweight	0.25030285202713604
church_nocomp.5_5.nvj.noweight.nobound.Semcor.10_10.10000.2	-0.07917482094283154	0.2022754769390244	2	nvj	False	Semcor	10000	10000	10_10	5_5	246	church_nocomp	noweight	0.24779518577830864
church_nocomp.5_5.nvj.noweight.nobound.Semcor.10_10.focc.2	-0.11283027278971802	-0.19994084089785835	2	nvj	False	Semcor	focc	31447	10_10	5_5	246	church_nocomp	noweight	0.24522706137970826
church_nocomp.5_5.nvjid.ppmi.nobound.Semcor.5_5.5000.2	0.20349580164905606	0.2197396427647132	2	nvjid	False	Semcor	5000	5000	5_5	5_5	247	church_nocomp	ppmi	0.2822377121320605
church_nocomp.5_5.nvjid.ppmi.nobound.Semcor.5_5.10000.2	0.15621823827401038	0.24588618850300464	2	nvjid	False	Semcor	10000	10000	5_5	5_5	247	church_nocomp	ppmi	0.28311520454970907
church_nocomp.5_5.nvjid.ppmi.nobound.Semcor.5_5.focc.2	0.2885292750354012	0.2396743142654196	2	nvjid	False	Semcor	focc	843	5_5	5_5	247	church_nocomp	ppmi	0.294480411110338
church_nocomp.5_5.nvjid.ppmi.nobound.Semcor.10_10.5000.2	0.1157155260103659	0.14668890500540008	2	nvjid	False	Semcor	5000	5000	10_10	5_5	247	church_nocomp	ppmi	0.2811888245508613
