cw	ppmi
a/adj	1.3296678
aalmoes/noun	0.23611382
aalmoezenier/noun	1.1122044
aan/adj	0.4435403
aan/adv	0.27296022
aanbid/verb	1.0398152
aanbidder/noun	1.192258
aanbidding/noun	0.21571155
aanblik/noun	0.4368047
aandachtig/adj	0.21201189
aandachtspunt/noun	0.062637635
aandelenpakket/noun	0.010127917
aandoenlijk/adj	0.106543586
aanduiding/noun	0.83590585
aaneen/part	0.8628124
aaneenschakeling/noun	0.90825784
aangebracht/adj	1.4829236
aangedaan/adj	0.33553025
aangegeven/adj	0.7101279
aangekleed/adj	0.30916953
aangekomen/adj	0.57383007
aangereden/adj	0.5705107
aangericht/adj	0.018909676
aangeschaft/adj	0.05360143
aangeschoten/adj	0.19031161
aangeslagen/adj	0.13405149
aangespannen/adj	0.5116016
aangespoeld/adj	0.7164107
aangesproken/adj	1.5103306
aangetast/adj	0.08390468
aangetrokken/adj	1.1313843
aangevallen/adj	0.056604434
aangevoerd/adj	0.46070343
aangevuld/adj	0.40760538
aangewezen/adj	0.091582924
aangeworven/adj	0.06794671
aangezet/adj	1.9533724
aangifte/noun	0.3422835
aangrijpend/adj	0.4561837
aanhalingsteken/noun	0.71390164
aanhang/noun	0.17459084
aanhanger/noun	0.57692814
aankleding/noun	1.4527444
aanknopingspunt/noun	0.32465813
aanmaak/noun	0.14730121
aanmelding/noun	0.22983551
aanplanting/noun	0.20312877
aanplantingen/noun	0.14801246
aanrecht/noun	1.5628715
aanspreekbaar/adj	0.1720406
aanstekelijk/adj	0.25816664
aansteker/noun	0.13412885
aanstichter/noun	0.90565825
aanstoot/noun	0.28643468
aantocht/noun	0.011303082
aanvaring/noun	0.1210323
aanverwant/adj	0.3403299
aanwas/noun	1.0542431
aanwezigheid/noun	0.21641497
aanwijsbaar/adj	0.4693413
aanwijzing/noun	0.34382415
aanzet/noun	0.7757153
aanzien/noun	0.42991936
aanzien/prep	0.13420977
aap/noun	1.1393017
aardappel/noun	0.76295847
aardbei/noun	1.3443079
aarde/noun	0.70045334
aarden/adj	1.1990907
aardewerk/noun	0.8970993
aardigheid/noun	0.70785296
aardolie/noun	0.2086839
aardoppervlak/noun	0.6337169
aardverschuiving/noun	0.07909282
aartsbisschop/noun	0.51768917
aartsmoeilijke/adj	1.3487699
aarzel/adj	0.4055949
aas/noun	0.6500888
aas/verb	0.81088114
aboriginal/noun	1.6517904
abortus/noun	0.23959021
abrikoos/noun	0.23595025
absorbeer/verb	1.4805928
abstract/adj	0.85025597
abstractie/noun	0.62801194
absurd/adj	0.37762254
absurditeit/noun	0.46769023
abuis/noun	0.5502623
abusievelijk/adj	1.2409489
accent/noun	0.8771208
accentueer/verb	1.7379969
acceptatie/noun	0.10611256
accepteer/verb	0.19557442
accessoire/noun	1.2255862
accordeonist/noun	0.3002053
achteloos/adj	0.10726237
achter/adv	0.036632616
achter/prep	0.23269513
achteraan/prep	0.44323236
achterban/noun	0.35324743
achterblijver/noun	0.3396493
achterbuurt/noun	2.509758
achterdochtig/adj	0.5360303
achteren/adv	1.0377796
achterflap/noun	0.65487653
achtergebleven/adj	0.125756
achtergesteld/adj	1.4092053
achtergrond/noun	1.5185385
achterin/prep	0.21025018
achterkant/noun	1.0490686
achterklep/noun	1.2585287
achterland/noun	0.9748794
achterlijk/adj	0.5220603
achterop/adv	0.6524426
achterop/prep	1.4075105
achterover/adv	1.2636415
achterruit/noun	0.16554086
achterstallig/adj	0.23489675
achterste/noun	0.8673228
achterstelling/noun	2.1832426
achterstevoren/adj	1.805941
achtertuin/noun	0.32873753
achteruitgang/noun	0.124718875
achtervolg/verb	0.050921705
achtervolgd/adj	1.2421784
achtervolging/noun	0.044308502
achterwaarts/adj	0.68307936
achterwerk/noun	0.9616801
achterzak/noun	0.6460877
achterzijde/noun	0.7105978
achttal/noun	0.36551735
achttienjarige/adj	0.024321873
acrobatiek/noun	0.94359523
acrobatische/adj	0.87003267
act/noun	0.46574455
acte/noun	1.0263013
acteur/noun	1.2973464
actie/part	0.6675415
actievoerder/noun	0.45077768
activeer/verb	0.3730239
activisme/noun	1.3808839
activist/noun	2.4213104
activiste/noun	2.1457994
actrice/noun	0.91940904
actueel/adj	0.043648224
adder/noun	1.1731483
adelaar/noun	2.854622
adem/verb	0.35105702
adembenemend/adj	0.73133934
ader/noun	1.2809308
administrateur/noun	0.91868407
adopteer/verb	0.5515696
adoptie/noun	0.7758163
adoratie/noun	0.0837642
adoreer/verb	1.286193
adverteer/verb	0.43469644
advertentie/noun	0.046689447
af/adj	0.008940411
afbeelding/noun	0.804787
afdak/noun	1.6970019
afdaling/noun	0.63950354
afdronk/noun	1.9238714
afdruk/noun	0.8184272
affaire/noun	0.4835954
affectie/noun	0.45597062
affiche/noun	0.28654796
afficheer/verb	0.36593637
affiniteit/noun	0.61821586
afgebakend/adj	0.037445333
afgebeeld/adj	1.2811301
afgedankt/adj	0.09712743
afgedekt/adj	1.518141
afgedrukt/adj	0.8307289
afgehakt/adj	0.9269734
afgekondigd/adj	0.23121825
afgeladen/adj	0.3558823
afgelegen/adj	0.42956483
afgerukt/adj	0.07955898
afgeschaft/adj	0.87312096
afgescheiden/adj	0.20302325
afgeschermd/adj	0.76587546
afgesloten/adj	0.018010484
afgesneden/adj	1.0893548
afgesprongen/adj	0.2305673
afgetekend/adj	0.17426786
afgevaardigde/noun	0.30194223
afgevoerd/adj	0.026707243
afgewerkt/adj	0.73261964
afgewezen/adj	0.016674157
afgewisseld/adj	1.1032094
afgewogen/adj	0.35431612
afgezakt/adj	0.67370236
afgezet/adj	1.4945776
afgezien/adj	0.29889807
afgezwakt/adj	0.93566126
afgifte/noun	0.14144331
afgrijselijk/adj	0.015558268
afgrond/noun	0.7400299
afkeer/noun	0.63733876
afknapper/noun	0.6140694
afkomst/noun	1.1683892
afkomstig/adj	0.7499387
afleiding/noun	0.23491491
afmeting/noun	0.5018573
afpersing/noun	0.8298728
afschaffing/noun	0.68395126
afschrikwekkend/adj	0.6122806
afschuwelijk/adj	0.3651958
afspiegeling/noun	1.4515117
afstammeling/noun	2.3896048
afstamming/noun	0.9556154
afstandelijk/adj	0.40939194
afstandsbediening/noun	0.15734285
afstoting/noun	0.1968176
aftands/adj	1.1574749
aftiteling/noun	0.52603406
aftreksel/noun	1.5720068
afvoer/noun	0.18234798
afwikkeling/noun	0.46206954
afzender/noun	1.1409647
afzetting/noun	0.5726384
afzichtelijk/adj	0.15855314
ageer/verb	0.08381103
agent/noun	0.52205396
agressief/adj	0.10670407
agressor/noun	0.19666034
aids/noun	0.9967213
aimabele/adj	0.8754435
akelig/adj	0.543586
akkefietje/noun	0.50024635
akker/noun	0.75248945
akoestiek/noun	0.12755215
al/prep	0.65491796
alarmeer/verb	0.24709323
album/noun	0.026364168
alcoholisme/noun	1.3715483
alcoholist/noun	0.2750881
alcoholvrij/adj	0.1550775
aldaar/adv	0.4931085
aldus/adv	0.06671691
algauw/adv	0.18518375
alge/noun	1.1467767
alibi/noun	0.14358847
alimentatie/noun	0.3034955
alinea/noun	0.41580185
all/noun	0.19497125
allang/adv	0.12159418
alle/adv	0.298306
alle/det	0.010133663
alle/pron	0.2867523
allebei/adv	0.44491985
allebei/pron	0.1939121
alledag/adv	0.22515926
alledrie/det	1.5682807
alleen/adj	0.076621294
alleen/adv	0.13250344
allemaal/adv	0.26217037
allemaal/pron	0.5539806
alleman/noun	0.24267875
allen/adv	0.59187245
allerbeste/adj	0.26246822
alles/adv	0.31218043
alles/noun	0.13243364
allochtoon/adj	1.6063471
allochtoon/noun	0.81984276
allooi/noun	1.0903792
almaar/adv	0.27556643
alom/adv	0.40352985
als/prep	0.25669736
alsmaar/adv	0.3591515
alt/noun	0.5155958
altaar/noun	1.3250399
alter/noun	0.4493686
althans/adv	0.08180624
altijd/adv	0.10607088
aluminium/adj	1.4675684
aluminium/noun	0.24303558
alwaar/adv	0.4563783
alweer/adv	0.0026656734
amandel/noun	1.2113785
amazone/noun	0.76851857
ambassadrice/noun	0.018514808
ambivalent/adj	0.7103907
amnestie/noun	2.4309723
amok/noun	0.9006381
amoureus/adj	0.85784996
amputeer/verb	0.53081834
amusant/adj	0.7420636
anaal/adj	0.5160285
analfabeet/noun	0.3358013
analfabetisme/noun	0.87420416
anarchie/noun	0.24858285
anarchist/noun	0.50392807
anarchistisch/adj	0.78414154
anatomisch/adj	0.4459325
anciens/noun	0.8771501
and/noun	0.13607804
anderhalf/adj	0.013539707
andermaal/adv	0.378497
andersdenkend/adj	0.0922989
andersglobalisten/noun	0.22618455
andersom/adj	0.39162865
andersom/adv	0.8820794
andersoortig/adj	0.6193351
