_model	model.x	model.y	foc_part_of_speech	foc_sent_bound	foc_weighting	foc_window	soc_length	soc_length_num	soc_window	tokens	type	stress
zwart.foc10.all.noweight.bound.soc10.10000	0.19288886509925104	-0.07232606567619242	all	bound	noweight	10_10	10000	1e4	10_10	298	zwart	0.20819151335056613
zwart.foc10.all.noweight.bound.soc10.foc	0.2942516061634546	0.14516658226368848	all	bound	noweight	10_10	foc	1063	10_10	298	zwart	0.18645393858654105
zwart.foc5.nav.weight.bound.soc4.5000	-0.28304223568689896	-0.1773066729832382	nav	bound	weight	5_5	5000	5e3	4_4	203	zwart	0.24729262693360965
zwart.foc5.nav.weight.bound.soc4.10000	-0.3576659101874846	0.023521711136990635	nav	bound	weight	5_5	10000	1e4	4_4	203	zwart	0.24399873494018814
zwart.foc5.nav.weight.bound.soc4.foc	-0.3185197629792102	0.13738145863797394	nav	bound	weight	5_5	foc	393	4_4	203	zwart	0.25909908437514034
zwart.foc5.nav.weight.bound.soc10.5000	-0.21943604596258612	-0.06077691221855069	nav	bound	weight	5_5	5000	5e3	10_10	203	zwart	0.23310092663900622
zwart.foc5.nav.weight.bound.soc10.10000	-0.3466998249075288	-0.03719432472436979	nav	bound	weight	5_5	10000	1e4	10_10	203	zwart	0.2298159443305935
zwart.foc5.nav.weight.bound.soc10.foc	-0.26650243807468005	0.0936799380254743	nav	bound	weight	5_5	foc	393	10_10	203	zwart	0.23433193955018058
zwart.foc5.nav.selection.bound.soc4.5000	-0.03065200114562103	-0.09917627808270076	nav	bound	selection	5_5	5000	5e3	4_4	203	zwart	0.2539118155797671
zwart.foc5.nav.selection.bound.soc4.10000	-0.028146583161725552	-0.08528468333267769	nav	bound	selection	5_5	10000	1e4	4_4	203	zwart	0.2509120864938764
zwart.foc5.nav.selection.bound.soc4.foc	0.04956146262708784	0.34976607432829315	nav	bound	selection	5_5	foc	393	4_4	203	zwart	0.25909996484088255
zwart.foc5.nav.selection.bound.soc10.5000	-0.05189647657204681	-0.07767973812360011	nav	bound	selection	5_5	5000	5e3	10_10	203	zwart	0.24269155129205158
zwart.foc5.nav.selection.bound.soc10.10000	-0.04982712816933564	-0.0865727413876887	nav	bound	selection	5_5	10000	1e4	10_10	203	zwart	0.24223022998331373
zwart.foc5.nav.selection.bound.soc10.foc	-0.07929764090764455	0.05657937396556256	nav	bound	selection	5_5	foc	393	10_10	203	zwart	0.24056698045636518
zwart.foc5.nav.noweight.bound.soc4.5000	0.0016391279061933974	-0.10451639119133142	nav	bound	noweight	5_5	5000	5e3	4_4	264	zwart	0.24550895189201832
zwart.foc5.nav.noweight.bound.soc4.10000	-0.004119569726772084	-0.11486481797469923	nav	bound	noweight	5_5	10000	1e4	4_4	264	zwart	0.24034209070757676
zwart.foc5.nav.noweight.bound.soc4.foc	0.011772352554489246	0.17723513943639843	nav	bound	noweight	5_5	foc	591	4_4	264	zwart	0.24742714922653927
zwart.foc5.nav.noweight.bound.soc10.5000	-0.021842190724090767	-0.05811873931405939	nav	bound	noweight	5_5	5000	5e3	10_10	264	zwart	0.23373014056034555
zwart.foc5.nav.noweight.bound.soc10.10000	-0.01948284114408143	-0.05535559798564646	nav	bound	noweight	5_5	10000	1e4	10_10	264	zwart	0.23064686871420817
zwart.foc5.nav.noweight.bound.soc10.foc	-0.004748882320257037	0.0572151374805516	nav	bound	noweight	5_5	foc	591	10_10	264	zwart	0.23362691002223812
zwart.foc5.all.weight.bound.soc4.5000	-0.30302935976923284	-0.010579103373192456	all	bound	weight	5_5	5000	5e3	4_4	279	zwart	0.2530268185887274
zwart.foc5.all.weight.bound.soc4.10000	-0.3389240838370848	-0.024752610849232852	all	bound	weight	5_5	10000	1e4	4_4	279	zwart	0.25050131759458627
zwart.foc5.all.weight.bound.soc4.foc	-0.28004392956987234	0.3222617770275352	all	bound	weight	5_5	foc	451	4_4	279	zwart	0.2530477255431863
zwart.foc5.all.weight.bound.soc10.5000	-0.25342212854288965	-0.053776108480195865	all	bound	weight	5_5	5000	5e3	10_10	279	zwart	0.23902506383981692
zwart.foc5.all.weight.bound.soc10.10000	-0.2706195005381092	-0.03580587736714132	all	bound	weight	5_5	10000	1e4	10_10	279	zwart	0.23950213982728225
zwart.foc5.all.weight.bound.soc10.foc	-0.22354339536289755	0.2342494296718759	all	bound	weight	5_5	foc	451	10_10	279	zwart	0.23601664876547043
zwart.foc5.all.selection.bound.soc4.5000	0.3366220360030366	-0.04307161774445691	all	bound	selection	5_5	5000	5e3	4_4	279	zwart	0.24157048507592113
zwart.foc5.all.selection.bound.soc4.10000	0.34926022422399244	-0.05376952481419399	all	bound	selection	5_5	10000	1e4	4_4	279	zwart	0.2384188830106658
zwart.foc5.all.selection.bound.soc4.foc	0.25760457830245737	0.40888035791646504	all	bound	selection	5_5	foc	451	4_4	279	zwart	0.22531974220745432
zwart.foc5.all.selection.bound.soc10.5000	0.12246112616787462	-0.010359381747230941	all	bound	selection	5_5	5000	5e3	10_10	279	zwart	0.24034842441452128
zwart.foc5.all.selection.bound.soc10.10000	0.1335865518506294	-0.01429017206077564	all	bound	selection	5_5	10000	1e4	10_10	279	zwart	0.2371274914893347
zwart.foc5.all.selection.bound.soc10.foc	0.12985352173492049	0.2057533224673393	all	bound	selection	5_5	foc	451	10_10	279	zwart	0.22144035370922904
zwart.foc5.all.noweight.bound.soc4.5000	0.36348748495458777	-0.07511459426626146	all	bound	noweight	5_5	5000	5e3	4_4	295	zwart	0.23357498282670228
zwart.foc5.all.noweight.bound.soc4.10000	0.37700974866324544	-0.07416713267407085	all	bound	noweight	5_5	10000	1e4	4_4	295	zwart	0.23235126747537133
zwart.foc5.all.noweight.bound.soc4.foc	0.3657180245975745	0.32990446970501036	all	bound	noweight	5_5	foc	727	4_4	295	zwart	0.20460057580120558
zwart.foc5.all.noweight.bound.soc10.5000	0.15054818589928687	-0.03027671113927509	all	bound	noweight	5_5	5000	5e3	10_10	295	zwart	0.2251362224088137
zwart.foc5.all.noweight.bound.soc10.10000	0.15308504007151166	-0.028376073888771423	all	bound	noweight	5_5	10000	1e4	10_10	295	zwart	0.22445090340335783
zwart.foc5.all.noweight.bound.soc10.foc	0.2654447913089482	0.2434141088767561	all	bound	noweight	5_5	foc	727	10_10	295	zwart	0.19629282512162602
zwart.foc10.nav.weight.nobound.soc4.5000	-0.2914041803912857	-0.12428917977450382	nav	nobound	weight	10_10	5000	5e3	4_4	272	zwart	0.2386298662737245
zwart.foc10.nav.weight.nobound.soc4.10000	-0.23125195572061338	-0.14438830875095085	nav	nobound	weight	10_10	10000	1e4	4_4	272	zwart	0.24176240641453986
zwart.foc10.nav.weight.nobound.soc4.foc	-0.25190111976857427	0.12180458270950059	nav	nobound	weight	10_10	foc	642	4_4	272	zwart	0.24513476398832434
zwart.foc10.nav.weight.nobound.soc10.5000	-0.2981391066919946	-0.10757599274096669	nav	nobound	weight	10_10	5000	5e3	10_10	272	zwart	0.2278928185046076
zwart.foc10.nav.weight.nobound.soc10.10000	-0.29586444400658396	-0.10116510570515262	nav	nobound	weight	10_10	10000	1e4	10_10	272	zwart	0.22476242382868386
zwart.foc10.nav.weight.nobound.soc10.foc	-0.24667732793348182	0.08677037505328798	nav	nobound	weight	10_10	foc	642	10_10	272	zwart	0.2316243630512445
zwart.foc10.nav.selection.nobound.soc4.5000	0.017648320909528177	-0.24357446185562392	nav	nobound	selection	10_10	5000	5e3	4_4	272	zwart	0.2546569373571696
zwart.foc10.nav.selection.nobound.soc4.10000	0.017782824554131	-0.22484439736909076	nav	nobound	selection	10_10	10000	1e4	4_4	272	zwart	0.253497930414283
zwart.foc10.nav.selection.nobound.soc4.foc	-0.02893510134552194	0.1626298218181272	nav	nobound	selection	10_10	foc	642	4_4	272	zwart	0.24913964549031087
zwart.foc10.nav.selection.nobound.soc10.5000	-0.0387455772447669	-0.20258539759070548	nav	nobound	selection	10_10	5000	5e3	10_10	272	zwart	0.24232165491297444
zwart.foc10.nav.selection.nobound.soc10.10000	-0.04499079335412343	-0.15834267940228322	nav	nobound	selection	10_10	10000	1e4	10_10	272	zwart	0.24260170021528168
zwart.foc10.nav.selection.nobound.soc10.foc	-0.04495480837835929	0.1306360355500564	nav	nobound	selection	10_10	foc	642	10_10	272	zwart	0.23269976477159188
zwart.foc10.nav.noweight.nobound.soc4.5000	0.06546063171520847	-0.21180302915585805	nav	nobound	noweight	10_10	5000	5e3	4_4	297	zwart	0.2292172956041646
zwart.foc10.nav.noweight.nobound.soc4.10000	0.06690585259476631	-0.218955736514597	nav	nobound	noweight	10_10	10000	1e4	4_4	297	zwart	0.22662131518909528
zwart.foc10.nav.noweight.nobound.soc4.foc	0.17645797851570533	0.08470723397134287	nav	nobound	noweight	10_10	foc	1098	4_4	297	zwart	0.21929143581978194
zwart.foc10.nav.noweight.nobound.soc10.5000	0.052516117380509965	-0.1816680244534611	nav	nobound	noweight	10_10	5000	5e3	10_10	297	zwart	0.21749060757301877
zwart.foc10.nav.noweight.nobound.soc10.10000	0.05647466033021374	-0.18863103302290696	nav	nobound	noweight	10_10	10000	1e4	10_10	297	zwart	0.21513172028066008
zwart.foc10.nav.noweight.nobound.soc10.foc	0.14075211640186933	0.07425296330393737	nav	nobound	noweight	10_10	foc	1098	10_10	297	zwart	0.2132022747524563
zwart.foc10.all.weight.nobound.soc4.5000	-0.27146840338207534	-0.09403591770573322	all	nobound	weight	10_10	5000	5e3	4_4	297	zwart	0.23458068510305283
