_model	model.x	model.y	LEMMAPATH	LEMMAREL	base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type
dof.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.1043923115331789	0.0273080314788826	NA	NA	BOW	bound	483	lex	5_5	1	weight	FOC	483	all	4_4	305	dof
dof.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.037941461101053335	1.3833531807276006e-4	NA	NA	BOW	bound	483	lex	5_5	1	selection	5000	5000	nav	4_4	305	dof
dof.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSall	0.08306788524197105	-0.10035951835618968	NA	NA	BOW	bound	483	lex	5_5	1	selection	5000	5000	all	4_4	305	dof
dof.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.08958108744431326	0.03942916306613244	NA	NA	BOW	bound	483	lex	5_5	1	selection	FOC	357	nav	4_4	305	dof
dof.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.08636673077701658	0.036338432735186874	NA	NA	BOW	bound	483	lex	5_5	1	selection	FOC	483	all	4_4	305	dof
dof.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSnav	-0.030417756966914018	0.036602079430946684	NA	NA	BOW	bound	633	lex	5_5	1	no	5000	5000	nav	4_4	308	dof
dof.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSall	0.12106816622645906	-0.07323447367089111	NA	NA	BOW	bound	633	lex	5_5	1	no	5000	5000	all	4_4	308	dof
dof.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.08773411161729114	0.056710014031634295	NA	NA	BOW	bound	633	lex	5_5	1	no	FOC	464	nav	4_4	308	dof
dof.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSall	-0.08739300372314521	0.05645642088884003	NA	NA	BOW	bound	633	lex	5_5	1	no	FOC	633	all	4_4	308	dof
dof.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSnav	-0.050306340804460295	-0.010685894908077136	NA	NA	BOW	bound	575	all	5_5	1	weight	5000	5000	nav	4_4	310	dof
dof.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSall	0.06361407011710775	-0.08071875523147802	NA	NA	BOW	bound	575	all	5_5	1	weight	5000	5000	all	4_4	310	dof
dof.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.10387535508700224	0.019523516634679404	NA	NA	BOW	bound	575	all	5_5	1	weight	FOC	357	nav	4_4	310	dof
dof.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSall	-0.09838673508110993	0.018252685148457747	NA	NA	BOW	bound	575	all	5_5	1	weight	FOC	575	all	4_4	310	dof
dof.BOWbound5all.PPMIselection.LENGTH5000.SOCPOSnav	0.023563953007227797	-0.019987340701884793	NA	NA	BOW	bound	575	all	5_5	1	selection	5000	5000	nav	4_4	310	dof
dof.BOWbound5all.PPMIselection.LENGTH5000.SOCPOSall	0.18345019854246794	-0.1612926271975951	NA	NA	BOW	bound	575	all	5_5	1	selection	5000	5000	all	4_4	310	dof
dof.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSnav	-0.05497322184357114	0.031785893425974834	NA	NA	BOW	bound	575	all	5_5	1	selection	FOC	357	nav	4_4	310	dof
dof.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSall	-0.05249151242811408	0.026948921352683175	NA	NA	BOW	bound	575	all	5_5	1	selection	FOC	575	all	4_4	310	dof
dof.BOWbound5all.PPMIno.LENGTH5000.SOCPOSnav	0.08218510010426712	0.021700845017411898	NA	NA	BOW	bound	798	all	5_5	1	no	5000	5000	nav	4_4	310	dof
dof.BOWbound5all.PPMIno.LENGTH5000.SOCPOSall	0.3856872479514183	-0.17890444219179186	NA	NA	BOW	bound	798	all	5_5	1	no	5000	5000	all	4_4	310	dof
dof.BOWbound5all.PPMIno.LENGTHFOC.SOCPOSnav	-0.03971480386042674	0.05849885517612809	NA	NA	BOW	bound	798	all	5_5	1	no	FOC	464	nav	4_4	310	dof
dof.BOWbound5all.PPMIno.LENGTHFOC.SOCPOSall	-0.03504441000137061	0.06612297512701515	NA	NA	BOW	bound	798	all	5_5	1	no	FOC	798	all	4_4	310	dof
dof.BOWbound3lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.13400052453930553	-0.05064749988580132	NA	NA	BOW	bound	355	lex	3_3	1	weight	5000	5000	nav	4_4	298	dof
dof.BOWbound3lex.PPMIweight.LENGTH5000.SOCPOSall	0.024571145742212818	-0.17800676260929726	NA	NA	BOW	bound	355	lex	3_3	1	weight	5000	5000	all	4_4	298	dof
dof.BOWbound3lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.14929724851293116	-0.015860967134349865	NA	NA	BOW	bound	355	lex	3_3	1	weight	FOC	255	nav	4_4	298	dof
dof.BOWbound3lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.151208195480579	-0.015440827778863393	NA	NA	BOW	bound	355	lex	3_3	1	weight	FOC	355	all	4_4	298	dof
dof.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.11559316065055292	-0.06893974666607669	NA	NA	BOW	bound	355	lex	3_3	1	selection	5000	5000	nav	4_4	298	dof
dof.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSall	0.005726714517158721	-0.18935527627107848	NA	NA	BOW	bound	355	lex	3_3	1	selection	5000	5000	all	4_4	298	dof
dof.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.13742237999600557	-0.018156483699287202	NA	NA	BOW	bound	355	lex	3_3	1	selection	FOC	255	nav	4_4	298	dof
dof.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.1355901552989749	-0.02268874047801928	NA	NA	BOW	bound	355	lex	3_3	1	selection	FOC	355	all	4_4	298	dof
dof.BOWbound3lex.PPMIno.LENGTH5000.SOCPOSnav	-0.13588291276084113	-0.07471022744318802	NA	NA	BOW	bound	413	lex	3_3	1	no	5000	5000	nav	4_4	306	dof
dof.BOWbound3lex.PPMIno.LENGTH5000.SOCPOSall	0.003656425062835711	-0.20008814937663025	NA	NA	BOW	bound	413	lex	3_3	1	no	5000	5000	all	4_4	306	dof
dof.BOWbound3lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.14791928721353798	-0.02073013625103111	NA	NA	BOW	bound	413	lex	3_3	1	no	FOC	293	nav	4_4	306	dof
dof.BOWbound3lex.PPMIno.LENGTHFOC.SOCPOSall	-0.15062844723618185	-0.022191642324727902	NA	NA	BOW	bound	413	lex	3_3	1	no	FOC	413	all	4_4	306	dof
dof.BOWbound3all.PPMIweight.LENGTH5000.SOCPOSnav	-0.10540144807736215	-0.07241173876427648	NA	NA	BOW	bound	424	all	3_3	1	weight	5000	5000	nav	4_4	307	dof
dof.BOWbound3all.PPMIweight.LENGTH5000.SOCPOSall	0.02014962426908675	-0.16257610834078115	NA	NA	BOW	bound	424	all	3_3	1	weight	5000	5000	all	4_4	307	dof
dof.BOWbound3all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.14857008603828045	-0.02670191923563484	NA	NA	BOW	bound	424	all	3_3	1	weight	FOC	255	nav	4_4	307	dof
dof.BOWbound3all.PPMIweight.LENGTHFOC.SOCPOSall	-0.14555917076337216	-0.027477414009727735	NA	NA	BOW	bound	424	all	3_3	1	weight	FOC	424	all	4_4	307	dof
dof.BOWbound3all.PPMIselection.LENGTH5000.SOCPOSnav	-0.07399472233887758	-0.14479803951210918	NA	NA	BOW	bound	424	all	3_3	1	selection	5000	5000	nav	4_4	307	dof
dof.BOWbound3all.PPMIselection.LENGTH5000.SOCPOSall	0.0715433266943409	-0.2731097337653293	NA	NA	BOW	bound	424	all	3_3	1	selection	5000	5000	all	4_4	307	dof
