_model	model.x	model.y	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_vector	soc_length_num	soc_soc_win	tokens	type	stress	foc_base	pam_cluster	is_medoid
harden.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.14770461523369513	0.01795944399562367	NA	NA	bound	326	lex	10_10	1	weight	nav_5000	5000	4_4	277	harden	0.22156848022051479	BOW	c1	0
harden.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSall	-0.15431422840255007	-0.06757481992470606	NA	NA	bound	326	lex	10_10	1	weight	all_5000	5000	4_4	277	harden	0.26900410934956825	BOW	c1	0
harden.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.2383374912613036	0.07703835127770005	NA	NA	bound	326	lex	10_10	1	weight	nav_FOC	221	4_4	277	harden	0.21764669029667322	BOW	c1	0
harden.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.1855900982865212	0.05318101741407243	NA	NA	bound	326	lex	10_10	1	weight	all_FOC	326	4_4	277	harden	0.21832631493193477	BOW	c1	0
harden.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.07615672395708636	0.003208209144580265	NA	NA	bound	326	lex	10_10	1	selection	nav_5000	5000	4_4	277	harden	0.22736370883049875	BOW	c2	0
harden.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSall	-0.10572912728528813	-0.16142900410155975	NA	NA	bound	326	lex	10_10	1	selection	all_5000	5000	4_4	277	harden	0.2726976941013041	BOW	c3	0
harden.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.20741190878249494	0.06538349089502588	NA	NA	bound	326	lex	10_10	1	selection	nav_FOC	221	4_4	277	harden	0.22864633437233764	BOW	c1	0
harden.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.13360273315458984	0.03738615654291623	NA	NA	bound	326	lex	10_10	1	selection	all_FOC	326	4_4	277	harden	0.21030275280109242	BOW	c1	0
harden.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSnav	-0.11261923308416164	0.0044732542829807615	NA	NA	bound	691	lex	10_10	1	no	nav_5000	5000	4_4	279	harden	0.24358863997140187	BOW	c4	0
harden.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSall	-0.18742677847791014	-0.2684444078559129	NA	NA	bound	691	lex	10_10	1	no	all_5000	5000	4_4	279	harden	0.27958281120788125	BOW	c3	0
harden.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.22944557265638285	0.0681775485335795	NA	NA	bound	691	lex	10_10	1	no	nav_FOC	491	4_4	279	harden	0.24665723398030917	BOW	c4	0
harden.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSall	-0.1775429122054607	0.03933547877392442	NA	NA	bound	691	lex	10_10	1	no	all_FOC	691	4_4	279	harden	0.23701739868081292	BOW	c4	0
harden.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSnav	-0.12961391821938875	0.07100099475739809	NA	NA	bound	417	all	10_10	1	weight	nav_5000	5000	4_4	279	harden	0.2076416047236482	BOW	c1	0
harden.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSall	-0.15295358569635842	-0.055195352175590955	NA	NA	bound	417	all	10_10	1	weight	all_5000	5000	4_4	279	harden	0.2627884862942198	BOW	c1	0
harden.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.2362243908571739	0.10814085686172009	NA	NA	bound	417	all	10_10	1	weight	nav_FOC	221	4_4	279	harden	0.20827667109644493	BOW	c1	0
harden.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSall	-0.18763533412591343	0.0827675114238021	NA	NA	bound	417	all	10_10	1	weight	all_FOC	417	4_4	279	harden	0.20153809101164147	BOW	c1	1
harden.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSnav	-0.030630738056337762	0.04712164294508898	NA	NA	bound	417	all	10_10	1	selection	nav_5000	5000	4_4	279	harden	0.20440904315172095	BOW	c2	0
harden.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSall	-0.09917547514022222	-0.17647836630820044	NA	NA	bound	417	all	10_10	1	selection	all_5000	5000	4_4	279	harden	0.2592152166568473	BOW	c3	0
harden.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSnav	-0.17289706694318718	0.09452956867348386	NA	NA	bound	417	all	10_10	1	selection	nav_FOC	221	4_4	279	harden	0.21069664540472935	BOW	c1	0
harden.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSall	-0.1239144517823185	0.06597397012413664	NA	NA	bound	417	all	10_10	1	selection	all_FOC	417	4_4	279	harden	0.19713568569999493	BOW	c1	0
harden.BOWbound10all.PPMIno.LENGTH5000.SOCPOSnav	-0.05889264494854371	0.14921392464027736	NA	NA	bound	896	all	10_10	1	no	nav_5000	5000	4_4	279	harden	0.22794285661803104	BOW	c2	0
harden.BOWbound10all.PPMIno.LENGTH5000.SOCPOSall	-0.1950485673089493	-0.41811231947779953	NA	NA	bound	896	all	10_10	1	no	all_5000	5000	4_4	279	harden	0.258481629643679	BOW	c3	0
harden.BOWbound10all.PPMIno.LENGTHFOC.SOCPOSnav	-0.21711041749940913	0.10124983291619886	NA	NA	bound	896	all	10_10	1	no	nav_FOC	491	4_4	279	harden	0.23145275346921332	BOW	c4	0
harden.BOWbound10all.PPMIno.LENGTHFOC.SOCPOSall	-0.17837487400622973	0.08884570497877067	NA	NA	bound	896	all	10_10	1	no	all_FOC	896	4_4	279	harden	0.2219098145267837	BOW	c4	0
harden.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.06270069928279044	-0.00410552359270738	NA	NA	bound	259	lex	5_5	1	weight	nav_5000	5000	4_4	276	harden	0.22691118998457738	BOW	c2	0
harden.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSall	-0.07993109536373094	-0.08660378091614233	NA	NA	bound	259	lex	5_5	1	weight	all_5000	5000	4_4	276	harden	0.2688805914111442	BOW	c3	0
harden.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.19467150719189266	0.036409025855866306	NA	NA	bound	259	lex	5_5	1	weight	nav_FOC	174	4_4	276	harden	0.23943778985364944	BOW	c2	0
harden.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.10511204481566143	0.02003442157798887	NA	NA	bound	259	lex	5_5	1	weight	all_FOC	259	4_4	276	harden	0.2298633575096966	BOW	c2	0
harden.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.00790930393417395	-0.019629806501795723	NA	NA	bound	259	lex	5_5	1	selection	nav_5000	5000	4_4	276	harden	0.22266771524893267	BOW	c2	0
