_model	model.x	model.y	foc_minimum_features	soc_vector	soc_length_num	tokens	type	LEMMAPATH	LEMMAREL	foc_base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_ppmi	soc_soc_win	stress	pam_cluster	is_medoid
stof.BOWnobound10all.PPMIweight.LENGTH5000.SOCPOSall	0.20306716983530934	-0.1735670247811388	1	all_5000	5000	313	stof	NA	NA	BOW	nobound	889	all	10_10	weight	4_4	0.26656353516538495	c4	0
stof.BOWnobound10all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.2172689077765761	-0.014658662070637322	1	nav_FOC	579	313	stof	NA	NA	BOW	nobound	889	all	10_10	weight	4_4	0.2098871837904447	c1	0
stof.BOWnobound10all.PPMIweight.LENGTHFOC.SOCPOSall	-0.19571618312300848	-0.015811439313221466	1	all_FOC	889	313	stof	NA	NA	BOW	nobound	889	all	10_10	weight	4_4	0.19880091088434076	c1	0
stof.BOWnobound10all.PPMIselection.LENGTH5000.SOCPOSnav	-0.035875661542305315	-0.10274293955199425	1	nav_5000	5000	313	stof	NA	NA	BOW	nobound	889	all	10_10	selection	4_4	0.2563128646134313	c3	0
stof.BOWnobound10all.PPMIselection.LENGTH5000.SOCPOSall	0.6756420448669858	-0.09063587081071982	1	all_5000	5000	313	stof	NA	NA	BOW	nobound	889	all	10_10	selection	4_4	0.24666162640194364	c5	0
stof.BOWnobound10all.PPMIselection.LENGTHFOC.SOCPOSnav	-0.19150370603009864	-0.03804803236319986	1	nav_FOC	579	313	stof	NA	NA	BOW	nobound	889	all	10_10	selection	4_4	0.22864749219893785	c3	0
stof.BOWnobound10all.PPMIselection.LENGTHFOC.SOCPOSall	-0.17501499926584127	-0.036835108440206696	1	all_FOC	889	313	stof	NA	NA	BOW	nobound	889	all	10_10	selection	4_4	0.22769504180017794	c3	0
stof.BOWnobound10all.PPMIno.LENGTH5000.SOCPOSnav	-0.17622947799214528	-0.19739995196609597	1	nav_5000	5000	313	stof	NA	NA	BOW	nobound	1845	all	10_10	no	4_4	0.25167597563520155	c3	0
stof.BOWnobound10all.PPMIno.LENGTH5000.SOCPOSall	0.6638000347449378	-0.26289052350252806	1	all_5000	5000	313	stof	NA	NA	BOW	nobound	1845	all	10_10	no	4_4	0.26182097530153636	c5	0
stof.BOWnobound10all.PPMIno.LENGTHFOC.SOCPOSnav	-0.21552685411201014	-0.10154057220311974	1	nav_FOC	1112	313	stof	NA	NA	BOW	nobound	1845	all	10_10	no	4_4	0.23349590353834845	c3	0
stof.BOWnobound10all.PPMIno.LENGTHFOC.SOCPOSall	-0.20468568817449687	-0.13651940900149442	1	all_FOC	1845	313	stof	NA	NA	BOW	nobound	1845	all	10_10	no	4_4	0.2398573148943218	c3	0
stof.BOWnobound5lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.16865507778292516	-0.0464703964238752	1	nav_5000	5000	310	stof	NA	NA	BOW	nobound	513	lex	5_5	weight	4_4	0.2385130857412476	c1	0
stof.BOWnobound5lex.PPMIweight.LENGTH5000.SOCPOSall	0.14399967872124617	-0.2989423359765714	1	all_5000	5000	310	stof	NA	NA	BOW	nobound	513	lex	5_5	weight	4_4	0.29045933452389205	c2	0
stof.BOWnobound5lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.21878506969310577	-0.02076489059505138	1	nav_FOC	395	310	stof	NA	NA	BOW	nobound	513	lex	5_5	weight	4_4	0.24620646044717673	c1	0
stof.BOWnobound5lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.21344640751555846	-0.024366700517924934	1	all_FOC	513	310	stof	NA	NA	BOW	nobound	513	lex	5_5	weight	4_4	0.24520624876272307	c1	0
stof.BOWnobound5lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.16468185186791776	-0.0845036585907236	1	nav_5000	5000	310	stof	NA	NA	BOW	nobound	513	lex	5_5	selection	4_4	0.2419513920381896	c1	0
stof.BOWnobound5lex.PPMIselection.LENGTH5000.SOCPOSall	0.21403715681325858	-0.35911065842500667	1	all_5000	5000	310	stof	NA	NA	BOW	nobound	513	lex	5_5	selection	4_4	0.278490513032963	c2	0
stof.BOWnobound5lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.20512383738056025	-0.033673376741666185	1	nav_FOC	395	310	stof	NA	NA	BOW	nobound	513	lex	5_5	selection	4_4	0.23868107302118044	c1	0
stof.BOWnobound5lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.20290309108697313	-0.037815653542723274	1	all_FOC	513	310	stof	NA	NA	BOW	nobound	513	lex	5_5	selection	4_4	0.23552150405348518	c1	0
stof.BOWnobound5lex.PPMIno.LENGTH5000.SOCPOSnav	-0.15721030874792435	-0.09058464902063307	1	nav_5000	5000	313	stof	NA	NA	BOW	nobound	799	lex	5_5	no	4_4	0.24386481032782234	c6	0
stof.BOWnobound5lex.PPMIno.LENGTH5000.SOCPOSall	0.28555117172843514	-0.4370754603218399	1	all_5000	5000	313	stof	NA	NA	BOW	nobound	799	lex	5_5	no	4_4	0.26822295974952026	c2	0
stof.BOWnobound5lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.198088742666625	-0.050547798977294396	1	nav_FOC	601	313	stof	NA	NA	BOW	nobound	799	lex	5_5	no	4_4	0.2370672488270659	c6	0
stof.BOWnobound5lex.PPMIno.LENGTHFOC.SOCPOSall	-0.19635940943478808	-0.05611347361276755	1	all_FOC	799	313	stof	NA	NA	BOW	nobound	799	lex	5_5	no	4_4	0.23287329202429466	c6	0
stof.BOWnobound5all.PPMIweight.LENGTH5000.SOCPOSnav	-0.12081319208081293	-0.03444365426608057	1	nav_5000	5000	313	stof	NA	NA	BOW	nobound	624	all	5_5	weight	4_4	0.21529326844352892	c1	0
stof.BOWnobound5all.PPMIweight.LENGTH5000.SOCPOSall	0.24110781854936414	-0.1465411805755865	1	all_5000	5000	313	stof	NA	NA	BOW	nobound	624	all	5_5	weight	4_4	0.27994042644760425	c4	0
stof.BOWnobound5all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.18498336486610653	-1.3473301984951998e-4	1	nav_FOC	395	313	stof	NA	NA	BOW	nobound	624	all	5_5	weight	4_4	0.2318374935104759	c1	0
stof.BOWnobound5all.PPMIweight.LENGTHFOC.SOCPOSall	-0.17202654364845912	-0.0023924082156989808	1	all_FOC	624	313	stof	NA	NA	BOW	nobound	624	all	5_5	weight	4_4	0.223715432910747	c1	0
stof.BOWnobound5all.PPMIselection.LENGTH5000.SOCPOSnav	0.08138684159056284	0.05190148761781815	1	nav_5000	5000	313	stof	NA	NA	BOW	nobound	624	all	5_5	selection	4_4	0.2579991493295098	c7	0
