_model	model.x	model.y	LEMMAPATH	LEMMAREL	base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type
goedkoop.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSall	1.2329887255324463	-0.4789428209398153	NA	NA	BOW	bound	445	lex	5_5	1	selection	5000	5000	all	4_4	296	goedkoop
goedkoop.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.6549647211295281	-0.05170390542026251	NA	NA	BOW	bound	445	lex	5_5	1	selection	FOC	334	nav	4_4	296	goedkoop
goedkoop.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.648536608430526	-0.037924375190786355	NA	NA	BOW	bound	445	lex	5_5	1	selection	FOC	445	all	4_4	296	goedkoop
goedkoop.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSnav	-1.0316937920676008	0.046178183415341564	NA	NA	BOW	bound	662	lex	5_5	1	no	5000	5000	nav	4_4	303	goedkoop
goedkoop.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSall	1.638722395834471	-0.7604614936540538	NA	NA	BOW	bound	662	lex	5_5	1	no	5000	5000	all	4_4	303	goedkoop
goedkoop.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.8814200715173983	-0.10847029571366251	NA	NA	BOW	bound	662	lex	5_5	1	no	FOC	509	nav	4_4	303	goedkoop
goedkoop.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSall	-0.8685500810321984	-0.09657942020700422	NA	NA	BOW	bound	662	lex	5_5	1	no	FOC	662	all	4_4	303	goedkoop
goedkoop.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSnav	-0.2504294788792061	0.28753690452074027	NA	NA	BOW	bound	542	all	5_5	1	weight	5000	5000	nav	4_4	300	goedkoop
goedkoop.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSall	1.4237386314519505	-0.056419697389704024	NA	NA	BOW	bound	542	all	5_5	1	weight	5000	5000	all	4_4	300	goedkoop
goedkoop.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.3492560770993512	0.09733836983550595	NA	NA	BOW	bound	542	all	5_5	1	weight	FOC	334	nav	4_4	300	goedkoop
