_model	model.x	model.y	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress	foc_base
helpen.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.8215058465239407	0.12124350768492204	NA	NA	bound	355	lex	10_10	1	weight	5000	5000	nav	4_4	218	helpen	0.22069148930802057	BOW
helpen.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSall	-0.8157545120406021	-0.7949246498834982	NA	NA	bound	355	lex	10_10	1	weight	5000	5000	all	4_4	218	helpen	0.18874811892463494	BOW
helpen.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.8131382026507278	0.23186028513689344	NA	NA	bound	355	lex	10_10	1	weight	FOC	256	nav	4_4	218	helpen	0.2249132753197008	BOW
helpen.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.7975450953729264	0.20268684699480569	NA	NA	bound	355	lex	10_10	1	weight	FOC	355	all	4_4	218	helpen	0.2172988827206479	BOW
helpen.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.9159514007883722	0.18357861493179056	NA	NA	bound	355	lex	10_10	1	selection	5000	5000	nav	4_4	218	helpen	0.2076998572518835	BOW
helpen.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSall	-0.9095278438418382	-0.9079860235293239	NA	NA	bound	355	lex	10_10	1	selection	5000	5000	all	4_4	218	helpen	0.1830830437300733	BOW
helpen.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.9080794943144803	0.2954747806188262	NA	NA	bound	355	lex	10_10	1	selection	FOC	256	nav	4_4	218	helpen	0.20422792845125162	BOW
helpen.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.8882064521264549	0.2753995782205972	NA	NA	bound	355	lex	10_10	1	selection	FOC	355	all	4_4	218	helpen	0.20403208948480517	BOW
helpen.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSnav	-1.2284326396452143	0.7435840733095921	NA	NA	bound	741	lex	10_10	1	no	5000	5000	nav	4_4	228	helpen	0.25035724573915047	BOW
helpen.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSall	-0.9926597426285079	-1.6532848837348513	NA	NA	bound	741	lex	10_10	1	no	5000	5000	all	4_4	228	helpen	0.18754393347177203	BOW
helpen.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSnav	-1.1539041974051736	0.7022158650889593	NA	NA	bound	741	lex	10_10	1	no	FOC	565	nav	4_4	228	helpen	0.22338113618577596	BOW
helpen.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSall	-1.1154319029012494	0.6792722241835498	NA	NA	bound	741	lex	10_10	1	no	FOC	741	all	4_4	228	helpen	0.2129896842448838	BOW
helpen.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSnav	0.5420408742372146	0.6492204467295206	NA	NA	bound	478	all	10_10	1	weight	5000	5000	nav	4_4	229	helpen	0.18136682981534455	BOW
helpen.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSall	0.43108371427447956	-0.5659654193342126	NA	NA	bound	478	all	10_10	1	weight	5000	5000	all	4_4	229	helpen	0.21503203401908738	BOW
helpen.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSnav	0.3614647328567009	0.6903802396299803	NA	NA	bound	478	all	10_10	1	weight	FOC	256	nav	4_4	229	helpen	0.17783904851251509	BOW
helpen.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSall	0.31040503635864947	0.57522772766839525	NA	NA	bound	478	all	10_10	1	weight	FOC	478	all	4_4	229	helpen	0.1614556515393331	BOW
helpen.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSnav	0.31779145333675635	0.6697206871023154	NA	NA	bound	478	all	10_10	1	selection	5000	5000	nav	4_4	229	helpen	0.22392886063630552	BOW
helpen.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSall	0.3505127097135839	-1.0034553055363689	NA	NA	bound	478	all	10_10	1	selection	5000	5000	all	4_4	229	helpen	0.22935792228902432	BOW
helpen.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSnav	0.06262802318772145	0.7303424490241373	NA	NA	bound	478	all	10_10	1	selection	FOC	256	nav	4_4	229	helpen	0.15839576934142935	BOW
helpen.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSall	0.049212065207080866	0.6410472178357464	NA	NA	bound	478	all	10_10	1	selection	FOC	478	all	4_4	229	helpen	0.14219523094022532	BOW
helpen.BOWbound10all.PPMIno.LENGTH5000.SOCPOSnav	0.8858776010792188	1.2119763641792607	NA	NA	bound	1026	all	10_10	1	no	5000	5000	nav	4_4	233	helpen	0.17560203537641178	BOW
helpen.BOWbound10all.PPMIno.LENGTH5000.SOCPOSall	1.6961416181372033	-1.4917516130593005	NA	NA	bound	1026	all	10_10	1	no	5000	5000	all	4_4	233	helpen	0.2152288228238033	BOW
helpen.BOWbound10all.PPMIno.LENGTHFOC.SOCPOSnav	0.4397818752233354	1.226049945298795	NA	NA	bound	1026	all	10_10	1	no	FOC	565	nav	4_4	233	helpen	0.16379703082980782	BOW
helpen.BOWbound10all.PPMIno.LENGTHFOC.SOCPOSall	0.3936639438463474	1.2145618150641546	NA	NA	bound	1026	all	10_10	1	no	FOC	1026	all	4_4	233	helpen	0.1489367828897269	BOW
helpen.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.7168748864212471	-0.22334559323084474	NA	NA	bound	254	lex	5_5	1	weight	5000	5000	nav	4_4	211	helpen	0.2222501711832284	BOW
helpen.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSall	-0.6607317455664368	-0.7380707204963779	NA	NA	bound	254	lex	5_5	1	weight	5000	5000	all	4_4	211	helpen	0.20199960644214288	BOW
helpen.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.7197017749700921	-0.026208899796510275	NA	NA	bound	254	lex	5_5	1	weight	FOC	186	nav	4_4	211	helpen	0.21748974184132155	BOW
helpen.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.7034061405854659	-0.05039810357681306	NA	NA	bound	254	lex	5_5	1	weight	FOC	254	all	4_4	211	helpen	0.2126944322057707	BOW
helpen.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.7757330990071186	-0.2325193325388349	NA	NA	bound	254	lex	5_5	1	selection	5000	5000	nav	4_4	211	helpen	0.21386658737188347	BOW
helpen.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSall	-0.7203375003986099	-0.8368287597487316	NA	NA	bound	254	lex	5_5	1	selection	5000	5000	all	4_4	211	helpen	0.19695952015502968	BOW
helpen.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.7606542228116859	0.003646125528931987	NA	NA	bound	254	lex	5_5	1	selection	FOC	186	nav	4_4	211	helpen	0.21488217758313397	BOW
helpen.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.7494489564882291	-0.03398691343317894	NA	NA	bound	254	lex	5_5	1	selection	FOC	254	all	4_4	211	helpen	0.2110065357780835	BOW
helpen.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSnav	-1.1443529859413095	-0.16821135883364147	NA	NA	bound	459	lex	5_5	1	no	5000	5000	nav	4_4	225	helpen	0.24907260645796866	BOW
helpen.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSall	-1.0321620777546494	-1.343132486979665	NA	NA	bound	459	lex	5_5	1	no	5000	5000	all	4_4	225	helpen	0.1921614890706746	BOW
helpen.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSnav	-1.0957921958426482	0.05901579143863352	NA	NA	bound	459	lex	5_5	1	no	FOC	354	nav	4_4	225	helpen	0.23227249763338076	BOW
helpen.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSall	-1.071089406724697	0.04876997566397083	NA	NA	bound	459	lex	5_5	1	no	FOC	459	all	4_4	225	helpen	0.21915690196214935	BOW
helpen.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSnav	0.37491529669289786	0.34558850795625945	NA	NA	bound	350	all	5_5	1	weight	5000	5000	nav	4_4	229	helpen	0.19199038587483505	BOW
helpen.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSall	0.31320969368908214	-0.5517033221574241	NA	NA	bound	350	all	5_5	1	weight	5000	5000	all	4_4	229	helpen	0.21189958155431715	BOW
helpen.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSnav	0.23569588288542243	0.4708357335790714	NA	NA	bound	350	all	5_5	1	weight	FOC	186	nav	4_4	229	helpen	0.1902065764690489	BOW
helpen.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSall	0.2107257312709376	0.38792221093161905	NA	NA	bound	350	all	5_5	1	weight	FOC	350	all	4_4	229	helpen	0.15868359034798896	BOW
helpen.BOWbound5all.PPMIselection.LENGTH5000.SOCPOSnav	0.2563685271042218	0.23650788621848867	NA	NA	bound	350	all	5_5	1	selection	5000	5000	nav	4_4	229	helpen	0.23971970973895024	BOW
helpen.BOWbound5all.PPMIselection.LENGTH5000.SOCPOSall	0.21149604541732722	-0.8424681163544415	NA	NA	bound	350	all	5_5	1	selection	5000	5000	all	4_4	229	helpen	0.22823756733099043	BOW
helpen.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSnav	0.052288480036240884	0.45609091695317827	NA	NA	bound	350	all	5_5	1	selection	FOC	186	nav	4_4	229	helpen	0.17785770882089724	BOW
helpen.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSall	0.0446424409298192	0.35830213415660483	NA	NA	bound	350	all	5_5	1	selection	FOC	350	all	4_4	229	helpen	0.15538509094026606	BOW
helpen.BOWbound5all.PPMIno.LENGTH5000.SOCPOSnav	0.9192508397854889	0.8373799054332652	NA	NA	bound	634	all	5_5	1	no	5000	5000	nav	4_4	233	helpen	0.19573008396423666	BOW
helpen.BOWbound5all.PPMIno.LENGTH5000.SOCPOSall	1.0794924345758097	-1.5746345308735594	NA	NA	bound	634	all	5_5	1	no	5000	5000	all	4_4	233	helpen	0.21939531139161955	BOW
helpen.BOWbound5all.PPMIno.LENGTHFOC.SOCPOSnav	0.2705609081164896	0.8526995250058349	NA	NA	bound	634	all	5_5	1	no	FOC	354	nav	4_4	233	helpen	0.1706067732856926	BOW
helpen.BOWbound5all.PPMIno.LENGTHFOC.SOCPOSall	0.17960979150178646	0.7689171917694688	NA	NA	bound	634	all	5_5	1	no	FOC	634	all	4_4	233	helpen	0.14986961372358631	BOW
helpen.BOWbound3lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.4798409683217861	-0.21435568620755618	NA	NA	bound	185	lex	3_3	1	weight	5000	5000	nav	4_4	196	helpen	0.2228488898773458	BOW
helpen.BOWbound3lex.PPMIweight.LENGTH5000.SOCPOSall	-0.46029418420449386	-0.5979559628242035	NA	NA	bound	185	lex	3_3	1	weight	5000	5000	all	4_4	196	helpen	0.18937978820642368	BOW
helpen.BOWbound3lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.5047598141237026	-0.121471073115747	NA	NA	bound	185	lex	3_3	1	weight	FOC	134	nav	4_4	196	helpen	0.21311399150622284	BOW
helpen.BOWbound3lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.475486698259263	-0.10077506862022273	NA	NA	bound	185	lex	3_3	1	weight	FOC	185	all	4_4	196	helpen	0.20742634637561216	BOW
helpen.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.5275151799927591	-0.22749962411202423	NA	NA	bound	185	lex	3_3	1	selection	5000	5000	nav	4_4	196	helpen	0.22249720188856392	BOW
helpen.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSall	-0.5142501443010578	-0.6753134008717804	NA	NA	bound	185	lex	3_3	1	selection	5000	5000	all	4_4	196	helpen	0.19036725848638528	BOW
helpen.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.527412274347591	-0.08405608000582346	NA	NA	bound	185	lex	3_3	1	selection	FOC	134	nav	4_4	196	helpen	0.21480564334126323	BOW
helpen.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.5008249765060295	-0.092539107104051	NA	NA	bound	185	lex	3_3	1	selection	FOC	185	all	4_4	196	helpen	0.2088566103641149	BOW
helpen.BOWbound3lex.PPMIno.LENGTH5000.SOCPOSnav	-0.9559456795384498	-0.2644035915633682	NA	NA	bound	307	lex	3_3	1	no	5000	5000	nav	4_4	216	helpen	0.2447632059447412	BOW
helpen.BOWbound3lex.PPMIno.LENGTH5000.SOCPOSall	-0.8715034976284419	-1.2736785286988526	NA	NA	bound	307	lex	3_3	1	no	5000	5000	all	4_4	216	helpen	0.2037936598683149	BOW
helpen.BOWbound3lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.8960483979914627	-0.11577457090040742	NA	NA	bound	307	lex	3_3	1	no	FOC	238	nav	4_4	216	helpen	0.24292145395068415	BOW
helpen.BOWbound3lex.PPMIno.LENGTHFOC.SOCPOSall	-0.8912573007557001	-0.10184817887146476	NA	NA	bound	307	lex	3_3	1	no	FOC	307	all	4_4	216	helpen	0.23070633970086635	BOW
helpen.BOWbound3all.PPMIweight.LENGTH5000.SOCPOSnav	0.403717654656731	0.08210343854372758	NA	NA	bound	266	all	3_3	1	weight	5000	5000	nav	4_4	226	helpen	0.19963777572502583	BOW
helpen.BOWbound3all.PPMIweight.LENGTH5000.SOCPOSall	0.30723053916549936	-0.7184073176966024	NA	NA	bound	266	all	3_3	1	weight	5000	5000	all	4_4	226	helpen	0.20733560477574767	BOW
helpen.BOWbound3all.PPMIweight.LENGTHFOC.SOCPOSnav	0.22369560155479423	0.2069219249016296	NA	NA	bound	266	all	3_3	1	weight	FOC	134	nav	4_4	226	helpen	0.20696936745098535	BOW
helpen.BOWbound3all.PPMIweight.LENGTHFOC.SOCPOSall	0.20726372699723022	0.16325704053877457	NA	NA	bound	266	all	3_3	1	weight	FOC	266	all	4_4	226	helpen	0.16359347145221806	BOW
helpen.BOWbound3all.PPMIselection.LENGTH5000.SOCPOSnav	0.27421250800304836	0.024735747267621618	NA	NA	bound	266	all	3_3	1	selection	5000	5000	nav	4_4	226	helpen	0.2371466493755484	BOW
helpen.BOWbound3all.PPMIselection.LENGTH5000.SOCPOSall	0.19322683415217287	-0.8853910176815775	NA	NA	bound	266	all	3_3	1	selection	5000	5000	all	4_4	226	helpen	0.21775078938211573	BOW
