vernietig/verb_pmi10	verniel/verb_pmi10	raw_co10_x	vernietig/verb_pmi4	verniel/verb_pmi4	raw_co10_y	raw_freq	cw
0.0152653055	1.2034686	1	0.9187032	1.4071997	1.0	2161	103/num
-0.4045845	0.78361875	1	0.5029023	1.6845461	1.0	3270	105/num
0.029500844		1				2123	106/num
3.349785		1				77	107.000/num
-0.026852747	0.4682033	1				2239	108/num
	2.808856	0				217	109/name
2.0500808		1				286	11,1/num
1.5281239		1	2.4310582		1.0	474	11,2/num
1.8097185		1				357	11,4/num
7.673918		1	8.58989		1.0	1	11-septemberverdachte/noun
6.5753055		1				3	11.093/num
	7.0703616	0				3	11.11.11_affiche/noun
	0.39877164	0		1.2967256	0.0	2403	11.30/noun
7.1143017		1				2	11.40-13.00u./noun
	-0.6195206	0				6645	11/name
0.35725322	0.1591621	24	-0.81929165	0.36235213	3.0	36830	11/noun
-0.8429142	-0.34785813	8	-0.40714332	0.081353284	5.0	40771	11/num
0.070618086		3				6110	110/num
1.4330086	1.9280646	2				1049	1100/num
	1.3366426	0		2.2370377	0.0	1880	114/num
4.729479		1				19	1142/num
3.0038965		1	3.9100757		1.0	109	116.000/num
6.1370506		1				5	1169/noun
0.19829503		1				1783	117/num
	4.562118	0				38	1170/num
0.0006480391		1	0.90677345		1.0	2182	118/num
5.5163584		1				9	12,38/num
	2.6407359	0				254	12-/num
1.3625157		6	1.5749253		3.0	3362	12.000/num
2.6106899		1				161	12.10/num
	5.421703	0				16	12.200/num
	1.9838202	0		2.5950239	0.0	1975	12.30/noun
	6.2230635	0				7	12.390/num
	3.5444913	0		4.443657	0.0	103	12.40/noun
	1.8285263	0		2.0328271	0.0	1154	12.500/num
-0.75218767	0.43601558	4	-1.237311	0.8606236	1.0	18653	12/noun
-1.1890526	-2.773438	8	-1.2633613	-1.8734771	3.0	57411	12/num
	1.2898751	0		1.4943118	0.0	1980	120.000/num
0.31210157	0.11401047	8	0.23685367	-0.373262	3.0	12795	120/num
-0.03120966	1.1569936	1		1.3577579	0.0	2274	1200/num
1.0472661		2	1.9540248		2.0	1530	122/num
	3.0099185	0				177	124/name
1.7318184		3	1.5368439		1.0	1164	125.000/num
0.08124901		3	-0.11320234		1.0	6058	125/num
	1.9796834	0				497	1250/num
	6.16076	0				8	1258/noun
3.1897857	3.6848419	1	4.0914693		1.0	91	126.000/num
3.4647574		1	4.3630557		1.0	69	128.000/num
0.10180056		1				1984	128/num
0.5013396		1				1324	129/num
	0.8178797	0		1.7139972	0.0	1595	12de/num
	1.4283361	0				863	13.00/noun
	1.4928038	0				1623	13.000/num
	7.0703616	0				3	13.19/noun
	3.2899668	0		4.1842847	0.0	134	13.20/noun
2.2153966		1	3.1244698		1.0	252	13.35/num
	-0.38518763	0				5263	13/name
-0.45450526	0.19470148	6		0.24292693	0.0	20739	13/noun
-0.96154225	-1.313784	7	-1.309132		2.0	40176	13/num
2.368277		5	2.7603312		3.0	1029	130.000/num
0.28880307	0.78385913	4	-0.19337279	0.29512382	1.0	6560	130/num
1.4330572	1.234966	2		2.1342988	0.0	1045	1300/num
	1.0049497	0		1.9079779	0.0	1304	131/num
3.7739673		2				101	132.000/num
0.4911857	0.98624176	1		1.8867683	0.0	1333	133/num
1.1789542		2	1.3930155		1.0	1342	134/num
5.7280073		1	6.643979		1.0	7	1349/noun
	2.2368612	0				383	135.000/num
-0.19015642		1	0.7170532		1.0	2636	135/num
5.8821583		1				6	1358/noun
1.1853589		2	2.0923605		2.0	1334	137/num
6.1698403		2				9	1373/noun
4.9792905		1				15	1379/num
5.5048637		1				9	1381/noun
0.20723255		1	1.1099547		1.0	1791	13de/num
	2.361883	0		3.2620192	0.0	338	14-18/noun
	0.78644496	0				1660	14-jarige/adj
	0.8223508	0		1.7225052	0.0	1574	14.00/noun
	0.39780122	0		1.3039504	0.0	2382	14.15/noun
	0.07153983	0		0.27800828	0.0	6653	14.30/noun
	2.6365728	0				255	14.30u./noun
6.5753055		1				3	14/1/noun
7.673918		1				1	14/12/2001/num
-1.3303391	-1.240748	3	-1.526151		1.0	24865	14/noun
-1.2993746	-0.51663643	6	-1.4923091	-0.59834737	2.0	48120	14/num
	1.2365746	0		2.1350222	0.0	1046	140.000/num
0.31093934	0.51831335	4	-0.16975972	1.0118841	1.0	6410	140/num
	1.2337979	0		2.130569	0.0	1049	1400/num
	3.3064518	0				132	142/name
0.49900195		1				1330	142/num
1.9030998		4				1302	143/num
5.594476		1				8	1431/num
3.175776		1				92	144.000/num
0.15306		1	1.0614232		1.0	1868	145/num
0.6379891		1				1149	146/num
5.376345		1				11	1472/noun
	3.193275	0				146	148/name
7.673918		1	8.58989		1.0	1	1485-1547/num
7.673918		1	8.58989		1.0	1	14:25/tag
0.1681779		1				1856	14de/num
2.0057623		1				293	15,4/num
2.1227038		1				263	15,7/num
	1.2894121	0		1.4905055	0.0	2009	15-jarige/adj
0.07838795	0.86112607	3	-0.11666309		1.0	6093	15.000/num
	2.0649621	0				459	15.15/noun
6.2876234		1				4	15.20-16.50u./noun
4.753448		1				20	15.25/name
	1.5152509	0		2.0089371	0.0	2359	15.30/noun
	2.1745136	0				407	15.45/noun
0.07745003	-1.4423969	15	0.34895208	-1.2419928	8.0	30549	15/noun
-0.8546909	-0.35963482	13	-0.9042569	-0.41576025	5.0	66844	15/num
	0.5478398	0				4163	150.000/num
0.076163344	-0.034916393	11	-0.31841645	0.45776224	3.0	22300	150/num
0.5666642	0.14542954	5	0.961007	1.0440385	3.0	6208	1500/num
0.8817416		1	1.7912517		1.0	898	151/num
4.1329584		1				35	1519/noun
3.8739443		1	4.783227		1.0	45	152.000/num
1.3337348	1.1356436	2	2.2396584	2.0350077	2.0	1149	152/num
3.8452764		1	4.761248		1.0	46	1521/noun
4.9658675		1				15	1529/noun
1.528606		2				946	153/num
	4.0330076	0				63	1530/noun
4.683198		1	5.594157		1.0	20	1539/noun
	4.9682617	0		5.874624	0.0	25	1545/noun
	4.954106	0				25	1548/noun
3.3464792		2	3.5553749		1.0	155	155.000/num
4.352485		1				28	1563/noun
