_model	model.x	model.y	medoid_k9	medoid_k3	LEMMAPATH	LEMMAREL	base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	medoid_newk3
destroy.BOWnobound10nav-nap.PPMIweight.LENGTH5000.SOCPOSnav	-0.809158874860725	0.363295310959966	not_medoid	not_medoid	NA	NA	BOW	nobound	1365	nav-nap	10_10	1	weight	5000	5000	nav	4_4	486	destroy	FALSE
destroy.BOWnobound10nav-nap.PPMIweight.LENGTHFOC.SOCPOSnav	-0.839917368504253	0.21304129104217	not_medoid	not_medoid	NA	NA	BOW	nobound	1365	nav-nap	10_10	1	weight	FOC	795	nav	4_4	486	destroy	FALSE
destroy.BOWnobound10nav.PPMIno.LENGTH5000.SOCPOSnav	-1.96479518705007	0.137137742997635	not_medoid	not_medoid	NA	NA	BOW	nobound	1725	nav	10_10	1	no	5000	5000	nav	4_4	486	destroy	FALSE
destroy.BOWnobound10nav.PPMIno.LENGTHFOC.SOCPOSnav	-1.67666950687166	-0.00494279694000957	medoid	not_medoid	NA	NA	BOW	nobound	1725	nav	10_10	1	no	FOC	1280	nav	4_4	486	destroy	FALSE
destroy.BOWnobound10nav.PPMIselection.LENGTH5000.SOCPOSnav	-1.66659722656854	0.40115736274488	not_medoid	not_medoid	NA	NA	BOW	nobound	1088	nav	10_10	1	selection	5000	5000	nav	4_4	486	destroy	FALSE
destroy.BOWnobound10nav.PPMIselection.LENGTHFOC.SOCPOSnav	-1.45123092453699	0.174351581942159	not_medoid	not_medoid	NA	NA	BOW	nobound	1088	nav	10_10	1	selection	FOC	795	nav	4_4	486	destroy	FALSE
destroy.BOWnobound10nav.PPMIweight.LENGTH5000.SOCPOSnav	-1.02071466620328	0.522090997327874	not_medoid	not_medoid	NA	NA	BOW	nobound	1088	nav	10_10	1	weight	5000	5000	nav	4_4	486	destroy	FALSE
destroy.BOWnobound10nav.PPMIweight.LENGTHFOC.SOCPOSnav	-1.00068916963868	0.330622154755136	not_medoid	not_medoid	NA	NA	BOW	nobound	1088	nav	10_10	1	weight	FOC	795	nav	4_4	486	destroy	FALSE
destroy.BOWnobound15all.PPMIno.LENGTH5000.SOCPOSnav	-1.72742511694743	-1.69844695571422	not_medoid	not_medoid	NA	NA	BOW	nobound	3265	all	15_15	1	no	5000	5000	nav	4_4	486	destroy	FALSE
destroy.BOWnobound15all.PPMIno.LENGTHFOC.SOCPOSnav	-1.65935207139854	-1.25888930202949	medoid	not_medoid	NA	NA	BOW	nobound	3265	all	15_15	1	no	FOC	1701	nav	4_4	486	destroy	FALSE
destroy.BOWnobound15all.PPMIselection.LENGTH5000.SOCPOSnav	-1.44395077597522	-1.49065931377269	not_medoid	not_medoid	NA	NA	BOW	nobound	1847	all	15_15	1	selection	5000	5000	nav	4_4	486	destroy	FALSE
destroy.BOWnobound15all.PPMIselection.LENGTHFOC.SOCPOSnav	-1.3442902514869	-0.908751050935507	not_medoid	not_medoid	NA	NA	BOW	nobound	1847	all	15_15	1	selection	FOC	992	nav	4_4	486	destroy	FALSE
destroy.BOWnobound15all.PPMIweight.LENGTH5000.SOCPOSnav	-0.77946743578203	-0.335813774337323	not_medoid	not_medoid	NA	NA	BOW	nobound	1847	all	15_15	1	weight	5000	5000	nav	4_4	486	destroy	FALSE
destroy.BOWnobound15all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.82398443351054	-0.325416894787062	not_medoid	not_medoid	NA	NA	BOW	nobound	1847	all	15_15	1	weight	FOC	992	nav	4_4	486	destroy	FALSE
destroy.BOWnobound15nav-nap.PPMIno.LENGTH5000.SOCPOSnav	-1.95449367236716	-1.13463208570996	not_medoid	not_medoid	NA	NA	BOW	nobound	2981	nav-nap	15_15	1	no	5000	5000	nav	4_4	486	destroy	FALSE
destroy.BOWnobound15nav-nap.PPMIno.LENGTHFOC.SOCPOSnav	-1.71973840817243	-0.907774237212386	not_medoid	not_medoid	NA	NA	BOW	nobound	2981	nav-nap	15_15	1	no	FOC	1701	nav	4_4	486	destroy	FALSE
destroy.BOWnobound15nav-nap.PPMIselection.LENGTH5000.SOCPOSnav	-1.69537534090459	-0.651074092287703	not_medoid	not_medoid	NA	NA	BOW	nobound	1689	nav-nap	15_15	1	selection	5000	5000	nav	4_4	486	destroy	FALSE
destroy.BOWnobound15nav-nap.PPMIselection.LENGTHFOC.SOCPOSnav	-1.42707430653741	-0.543423726738035	not_medoid	not_medoid	NA	NA	BOW	nobound	1689	nav-nap	15_15	1	selection	FOC	992	nav	4_4	486	destroy	FALSE
destroy.BOWnobound15nav-nap.PPMIweight.LENGTH5000.SOCPOSnav	-0.883113781465742	-0.0873868152111944	medoid	not_medoid	NA	NA	BOW	nobound	1689	nav-nap	15_15	1	weight	5000	5000	nav	4_4	486	destroy	FALSE
destroy.BOWnobound15nav-nap.PPMIweight.LENGTHFOC.SOCPOSnav	-0.893033645531537	-0.214982097791358	not_medoid	not_medoid	NA	NA	BOW	nobound	1689	nav-nap	15_15	1	weight	FOC	992	nav	4_4	486	destroy	FALSE
destroy.BOWnobound15nav.PPMIno.LENGTH5000.SOCPOSnav	-2.14412317930991	-0.649977099792772	not_medoid	not_medoid	NA	NA	BOW	nobound	2305	nav	15_15	1	no	5000	5000	nav	4_4	486	destroy	FALSE
destroy.BOWnobound15nav.PPMIno.LENGTHFOC.SOCPOSnav	-1.85857265366443	-0.613754691749231	not_medoid	not_medoid	NA	NA	BOW	nobound	2305	nav	15_15	1	no	FOC	1701	nav	4_4	486	destroy	FALSE
destroy.BOWnobound15nav.PPMIselection.LENGTH5000.SOCPOSnav	-1.90933998125557	-0.248048434875101	not_medoid	not_medoid	NA	NA	BOW	nobound	1350	nav	15_15	1	selection	5000	5000	nav	4_4	486	destroy	FALSE
destroy.BOWnobound15nav.PPMIselection.LENGTHFOC.SOCPOSnav	-1.6481414810661	-0.353841946657003	not_medoid	not_medoid	NA	NA	BOW	nobound	1350	nav	15_15	1	selection	FOC	992	nav	4_4	486	destroy	FALSE
