_model	model.x	model.y	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_vector	soc_length_num	soc_soc_win	tokens	type	stress	foc_base	pam_cluster	is_medoid
heffen.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.05281823844008776	-0.0032347279874677124	NA	NA	bound	366	lex	10_10	1	weight	nav_5000	5000	4_4	217	heffen	0.15177845978844348	BOW	c1	0
heffen.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSall	0.1269967150641542	-9.627649557841301e-4	NA	NA	bound	366	lex	10_10	1	weight	all_5000	5000	4_4	217	heffen	0.20044358152517963	BOW	c2	0
heffen.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.06447867384317134	-0.0019894637600372913	NA	NA	bound	366	lex	10_10	1	weight	nav_FOC	253	4_4	217	heffen	0.12819530608938917	BOW	c1	1
heffen.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.04671000420284154	-0.0031752599075413105	NA	NA	bound	366	lex	10_10	1	weight	all_FOC	366	4_4	217	heffen	0.13393546613523305	BOW	c1	0
heffen.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.038658024017519416	3.8051574355105113e-4	NA	NA	bound	366	lex	10_10	1	selection	nav_5000	5000	4_4	217	heffen	0.18635895773218694	BOW	c1	0
heffen.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSall	0.19967244731959805	0.013244892725274782	NA	NA	bound	366	lex	10_10	1	selection	all_5000	5000	4_4	217	heffen	0.22507375214064465	BOW	c2	0
heffen.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.06489626420159736	0.004035935813755319	NA	NA	bound	366	lex	10_10	1	selection	nav_FOC	253	4_4	217	heffen	0.1453535784168407	BOW	c1	0
heffen.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.04460444998269155	0.0034732400329148517	NA	NA	bound	366	lex	10_10	1	selection	all_FOC	366	4_4	217	heffen	0.15555893864221315	BOW	c1	0
heffen.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSnav	-0.1337487793899129	0.01770236498023391	NA	NA	bound	718	lex	10_10	1	no	nav_5000	5000	4_4	218	heffen	0.191044259895041	BOW	c1	0
heffen.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSall	0.364057855822397	0.07781500431401005	NA	NA	bound	718	lex	10_10	1	no	all_5000	5000	4_4	218	heffen	0.21628059954509832	BOW	c2	0
heffen.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.09856406569109974	0.02031060798434228	NA	NA	bound	718	lex	10_10	1	no	nav_FOC	502	4_4	218	heffen	0.17157747509850757	BOW	c1	0
heffen.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSall	-0.08960645005130376	0.023867577629561584	NA	NA	bound	718	lex	10_10	1	no	all_FOC	718	4_4	218	heffen	0.17610477749404047	BOW	c1	0
heffen.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSnav	-0.05137928442455181	0.003736872744527151	NA	NA	bound	475	all	10_10	1	weight	nav_5000	5000	4_4	218	heffen	0.1535796372218841	BOW	c1	0
heffen.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSall	0.13330698314882458	0.01858540908357043	NA	NA	bound	475	all	10_10	1	weight	all_5000	5000	4_4	218	heffen	0.198750685317666	BOW	c2	0
heffen.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.06391750299697337	0.005467226372943343	NA	NA	bound	475	all	10_10	1	weight	nav_FOC	253	4_4	218	heffen	0.1334125093722332	BOW	c1	0
heffen.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSall	-0.04916949959258819	0.005137728749109622	NA	NA	bound	475	all	10_10	1	weight	all_FOC	475	4_4	218	heffen	0.1458377125028461	BOW	c1	0
heffen.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSnav	-0.16695009630912555	0.0827608228120675	NA	NA	bound	475	all	10_10	1	selection	nav_5000	5000	4_4	218	heffen	0.20991679054235185	BOW	c3	0
heffen.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSall	0.21051555098609873	0.06951626359539421	NA	NA	bound	475	all	10_10	1	selection	all_5000	5000	4_4	218	heffen	0.22733903618241463	BOW	c4	0
heffen.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSnav	-0.09115779355664007	0.025167064436918078	NA	NA	bound	475	all	10_10	1	selection	nav_FOC	253	4_4	218	heffen	0.14913751454716617	BOW	c1	0
heffen.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSall	-0.07713024246796822	0.026764368337035434	NA	NA	bound	475	all	10_10	1	selection	all_FOC	475	4_4	218	heffen	0.16223054583849483	BOW	c3	0
heffen.BOWbound10all.PPMIno.LENGTH5000.SOCPOSnav	-0.21913298989727797	0.07601401120542374	NA	NA	bound	960	all	10_10	1	no	nav_5000	5000	4_4	218	heffen	0.20439160778219892	BOW	c5	0
heffen.BOWbound10all.PPMIno.LENGTH5000.SOCPOSall	0.44993010080382695	0.15970543952339297	NA	NA	bound	960	all	10_10	1	no	all_5000	5000	4_4	218	heffen	0.22526106071832466	BOW	c4	0
heffen.BOWbound10all.PPMIno.LENGTHFOC.SOCPOSnav	-0.1436836109703094	0.045888646116925835	NA	NA	bound	960	all	10_10	1	no	nav_FOC	502	4_4	218	heffen	0.17377750116904642	BOW	c5	0
heffen.BOWbound10all.PPMIno.LENGTHFOC.SOCPOSall	-0.15699201323327813	0.060493237266592795	NA	NA	bound	960	all	10_10	1	no	all_FOC	960	4_4	218	heffen	0.18274980014323794	BOW	c5	0
heffen.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.05060146623894922	-0.04238692147406417	NA	NA	bound	279	lex	5_5	1	weight	nav_5000	5000	4_4	216	heffen	0.16373338738058416	BOW	c6	0
heffen.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSall	0.15489233630544497	-0.08799515834462693	NA	NA	bound	279	lex	5_5	1	weight	all_5000	5000	4_4	216	heffen	0.2142227483527797	BOW	c2	0
heffen.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.060703235846419554	-0.03546103766446478	NA	NA	bound	279	lex	5_5	1	weight	nav_FOC	194	4_4	216	heffen	0.15221940413448468	BOW	c6	0
heffen.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.044359289290807735	-0.03675175178767654	NA	NA	bound	279	lex	5_5	1	weight	all_FOC	279	4_4	216	heffen	0.15361513414985306	BOW	c6	0
