_model	model.x	model.y	LEMMAPATH	LEMMAREL	base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type
grijs.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSnav	-1.085981228062788	0.4061299623172167	NA	NA	BOW	bound	454	lex	5_5	1	weight	FOC	336	nav	4_4	292	grijs
grijs.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSall	-1.033911388375425	0.3536796551130901	NA	NA	BOW	bound	454	lex	5_5	1	weight	FOC	454	all	4_4	292	grijs
grijs.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.6082737245948796	-0.519606047207145	NA	NA	BOW	bound	454	lex	5_5	1	selection	5000	5000	nav	4_4	292	grijs
grijs.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSall	0.4211271281730403	-1.4990453901214282	NA	NA	BOW	bound	454	lex	5_5	1	selection	5000	5000	all	4_4	292	grijs
grijs.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.9324688982696867	0.022893672093373132	NA	NA	BOW	bound	454	lex	5_5	1	selection	FOC	336	nav	4_4	292	grijs
grijs.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.8793069670569058	-0.0270044947795147	NA	NA	BOW	bound	454	lex	5_5	1	selection	FOC	454	all	4_4	292	grijs
grijs.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSnav	-0.930399739898258	-0.8011196899833387	NA	NA	BOW	bound	691	lex	5_5	1	no	5000	5000	nav	4_4	303	grijs
grijs.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSall	0.4585654687471229	-2.125594867024236	NA	NA	BOW	bound	691	lex	5_5	1	no	5000	5000	all	4_4	303	grijs
grijs.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSnav	-1.2262617342309392	-0.14979348820439814	NA	NA	BOW	bound	691	lex	5_5	1	no	FOC	525	nav	4_4	303	grijs
grijs.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSall	-1.1832220634649828	-0.1834989813115192	NA	NA	BOW	bound	691	lex	5_5	1	no	FOC	691	all	4_4	303	grijs
grijs.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSnav	-0.07808245329993772	0.41025165558204746	NA	NA	BOW	bound	533	all	5_5	1	weight	5000	5000	nav	4_4	300	grijs
grijs.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSall	1.2210207770900305	-0.594486377171822	NA	NA	BOW	bound	533	all	5_5	1	weight	5000	5000	all	4_4	300	grijs
grijs.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.6896300916076302	0.7309393363714272	NA	NA	BOW	bound	533	all	5_5	1	weight	FOC	336	nav	4_4	300	grijs
grijs.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSall	-0.5566827859500771	0.6689432617370565	NA	NA	BOW	bound	533	all	5_5	1	weight	FOC	533	all	4_4	300	grijs
grijs.BOWbound5all.PPMIselection.LENGTH5000.SOCPOSnav	0.6568454314298164	0.37035547248363143	NA	NA	BOW	bound	533	all	5_5	1	selection	5000	5000	nav	4_4	300	grijs
grijs.BOWbound5all.PPMIselection.LENGTH5000.SOCPOSall	1.7405995620882717	-0.33962624453551254	NA	NA	BOW	bound	533	all	5_5	1	selection	5000	5000	all	4_4	300	grijs
grijs.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSnav	-0.18329031542475743	0.4058149888915303	NA	NA	BOW	bound	533	all	5_5	1	selection	FOC	336	nav	4_4	300	grijs
grijs.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSall	-0.13503805628373236	0.37461273999339967	NA	NA	BOW	bound	533	all	5_5	1	selection	FOC	533	all	4_4	300	grijs
grijs.BOWbound5all.PPMIno.LENGTH5000.SOCPOSnav	1.0201706093259393	0.08126658244130369	NA	NA	BOW	bound	870	all	5_5	1	no	5000	5000	nav	4_4	303	grijs
grijs.BOWbound5all.PPMIno.LENGTH5000.SOCPOSall	2.1634121224110814	-0.6528088487495658	NA	NA	BOW	bound	870	all	5_5	1	no	5000	5000	all	4_4	303	grijs
grijs.BOWbound5all.PPMIno.LENGTHFOC.SOCPOSnav	-0.22172629697072768	0.14355602318723804	NA	NA	BOW	bound	870	all	5_5	1	no	FOC	525	nav	4_4	303	grijs
grijs.BOWbound5all.PPMIno.LENGTHFOC.SOCPOSall	-0.17747165024029188	0.11443842692287691	NA	NA	BOW	bound	870	all	5_5	1	no	FOC	870	all	4_4	303	grijs
grijs.BOWbound3lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.4560340047766301	0.2586703789815139	NA	NA	BOW	bound	333	lex	3_3	1	weight	5000	5000	nav	4_4	273	grijs
grijs.BOWbound3lex.PPMIweight.LENGTH5000.SOCPOSall	0.8524757247203447	-0.9324863748885255	NA	NA	BOW	bound	333	lex	3_3	1	weight	5000	5000	all	4_4	273	grijs
grijs.BOWbound3lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.6705816125636411	0.6055587169586646	NA	NA	BOW	bound	333	lex	3_3	1	weight	FOC	255	nav	4_4	273	grijs
grijs.BOWbound3lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.6369605443915136	0.5820784675033052	NA	NA	BOW	bound	333	lex	3_3	1	weight	FOC	333	all	4_4	273	grijs
grijs.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.20870392793729484	-0.15528719459442933	NA	NA	BOW	bound	333	lex	3_3	1	selection	5000	5000	nav	4_4	273	grijs
grijs.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSall	0.8086781659629737	-1.123806171569477	NA	NA	BOW	bound	333	lex	3_3	1	selection	5000	5000	all	4_4	273	grijs
grijs.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.6382986357641277	0.4969083075002582	NA	NA	BOW	bound	333	lex	3_3	1	selection	FOC	255	nav	4_4	273	grijs
grijs.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.6107584681793133	0.4702551553514059	NA	NA	BOW	bound	333	lex	3_3	1	selection	FOC	333	all	4_4	273	grijs
grijs.BOWbound3lex.PPMIno.LENGTH5000.SOCPOSnav	-0.4607760113883748	-0.5421537018186101	NA	NA	BOW	bound	442	lex	3_3	1	no	5000	5000	nav	4_4	293	grijs
grijs.BOWbound3lex.PPMIno.LENGTH5000.SOCPOSall	0.9452259140869116	-1.6355543266072328	NA	NA	BOW	bound	442	lex	3_3	1	no	5000	5000	all	4_4	293	grijs
grijs.BOWbound3lex.PPMIno.LENGTHFOC.SOCPOSnav	-1.0452637904735804	0.6636231125573653	NA	NA	BOW	bound	442	lex	3_3	1	no	FOC	340	nav	4_4	293	grijs
grijs.BOWbound3lex.PPMIno.LENGTHFOC.SOCPOSall	-1.015607676624336	0.6467203190431956	NA	NA	BOW	bound	442	lex	3_3	1	no	FOC	442	all	4_4	293	grijs
grijs.BOWbound3all.PPMIweight.LENGTH5000.SOCPOSnav	-0.023853272738352464	1.1446582485542534	NA	NA	BOW	bound	392	all	3_3	1	weight	5000	5000	nav	4_4	299	grijs
grijs.BOWbound3all.PPMIweight.LENGTH5000.SOCPOSall	1.5113522564988324	0.3841659303433733	NA	NA	BOW	bound	392	all	3_3	1	weight	5000	5000	all	4_4	299	grijs
grijs.BOWbound3all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.47738234970518306	1.099658463550434	NA	NA	BOW	bound	392	all	3_3	1	weight	FOC	255	nav	4_4	299	grijs
grijs.BOWbound3all.PPMIweight.LENGTHFOC.SOCPOSall	-0.4517670336832124	1.071640386128242	NA	NA	BOW	bound	392	all	3_3	1	weight	FOC	392	all	4_4	299	grijs
grijs.BOWbound3all.PPMIselection.LENGTH5000.SOCPOSnav	0.7989614185980897	0.8680090254998387	NA	NA	BOW	bound	392	all	3_3	1	selection	5000	5000	nav	4_4	299	grijs
grijs.BOWbound3all.PPMIselection.LENGTH5000.SOCPOSall	1.900548079685629	0.3226313092061045	NA	NA	BOW	bound	392	all	3_3	1	selection	5000	5000	all	4_4	299	grijs
grijs.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSnav	0.06724503807593889	0.8439280776340188	NA	NA	BOW	bound	392	all	3_3	1	selection	FOC	255	nav	4_4	299	grijs
grijs.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSall	0.11499047360479639	0.7827506549719269	NA	NA	BOW	bound	392	all	3_3	1	selection	FOC	392	all	4_4	299	grijs
grijs.BOWbound3all.PPMIno.LENGTH5000.SOCPOSnav	1.0440214695727084	0.8886203597962437	NA	NA	BOW	bound	564	all	3_3	1	no	5000	5000	nav	4_4	303	grijs
grijs.BOWbound3all.PPMIno.LENGTH5000.SOCPOSall	2.3317637904046093	0.24338256707039063	NA	NA	BOW	bound	564	all	3_3	1	no	5000	5000	all	4_4	303	grijs
grijs.BOWbound3all.PPMIno.LENGTHFOC.SOCPOSnav	0.23395735409820592	0.784986505908097	NA	NA	BOW	bound	564	all	3_3	1	no	FOC	340	nav	4_4	303	grijs
grijs.BOWbound3all.PPMIno.LENGTHFOC.SOCPOSall	0.25617473879406966	0.7379516447431932	NA	NA	BOW	bound	564	all	3_3	1	no	FOC	564	all	4_4	303	grijs
grijs.BOWnobound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-1.4878429141103604	-0.08523788183676338	NA	NA	BOW	nobound	711	lex	10_10	1	weight	5000	5000	nav	4_4	300	grijs
grijs.BOWnobound10lex.PPMIweight.LENGTH5000.SOCPOSall	-0.17593746621864026	-1.6115255286726244	NA	NA	BOW	nobound	711	lex	10_10	1	weight	5000	5000	all	4_4	300	grijs
grijs.BOWnobound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-1.516081532339996	0.16858644658369656	NA	NA	BOW	nobound	711	lex	10_10	1	weight	FOC	508	nav	4_4	300	grijs
grijs.BOWnobound10lex.PPMIweight.LENGTHFOC.SOCPOSall	-1.48274326224716	0.13083260604009328	NA	NA	BOW	nobound	711	lex	10_10	1	weight	FOC	711	all	4_4	300	grijs
grijs.BOWnobound10lex.PPMIselection.LENGTH5000.SOCPOSnav	-1.2709621154321344	-0.7620646104824329	NA	NA	BOW	nobound	711	lex	10_10	1	selection	5000	5000	nav	4_4	300	grijs
grijs.BOWnobound10lex.PPMIselection.LENGTH5000.SOCPOSall	-0.26017753947507505	-1.9224534344652164	NA	NA	BOW	nobound	711	lex	10_10	1	selection	5000	5000	all	4_4	300	grijs
grijs.BOWnobound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	-1.461392775752431	-0.29070559537388635	NA	NA	BOW	nobound	711	lex	10_10	1	selection	FOC	508	nav	4_4	300	grijs
grijs.BOWnobound10lex.PPMIselection.LENGTHFOC.SOCPOSall	-1.3879871474685654	-0.3298115291978858	NA	NA	BOW	nobound	711	lex	10_10	1	selection	FOC	711	all	4_4	300	grijs
grijs.BOWnobound10lex.PPMIno.LENGTH5000.SOCPOSnav	-1.5000445744788944	-1.1693061933794444	NA	NA	BOW	nobound	1396	lex	10_10	1	no	5000	5000	nav	4_4	304	grijs
grijs.BOWnobound10lex.PPMIno.LENGTH5000.SOCPOSall	-0.2962833719464132	-2.831240355134433	NA	NA	BOW	nobound	1396	lex	10_10	1	no	5000	5000	all	4_4	304	grijs
grijs.BOWnobound10lex.PPMIno.LENGTHFOC.SOCPOSnav	-1.6546862045131605	-0.6678107612149513	NA	NA	BOW	nobound	1396	lex	10_10	1	no	FOC	1010	nav	4_4	304	grijs
grijs.BOWnobound10lex.PPMIno.LENGTHFOC.SOCPOSall	-1.5996863596616293	-0.6932122454751575	NA	NA	BOW	nobound	1396	lex	10_10	1	no	FOC	1396	all	4_4	304	grijs
grijs.BOWnobound10all.PPMIweight.LENGTH5000.SOCPOSnav	-0.7001486615114993	-0.44485367580025026	NA	NA	BOW	nobound	830	all	10_10	1	weight	5000	5000	nav	4_4	304	grijs
grijs.BOWnobound10all.PPMIweight.LENGTH5000.SOCPOSall	0.9480473280513461	-1.258405434861042	NA	NA	BOW	nobound	830	all	10_10	1	weight	5000	5000	all	4_4	304	grijs
grijs.BOWnobound10all.PPMIweight.LENGTHFOC.SOCPOSnav	-1.2355183668544756	0.2978792748829178	NA	NA	BOW	nobound	830	all	10_10	1	weight	FOC	508	nav	4_4	304	grijs
grijs.BOWnobound10all.PPMIweight.LENGTHFOC.SOCPOSall	-1.1996113477435397	0.2676865570852042	NA	NA	BOW	nobound	830	all	10_10	1	weight	FOC	830	all	4_4	304	grijs
grijs.BOWnobound10all.PPMIselection.LENGTH5000.SOCPOSnav	-0.1418891163689141	-1.0402717880551475	NA	NA	BOW	nobound	830	all	10_10	1	selection	5000	5000	nav	4_4	304	grijs
grijs.BOWnobound10all.PPMIselection.LENGTH5000.SOCPOSall	1.7585186852730301	-1.312694378420638	NA	NA	BOW	nobound	830	all	10_10	1	selection	5000	5000	all	4_4	304	grijs
