pmi10	raw_co10_x	pmi4	raw_co10_y	raw_freq	cw
3.8632576	1			41	1.499/num
1.8893149	1			291	1.5/num
2.68422	1			136	1.50/num
-1.2680237	1	-0.36176604	1.0	6921	1.500/num
3.2016988	1	4.1076937	1.0	79	1.55/num
4.5630603	3			60	1.65/num
5.2545395	1			10	1.66/num
3.9960785	1			36	1.68/num
4.405814	3			71	1.70/num
3.5027344	1			58	1.75/num
1.8660897	1	2.770606	1.0	302	1.750/num
4.2249203	1			28	1.78/num
4.3145323	1			26	1.795/num
3.273538	2			146	1.80/num
5.9476867	1			5	1.80_meter/noun
4.905645	2	5.115334	1.0	29	1.999/num
1.9595364	2			560	1/16de/num
0.479711	1	1.3889074	1.0	1200	1/2/num
1.6953418	1			355	1/4/num
-1.9637637	4			56531	1/name
-0.3864488	24	-1.0543513	5.0	69141	1/noun
-0.66885334	31	-1.2530769	7.0	118827	1/num
3.5906134	1			53	10-21/num
-0.84034985	3			13558	10.000/num
5.6112146	1			7	10.091/num
-1.5993296	1			9610	10/name
-1.294701	3			21393	10/noun
-0.7118067	23	-1.3316094	5.0	91258	10/num
-1.0257158	2	-0.81594193	1.0	10904	100.000/num
-0.61817545	12	-0.2518226	7.0	43355	100/num
-1.4545879	1			8407	1000/num
1.0258827	1			707	1050/num
-0.018793276	1			1972	107/num
6.1708302	1			4	10:1/num
1.6929255	1	2.600095	1.0	357	11,4/num
2.27799	1			201	11,50/num
0.7677307	2	0.97808266	1.0	1814	11.000/num
1.4976511	1	2.4038117	1.0	433	11.15/noun
0.48006973	2	0.69231147	1.0	2403	11.30/noun
2.9818983	1			98	11.40/noun
-0.5382225	2			6645	11/name
-0.9916835	7			36830	11/noun
-1.9405365	3			40771	11/num
-0.45164004	2			6110	110/num
0.017831678	1			1914	111/num
-0.30963597	1			2650	112/num
1.8016989	1	2.7025306	1.0	324	115.000/num
-0.46434498	1			3091	115/num
0.37162402	1			1350	11de/num
1.5853528	1			398	12,8/num
0.99828875	1			723	12.00/noun
0.67882395	2			1975	12.30/noun
6.4585123	1			3	12.51,48/num
3.9462068	1			37	12.55/noun
-1.1267687	1			5996	12/name
-1.1566627	3	-1.3532284	1.0	18653	12/noun
-0.29424465	22	-0.53198105	7.0	57411	12/num
-0.015121096	1			1980	120.000/num
0.19530857	8	0.12093612	3.0	12795	120/num
-0.14800267	1			2274	1200/num
0.93047315	2	1.14496	1.0	1530	122/num
1.0630683	9	1.380318	5.0	6058	125/num
1.3678343	1	2.273209	1.0	497	1250/num
0.20840843	1			1573	127/num
6.4585123	1			3	1278/noun
-0.014992453	1	0.8857114	1.0	1984	128/num
2.144586	1			228	129/name
0.3845466	1			1324	129/num
-0.9767634	4			20739	13/noun
-1.2324859	6	-2.1181967	1.0	40176	13/num
0.6420463	1			1029	130.000/num
-0.11567202	3			6560	130/num
0.39310056	1			1304	131/num
1.6389607	7	1.98743	4.0	2636	135/num
0.94029003	2	1.8497406	2.0	1517	136/num
0.37541863	1			1334	137/num
