size	max_diss	av_diss	diameter	separation	medoid	avg_width
30	0.36876310725867123	0.23677641799899302	0.5447159010305999	0.2491739526700656	spoor.BOWnobound5lex.PPMIselection.LENGTHFOC.SOCPOSnav	0.3316729154093482
17	0.4564328205382904	0.27474660041711807	0.6543861780164966	0.3437942818338504	spoor.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSall	0.32143526035942394
11	0.7654556116244036	0.2825390622867418	0.8084401482467808	0.2491739526700656	spoor.BOWnobound10lex.PPMIno.LENGTHFOC.SOCPOSnav	0.21986860172123238
22	0.44015748276430045	0.1910531403697548	0.5460515487248806	0.11784416286569677	spoor.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSall	0.2859445267565483
27	0.6251001888250005	0.25561989879875274	0.7052061921573427	0.032937476997639825	spoor.BOWbound5all.PPMIno.LENGTHFOC.SOCPOSnav	0.09730324971972812
27	0.580449319642186	0.2636892823943944	0.7146552823669677	0.13572693840239625	spoor.LEMMAPATHweight.PPMIselection.LENGTH5000.SOCPOSall	0.12413571516386679
18	0.3073642529644447	0.15748806392992204	0.40189623021595344	0.26783190495515075	spoor.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSall	0.5596073945918495
60	0.27429587627576013	0.16148267066878833	0.46544007400011034	0.032937476997639825	spoor.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall	0.36345982356494644
