_model	model.x	model.y	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress	foc_base	soc_vector	pam_cluster	is_medoid
heffen.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.05316467500600922	-0.0032284469069044446	NA	NA	bound	366	lex	10_10	1	weight	5000	5000	nav	4_4	217	heffen	0.07599040438473156	BOW	nav_5000	c1	0
heffen.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSall	0.12703412768286587	-0.0014744274395402557	NA	NA	bound	366	lex	10_10	1	weight	5000	5000	all	4_4	217	heffen	0.13108554099168082	BOW	all_5000	c2	0
heffen.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.06488908749201397	-0.0019353605202350732	NA	NA	bound	366	lex	10_10	1	weight	FOC	253	nav	4_4	217	heffen	0.08167612681500701	BOW	nav_FOC	c1	1
heffen.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.04706154596100115	-0.003205796556785902	NA	NA	bound	366	lex	10_10	1	weight	FOC	366	all	4_4	217	heffen	0.08653679840168443	BOW	all_FOC	c1	0
heffen.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.03890899873061617	3.872547216514659e-4	NA	NA	bound	366	lex	10_10	1	selection	5000	5000	nav	4_4	217	heffen	0.09922046233688149	BOW	nav_5000	c1	0
heffen.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSall	0.19983318374061876	0.012606086674026446	NA	NA	bound	366	lex	10_10	1	selection	5000	5000	all	4_4	217	heffen	0.14670066442330876	BOW	all_5000	c2	0
heffen.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.0651751338786776	0.004093139019248693	NA	NA	bound	366	lex	10_10	1	selection	FOC	253	nav	4_4	217	heffen	0.08750687176074685	BOW	nav_FOC	c1	0
heffen.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.04484485071342561	0.003486521938084593	NA	NA	bound	366	lex	10_10	1	selection	FOC	366	all	4_4	217	heffen	0.09403106946580939	BOW	all_FOC	c1	0
heffen.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSnav	-0.13399843310015053	0.01801703134495697	NA	NA	bound	718	lex	10_10	1	no	5000	5000	nav	4_4	218	heffen	0.09865648585458749	BOW	nav_5000	c1	0
heffen.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSall	0.364577947708923	0.0769717640539961	NA	NA	bound	718	lex	10_10	1	no	5000	5000	all	4_4	218	heffen	0.12195310968272935	BOW	all_5000	c2	0
